iter	Passed	Remaining
0	3	2650
1	5	2608
2	10	3064
3	15	3491
4	18	3310
5	22	3230
6	26	3274
7	29	3165
8	31	3064
9	34	2989
10	37	2947
11	40	2933
12	43	2872
13	45	2832
14	48	2797
15	52	2818
16	59	3033
17	62	3011
18	65	2989
19	69	2980
20	73	2990
21	77	3033
22	80	2999
23	83	2970
24	86	2942
25	88	2914
26	91	2894
27	94	2871
28	97	2867
29	100	2850
30	103	2822
31	105	2803
32	108	2783
33	111	2780
34	114	2764
35	118	2774
36	121	2762
37	125	2771
38	127	2755
39	130	2740
40	133	2727
41	136	2716
42	138	2704
43	141	2686
44	143	2671
45	151	2745
46	154	2734
47	159	2766
48	162	2761
49	166	2769
50	169	2753
51	171	2738
52	175	2733
53	177	2720
54	180	2708
55	183	2696
56	186	2691
57	189	2680
58	191	2669
59	194	2656
60	197	2654
61	200	2646
62	203	2635
63	205	2624
64	208	2616
65	212	2619
66	215	2610
67	218	2604
68	220	2594
69	223	2585
70	226	2576
71	229	2580
72	232	2572
73	235	2563
74	238	2558
75	241	2554
76	244	2546
77	250	2570
78	252	2563
79	255	2554
80	258	2547
81	261	2547
82	264	2539
83	267	2533
84	269	2525
85	273	2520
86	275	2515
87	278	2506
88	281	2503
89	284	2496
90	286	2488
91	289	2480
92	292	2473
93	294	2465
94	298	2469
95	301	2463
96	304	2456
97	307	2451
98	311	2459
99	314	2453
100	317	2447
101	319	2440
102	322	2434
103	329	2457
104	332	2452
105	335	2451
106	340	2459
107	343	2455
108	346	2449
109	351	2462
110	354	2457
111	357	2450
112	360	2445
113	364	2447
114	366	2440
115	369	2434
116	372	2431
117	375	2426
118	378	2419
119	381	2413
120	383	2407
121	386	2403
122	389	2398
123	392	2392
124	395	2387
125	397	2381
126	400	2376
127	403	2373
128	406	2367
129	409	2362
130	412	2356
131	415	2353
132	423	2378
133	426	2376
134	430	2374
135	436	2388
136	439	2383
137	442	2378
138	448	2392
139	452	2391
140	455	2385
141	457	2379
142	460	2375
143	464	2372
144	467	2368
145	469	2362
146	472	2357
147	478	2367
148	481	2362
149	483	2354
150	486	2350
151	490	2347
152	492	2342
153	495	2337
154	498	2332
155	501	2329
156	505	2327
157	509	2328
158	512	2323
159	515	2319
160	518	2314
161	521	2309
162	523	2303
163	526	2298
164	529	2293
165	531	2287
166	534	2281
167	540	2289
168	547	2301
169	552	2308
170	556	2307
171	561	2309
172	566	2314
173	570	2312
174	575	2319
175	581	2326
176	584	2321
177	588	2321
178	592	2319
