issuer_name,market_cap_usd,net_income_usd,hist_pe,hist_book_px,hist_fcf_yld,hist_ebitda_ev,hist_roe,hist_roic,hist_roa,hist_gross_profit_usd,hist_net_chg_lt_debt_usd,hist_net_debt_usd,hist_ev_usd,hist_asset_turnover,hist_capex_sales,hist_capex_depr,hist_rd_exp_usd,hist_eps_usd,return_usd,vola,beta,shares_outstanding,shares_float,top_1_shareholder_percentage,top_2_shareholder_percentage,top_3_shareholder_percentage,yeo_joh_market_cap_usd,yeo_joh_net_income_usd,yeo_joh_hist_pe,yeo_joh_hist_book_px,yeo_joh_hist_fcf_yld,yeo_joh_hist_ebitda_ev,yeo_joh_hist_roe,yeo_joh_hist_roic,yeo_joh_hist_roa,yeo_joh_hist_gross_profit_usd,yeo_joh_hist_net_chg_lt_debt_usd,yeo_joh_hist_net_debt_usd,yeo_joh_hist_ev_usd,yeo_joh_hist_asset_turnover,yeo_joh_hist_capex_sales,yeo_joh_hist_capex_depr,yeo_joh_hist_rd_exp_usd,yeo_joh_hist_eps_usd,yeo_joh_return_usd,yeo_joh_vola,yeo_joh_beta,yeo_joh_shares_outstanding,yeo_joh_shares_float,yeo_joh_top_1_shareholder_percentage,yeo_joh_top_2_shareholder_percentage,yeo_joh_top_3_shareholder_percentage,gics_sector,gics_sub_ind,issuer_cntry_domicile,cntry_of_risk,top_1_shareholder_location,top_2_shareholder_location,top_3_shareholder_location
10X Genomics Inc,5110157821.0,-223362000.0,78.00094718711443,6.85665271,-2.310869376,-4.135499204,-29.37025972,-27.38744902,-22.97080289,412936000.0,635000.0,-258434000.0,4851723821.0,0.607770574,14.36343023,2.786769534,310081000.0,-1.91,-0.047167732,0.502096389,2.5714935,104151768.0,94983816,49.475,7.785,1.227,-0.5024674047225328,-0.3729362438269183,1.384159751092522,1.1070526011599782,-0.1627565054170091,-0.5297017710513794,-1.1081237155360886,-0.7764722261476998,-3.0150399272185866,-0.5133006476532428,0.0422828850881477,-0.0461429291598957,-0.2095038718997299,0.0917540067231204,1.073126120162743,0.678407730970096,0.3732190672280922,-0.0153192754600841,-0.3293817187646398,1.6118194044516372,2.044402516753456,-0.7522178310531572,-0.6571208750495847,1.5110961578329989,0.8748830603741597,-0.5183544491676174,Health Care,Life Sciences Tools & Services,United States of America,US,United States,Luxembourg,United Kingdom
3I GROUP PLC,30820652702.0,5505296842.0,5.380077596,1.319800849,1.765218718,9.28902781178292,27.61890103,25.66489252,25.48212105,6051772607.966929,618766000.0,1450072800.0,32270725502.0,0.26521628,0.042835725,2.536317224203173,732479521.6482682,5.717082642,0.65904007,0.204672942,1.093725302,973351689.0,956644864,11.023,6.277,3.472,0.7595711691181649,0.7883930599410752,-1.5766374379449528,-0.601719767685201,-0.0762989848443397,-0.0360537514292224,0.3200814273267878,0.2088861886650335,2.197836320315388,0.0395413786395395,0.1406687185698615,-0.030797508844237,-0.0486421290641591,-0.8533952778537399,-2.166646644183522,0.506342678166955,0.6619213057751105,0.0049395835927995,1.53094883513285,-0.8519664920546126,0.3867664617784614,0.6975777802518036,0.8440551734356869,-0.609431382128766,0.5886841688559227,1.1012343866929108,Financials,Asset Management & Custody Banks,United Kingdom,GB,United States,United Kingdom,Luxembourg
3M COMPANY,52884356389.0,-6995000000.0,8.687697783,9.087187842,8.012040189,9.28902781178292,-71.41398673,-24.67149713,-14.41747823,14204000000.0,-1493000000.0,10274000000.0,63217356389.0,0.673592003,4.94170925,2.536317224203173,1842000000.0,-12.628633,-0.098089101,0.280183361,1.304148635,552317038.0,551649472,24.816,1.547,1.038,1.1357613389169705,-3.625641163352374,-0.9768985793415572,1.3278437800019454,0.1239931807658066,-0.0360537514292224,-2.2191784173402747,-0.6951901315344557,-2.079880684115607,0.759923103884597,-0.9480045428349988,0.0390051998833899,0.1314592360490205,0.2356916125980385,0.0626571345716952,0.506342678166955,1.014616087822895,-0.0695273540160783,-0.5087694986365019,0.1062223386087454,0.7062378903159017,0.318980310544553,0.4654000749457418,0.4072385437206067,-1.000343367593655,-0.7384351849068108,Industrials,Industrial Conglomerates,United States of America,US,United States,Ireland,Luxembourg
A. O. SMITH CORPORATION,11855992520.0,556600000.0,20.94466976,6.45903162,5.131444426,7.013346079,30.99022856,27.11776759,17.00528551,1484800000.0,-211700000.0,-208200000.0,11647792520.0,1.177110385,1.884343854,2.536317224203173,732479521.6482682,3.69,0.361585709,0.262966492,1.151466598,122827676.0,121858928,36.721,4.699,2.018,0.090531692684514,-0.160729687981885,0.0619415610970774,1.0568764460507682,0.0254479882172426,-0.1309218386009908,0.4004266803475975,0.2219312781629571,1.29958072508926,-0.3986299837427611,-0.0886497668481567,-0.0454506223342845,-0.1694070123352968,1.0890529211479325,-0.7991824986211958,0.506342678166955,0.6619213057751105,0.0007624771195301,0.8596771321955647,-0.0833704681784541,0.4785643104230619,-0.6491353658594612,-0.5058808881286802,1.0044091410911853,0.2177466734991412,0.2112872086954962,Industrials,Building Products,United States of America,US,United States,Luxembourg,Ireland
A.P. MOELLER - MAERSK A/S,32031878250.0,9208000000.0,3.451913992,0.530744668,59.23848918,59.66085331,16.14956943,11.46680043,10.67489001,6051772607.966929,-327000000.0,-7087000000.0,26043878250.0,0.662473843,5.757384852,2.536317224203173,732479521.6482682,525.612789,0.162114037,0.388005442,0.757838801,7462669.0,3187937,9.1,2.518,2.505,0.7864743386602698,1.4833391156436158,-2.13495715191322,-1.5332758337293286,2.553135072546745,2.3250815915072485,0.0456196020335855,0.0726752058435617,0.6273682512274765,0.0395413786395395,-0.1630992941937305,-0.1434991912288174,-0.0850149303572371,0.212048051699186,0.2073095633919587,0.506342678166955,0.6619213057751105,0.4731897646568967,0.3282538337331718,1.0120179169988868,-0.2236514388567819,-2.319846522451597,-2.489765278236914,-0.8106606216637585,-0.5126161061159383,0.5568451854743695,Industrials,Marine Transportation,Denmark,DK,United States,Norway,Denmark
A2 Milk Company Ltd,2270438937.0,95913676.63,24.27827733,3.232390758,3.360770779,6.99172742,13.38132583,9.769870448,9.354465096,455517553.3,-269056.9,-430163413.4,1842535289.0,0.956307403,0.632837404,0.589174956,3886760.036,0.130832275,-0.350424193,0.304811025,0.675413921,722934808.0,719840960,9.0,4.372,1.948,-1.0773118224759302,-0.2532527637163294,0.2250510037123211,0.3949766350704833,-0.0303060850754684,-0.1318121436994384,-0.0209649979416498,0.0548584302777624,0.4869444209591104,-0.508477220260119,0.0420225925198723,-0.0485216815174371,-0.2273835143921848,0.7601636743330146,-1.5404069106392584,-1.8690672058346351,-0.6472769847879584,-0.0080105969599199,-1.5138009792466982,0.3527595837489531,-0.3976516289365399,0.4978926061242414,0.6467371685012657,-0.8218371348015666,0.1281602120026305,0.1562798007383007,Consumer Staples,Packaged Foods & Meats,New Zealand,NZ,Australia,United States,New Zealand
A2A S.P.A.,6198952632.0,389793748.1,16.11664371,1.419488355,9.816925409,14.70216927,9.106786427,4.032926867,1.639565178,6051772607.966929,-50641400.0,4744233000.0,11538727032.0,0.765070524,4.83795209,1.615686275,0.0,0.122746585,0.388786617,0.208433547,1.073298875,3132905277.0,1541389440,6.287,2.796,1.631,-0.3660718385683785,-0.1939007374622205,-0.2360206523930083,-0.5197161519309995,0.1896821753573368,0.1969631664721135,-0.1241536786731729,-0.0100685788171025,-0.336031231520036,0.0395413786395395,0.0124442593988211,-0.0045393148458372,-0.170048655480671,0.4207200706647125,0.0426480298569588,-0.3067801584007565,-1.664630377711009,-0.0080350337088497,0.9264551954620596,-0.7956548505349237,0.3534793870603749,1.503281116933665,1.1833571338826123,-1.1605944975879383,-0.3976172572341259,-0.1135020864237792,Utilities,Multi-Utilities,Italy,IT,United States,Luxembourg,Ireland
AAC TECHNOLOGIES HOLDINGS INC.,2915991250.0,89411083.92,44.35928929,0.982068122,14.29814045,15.93528862,2.862864595,1.660479145,1.553612173,473187114.0,-4725646.98,378790201.8,3355044745.0,0.510745549,6.661901653,0.505687971,214946162.5,0.075371743,-0.078882937,0.432546785,0.756837065,1198500000.0,640220736,6.117,2.746,1.759,-0.8996589875611452,-0.2545910276927417,0.8526152118951374,-0.9273395390745476,0.3631703516744654,0.2512078413767941,-0.2761487774536424,-0.0406381524592106,-0.3452404283506154,-0.5064864183707802,0.0396091967107203,-0.0394783365264343,-0.2183805310369115,-0.13935645901813,0.3461310123094712,-2.056429534792918,0.2607256586402671,-0.0081790626204825,-0.4401799426142397,1.2797559509701486,-0.2257003685738512,0.8385450698045355,0.5664741255938851,-1.184604538729269,-0.4176699209990036,-0.0002159028112263,Information Technology,Electronic Manufacturing Services,China,CN,United States,United Kingdom,Luxembourg
AB Sagax,8656377187.0,65349388.92,40.350448,3.293329858,-0.52520593,9.28902781178292,2.034534314,3.79973195,0.961065758,6051772607.966929,-170996661.0,2958793776.0,11615170963.0,0.057428526,102.8936581,2.536317224203173,732479521.6482682,0.217648023,-0.026755429,0.348769684,2.007192526,313819238.0,206951504,18.44,6.42,1.81,-0.1306954384592492,-0.2595623351282397,0.7581041153481165,0.4145815113449519,-0.1309038102002943,-0.0360537514292224,-0.2965049264714476,-0.0129319138002427,-0.4087739437629903,0.0395413786395395,-0.0626859042787856,-0.0187218034182292,-0.1695989233087285,-1.6675492875563005,2.7476904462280496,0.506342678166955,0.6619213057751105,-0.0077507570180412,-0.2596965586455935,0.7306670561801151,1.542584745809658,-0.0511759410893208,-0.1760913997324841,0.0026186484164554,0.6182418283704852,0.0432207674970376,Real Estate,Real Estate Operating Companies,Sweden,SE,Sweden,United States,Luxembourg
ABB Ltd,81402174905.0,3956000000.0,19.80602693,6.055937905,2.67696352,6.666186911,31.61259389,18.54643158,10.07487394,11024000000.0,346000000.0,3767000000.0,85806174905.0,0.810217491,2.404601748,1.488326848,1273000000.0,2.14,0.282679945,0.21381956,1.01610841,1882002575.0,1595042048,12.323,6.831,3.423,1.4352724496625595,0.4949268938610259,-0.0007144112192582,1.0014474407627174,-0.0505883212763491,-0.1451913636285563,0.4152453911639545,0.1429031208711342,0.5635688116787265,0.4843989903127516,0.0984137752570653,-0.0122908431159071,0.2624530492727667,0.5062444606058119,-0.593809755301582,-0.450459377924235,0.8675911764833972,-0.0027309263387897,0.6587037237262819,-0.7167714304309066,0.2579042226749998,1.1478862335922215,1.2081047369382092,-0.4859085297514168,0.7001449243311743,1.0770994282091768,Industrials,Electrical Components & Equipment,Switzerland,CH,United States,Switzerland,Sweden
