issuer_name,market_cap_usd,net_income_usd,hist_pe,hist_book_px,hist_fcf_yld,hist_ebitda_ev,hist_roe,hist_roic,hist_roa,hist_gross_profit_usd,hist_net_chg_lt_debt_usd,hist_net_debt_usd,hist_ev_usd,hist_asset_turnover,hist_capex_sales,hist_capex_depr,hist_rd_exp_usd,hist_eps_usd,return_usd,vola,beta,shares_outstanding,shares_float,top_1_shareholder_percentage,top_2_shareholder_percentage,top_3_shareholder_percentage,yeo_joh_market_cap_usd,yeo_joh_net_income_usd,yeo_joh_hist_pe,yeo_joh_hist_book_px,yeo_joh_hist_fcf_yld,yeo_joh_hist_ebitda_ev,yeo_joh_hist_roe,yeo_joh_hist_roic,yeo_joh_hist_roa,yeo_joh_hist_gross_profit_usd,yeo_joh_hist_net_chg_lt_debt_usd,yeo_joh_hist_net_debt_usd,yeo_joh_hist_ev_usd,yeo_joh_hist_asset_turnover,yeo_joh_hist_capex_sales,yeo_joh_hist_capex_depr,yeo_joh_hist_rd_exp_usd,yeo_joh_hist_eps_usd,yeo_joh_return_usd,yeo_joh_vola,yeo_joh_beta,yeo_joh_shares_outstanding,yeo_joh_shares_float,yeo_joh_top_1_shareholder_percentage,yeo_joh_top_2_shareholder_percentage,yeo_joh_top_3_shareholder_percentage,issuer_cntry_domicile_name,cntry_of_risk,gics_sector,gics_sub_ind,top_1_shareholder_location,top_2_shareholder_location,top_3_shareholder_location
10X Genomics Inc,5110157821.0,-223362000.0,50.390108447763645,6.85665271,-2.310869376,-4.135499204,-29.37025972,-27.38744902,-22.97080289,412936000.0,635000.0,-258434000.0,4851723821.0,0.607770574,14.36343023,2.786769534,310081000.0,-1.91,-0.047167732,0.502096389,2.5714935,104151768.0,94983816,49.475,7.785,1.227,-0.5006662104551008,-0.3731019794979003,1.0491182781806738,1.121481302317458,-0.1260291324947891,-0.508182214720203,-1.1088804053742871,-0.7760076002680389,-3.0153537866144853,-0.5476366904807479,0.041613844015788,-0.0463302748919548,-0.2200125424656306,0.0975766770616544,1.1260977454039878,0.9066043330823904,0.5083015707514655,-0.0148498122237521,-0.3293817186345193,1.610745956275798,2.0433734723538706,-0.7516886237267659,-0.6565011340680237,1.5110961734765864,0.8748830614774894,-0.5183544527849742,United States of America,US,Health Care,Life Sciences Tools & Services,United States,Luxembourg,United Kingdom
3I GROUP PLC,30820652702.0,5505296842.0,5.380077596,1.319800849,1.765218718,5.8362933334500005,27.61890103,25.66489252,25.48212105,9672143655.485714,618766000.0,1450072800.0,32270725502.0,0.26521628,0.042835725,1.644917489,394648348.61,5.717082642,0.65904007,0.204672942,1.093725302,973351689.0,956644864,11.023,6.277,3.472,0.7610433315491802,0.7881981143440248,-1.5958696325050017,-0.5828493155038176,-0.0408572802693345,-0.1575794895692462,0.3186333874204726,0.2096397284112496,2.1974882795247064,0.3185944734361393,0.1399192809794436,-0.0309854742482577,-0.0593155293696498,-0.8435403470931844,-2.206684281101865,0.0868720006702609,0.5850939759919512,0.0054094306062006,1.5309488349179814,-0.8518493856631026,0.3861796516494463,0.6982324212219245,0.8442219602553901,-0.6094313908601942,0.5886841719555135,1.101234387540406,United Kingdom,GB,Financials,Asset Management & Custody Banks,United States,United Kingdom,Luxembourg
3M COMPANY,52884356389.0,-6995000000.0,8.687697783,9.087187842,8.012040189,10.226888361378572,-71.41398673,-24.67149713,-14.41747823,14204000000.0,-1493000000.0,10274000000.0,63217356389.0,0.673592003,4.94170925,1.4571797651261262,1842000000.0,-12.628633,-0.098089101,0.280183361,1.304148635,552317038.0,551649472,24.816,1.547,1.038,1.1366819613093633,-3.625596825186133,-0.9344739544892708,1.3342561649768931,0.1562498424749286,0.0245364494490531,-2.219284407554614,-0.6946805164706861,-2.079480514085136,0.7075678292994917,-0.9486415010615764,0.0388118697835224,0.1206165535258392,0.2407495048339724,0.1250001824094838,-0.1187289755975022,1.1396427387389418,-0.0690876425906576,-0.508769498535801,0.1056519936390919,0.7055038530160563,0.3196867135589821,0.465794106807523,0.4072385351186633,-1.0003433675834403,-0.7384351870442533,United States of America,US,Industrials,Industrial Conglomerates,United States,Ireland,Luxembourg
A. O. SMITH CORPORATION,11855992520.0,556600000.0,20.94466976,6.45903162,5.131444426,7.013346079,30.99022856,27.11776759,17.00528551,1484800000.0,-211700000.0,-208200000.0,11647792520.0,1.177110385,1.884343854,1.4571797651261262,270741179.5179233,3.69,0.361585709,0.262966492,1.151466598,122827676.0,121858928,36.721,4.699,2.018,0.0924693652604189,-0.160904212367568,0.15431872147511,1.072821698514565,0.0592874619289078,-0.1095824870760501,0.3989476919633907,0.2226812808278669,1.2998971848649,-0.4346324591071188,-0.0893093981674547,-0.0456379266572013,-0.1799591035911289,1.0886543754880542,-0.7573493864168196,-0.1187289755975022,0.4661915567640387,0.0012332393773802,0.85967713224296,-0.0838227070705305,0.4779323276304229,-0.6485677839703126,-0.5052506870556042,1.0044091428075068,0.2177466780286524,0.2112872036669869,United States of America,US,Industrials,Building Products,United States,Luxembourg,Ireland
A.P. MOELLER - MAERSK A/S,32031878250.0,9208000000.0,3.451913992,0.530744668,59.23848918,59.66085331,16.14956943,11.46680043,10.67489001,3351945996.4182982,-327000000.0,-7087000000.0,26043878250.0,0.662473843,5.757384852,1.4571797651261262,270741179.5179233,525.612789,0.162114037,0.388005442,0.757838801,7462669.0,3187937,9.1,2.518,2.505,0.7879139966217816,1.483129925565096,-2.231914734281164,-1.5421454149243208,2.54430897242503,2.3332776457618287,0.0442794722535324,0.0734594288053361,0.6281143772665317,-0.2523997863895403,-0.1637553994413908,-0.1436931745751204,-0.0956527403556757,0.2172344778164322,0.2705879911945083,-0.1187289755975022,0.4661915567640387,0.4732374129263577,0.3282538338783314,1.011035871332948,-0.223880813747898,-2.320489954312213,-2.490402239237776,-0.8106606274485277,-0.5126161025975954,0.5568451817097806,Denmark,DK,Industrials,Marine Transportation,United States,Norway,Denmark
A2 Milk Company Ltd,2270438937.0,95913676.63,24.27827733,3.232390758,3.360770779,6.99172742,13.38132583,9.769870448,9.354465096,455517553.3,-269056.9,-430163413.4,1842535289.0,0.956307403,0.632837404,0.589174956,3886760.036,0.130832275,-0.350424193,0.304811025,0.675413921,722934808.0,719840960,9.0,4.372,1.948,-1.0761330021578386,-0.2534250974990806,0.3183630502667496,0.4219674752135646,0.0044170489755927,-0.1104701344360261,-0.0222782868715117,0.0556455751991988,0.4877701886355148,-0.5428840721037929,0.0413536663119187,-0.0487091725033044,-0.2378715098333742,0.7620634329143589,-1.5357400355799442,-1.6799210620886065,-0.5261287256376194,-0.0075392803548092,-1.5138009794667535,0.3520507521351533,-0.3977614509240947,0.4985818243915328,0.6470314809176488,-0.8218371403909299,0.1281602166814156,0.1562797956250415,New Zealand,NZ,Consumer Staples,Packaged Foods & Meats,Australia,United States,New Zealand
A2A S.P.A.,6198952632.0,389793748.1,16.11664371,1.419488355,9.816925409,14.70216927,9.106786427,4.032926867,1.639565178,6599027694.11971,-50641400.0,4744233000.0,11538727032.0,0.765070524,4.83795209,1.615686275,0.0,0.122746585,0.388786617,0.208433547,1.073298875,3132905277.0,1541389440,6.287,2.796,1.631,-0.3641937008696284,-0.1940744919531389,-0.1503050318151832,-0.4992538698162773,0.2208733816587154,0.21710744205771,-0.125424645938469,-0.0092741546165834,-0.3348598180597733,0.0466722566616049,0.0117782710656039,-0.0047292491520642,-0.1806000711339689,0.4247317705546808,0.1048036099549506,0.0567522818821726,-1.6387458146997609,-0.0075637197063538,0.926455195490272,-0.7955839547509046,0.3529095217912343,1.50363468187704,1.183259320624986,-1.160594495589245,-0.397617253219434,-0.1135020914970741,Italy,IT,Utilities,Multi-Utilities,United States,Luxembourg,Ireland
AAC TECHNOLOGIES HOLDINGS INC.,2915991250.0,89411083.92,44.35928929,0.982068122,14.29814045,15.93528862,2.862864595,1.660479145,1.553612173,473187114.0,-4725646.98,378790201.8,3355044745.0,0.510745549,6.661901653,0.505687971,214946162.5,0.075371743,-0.078882937,0.432546785,0.756837065,1198500000.0,640220736,6.117,2.746,1.759,-0.8982364536507722,-0.2547633282597476,0.9309562648469348,-0.9162183864353576,0.3915201133494916,0.2711228649472151,-0.2773549394396469,-0.0398430123071472,-0.3440670859735867,-0.5409224677764367,0.0389406179985662,-0.0396656861464109,-0.2288791054450095,-0.1323926330411989,0.4096072502974077,-1.922208563765571,0.3963181190668496,-0.0077077646851023,-0.4401799425011268,1.278711288451642,-0.2259283804006908,0.8391656112073166,0.5668146589252493,-1.1846045360660722,-0.4176699170617525,-0.0002159079930262,China,CN,Information Technology,Electronic Manufacturing Services,United States,United Kingdom,Luxembourg
AB Sagax,8656377187.0,65349388.92,40.350448,3.293329858,-0.52520593,5.257160794234042,2.034534314,3.79973195,0.961065758,1947087585.0130303,-170996661.0,2958793776.0,11615170963.0,0.057428526,102.8936581,13.046458637450002,27065660.848484848,0.217648023,-0.026755429,0.348769684,2.007192526,313819238.0,206951504,18.44,6.42,1.81,-0.1287484857387088,-0.2597345113998459,0.8406320931431475,0.4414594053948258,-0.0946349693705728,-0.1809278786891533,-0.2977020349470269,-0.0121373269134657,-0.4075895423373228,-0.3883586716543588,-0.0633469395108803,-0.0189106620973712,-0.1801508125477131,-1.655462933249102,2.6962075759925943,2.3429034521399448,-0.1421205163738605,-0.0072794148842815,-0.2596965585067851,0.729782731622871,1.541602912035568,-0.0504759427769349,-0.1754835101435993,0.0026186369442686,0.6182418312999408,0.0432207623087606,Sweden,SE,Real Estate,Real Estate Operating Companies,Sweden,United States,Luxembourg
ABB Ltd,81402174905.0,3956000000.0,19.80602693,6.055937905,2.67696352,6.666186911,31.61259389,18.54643158,10.07487394,11024000000.0,346000000.0,3767000000.0,85806174905.0,0.810217491,2.404601748,1.488326848,1273000000.0,2.14,0.282679945,0.21381956,1.01610841,1882002575.0,1595042048,12.323,6.831,3.423,1.435604243989883,0.4947380899875316,0.090789642113836,1.0189448636294036,-0.0155468432880808,-0.1238099275659046,0.4137607208093614,0.1436731071986044,0.5643516376996178,0.4358959963107234,0.0976995105167215,-0.0124801868128023,0.251492111507214,0.5097479648549766,-0.5448184543878143,-0.0825254528133043,0.9959041289816232,-0.0022596651698066,0.6587037238221328,-0.7167641439534264,0.2573846683295777,1.1484041592371508,1.207985421212915,-0.4859085397703367,0.700144926745716,1.0770994287827849,Switzerland,CH,Industrials,Electrical Components & Equipment,United States,Switzerland,Sweden
