Feature,Importance,Std
yeo_joh_top_3_shareholder_percentage,0.11201176971920679,0.01961190667946826
yeo_joh_vola,0.0566467474032587,0.013855924459296075
yeo_joh_shares_float,0.024943896014922796,0.008528043798776301
yeo_joh_beta,0.01745101076630865,0.004405939388383562
yeo_joh_return_usd,0.01740799911571971,0.0056010973969290384
yeo_joh_net_income_usd,0.007005537116668892,0.0019487027199990203
yeo_joh_market_cap_usd,0.006713622385640361,0.011513108709801932
yeo_joh_hist_asset_turnover,0.006635015306507663,0.0028944846218643045
yeo_joh_top_2_shareholder_percentage,0.006492695700247075,0.0028606185785460003
yeo_joh_hist_gross_profit_usd,0.006242460361013713,0.0012107120251304319
yeo_joh_top_1_shareholder_percentage,0.0028268618602489857,0.0014420438920819958
yeo_joh_hist_net_debt_usd,0.0011994665437818797,0.0004409083030476946
yeo_joh_hist_roa,0.00088209004426546,0.0008674311945480202
yeo_joh_hist_book_px,0.0002759575323493135,0.00045289082713731476
yeo_joh_hist_fcf_yld,0.00021942251046453977,0.00010937121403999362
yeo_joh_hist_pe,8.627215034877622e-05,0.0001460775913247772
yeo_joh_hist_net_chg_lt_debt_usd,0.0,0.0
yeo_joh_hist_ebitda_ev,0.0,0.0
yeo_joh_hist_roic,0.0,0.0
yeo_joh_shares_outstanding,0.0,0.0
yeo_joh_hist_ev_usd,0.0,0.0
yeo_joh_hist_capex_depr,0.0,0.0
yeo_joh_hist_capex_sales,0.0,0.0
yeo_joh_hist_rd_exp_usd,0.0,0.0
yeo_joh_hist_eps_usd,-1.3825418554680446e-05,8.52338829389764e-06
random_feature,-0.0009550402038468686,0.0019527489520008662
yeo_joh_hist_roe,-0.003990733788504652,0.002168080481480355
