,Base,Yeo,Base_Random,Yeo_Random,avg_importance
hist_ev_usd,15.638696723677576,0.0,12.731792978883373,0.0,7.092622425640237
market_cap_usd,6.263061271885341,0.0,5.4278725839325865,0.0,2.922733463954482
top_1_shareholder_location_Japan,1.8201805521948822,0.0,2.126893162816575,0.0,0.9867684287528642
hist_net_debt_usd,1.5742352692515527,0.0,1.3833286519854258,0.0,0.7393909803092447
yeo_joh_hist_ebitda_ev,0.0,0.803521172185103,0.0,0.6550585243168167,0.3646449241254799
top_1_shareholder_percentage,0.39080702267801803,0.0,0.5185750099550281,0.0,0.22734550815826154
hist_roa,0.5026198728563256,0.0,0.35498841523000446,0.0,0.2144020720215825
issuer_cntry_domicile_name_Japan,0.4380198399862074,0.0,0.37090328098342007,0.0,0.20223078024240687
cntry_of_risk_JP,0.43801983998620253,0.0,0.37090328098341385,0.0,0.2022307802424041
beta,0.311869374727465,0.0,0.23134249422057307,0.0,0.13580296723700952
hist_ebitda_ev,0.3412612594551381,0.0,0.10349050115559,0.0,0.11118794015268202
top_2_shareholder_location_Ireland,0.17676854198055625,0.0,0.21087873414484437,0.0,0.09691181903135015
yeo_joh_hist_ev_usd,0.0,0.17807324914977296,0.0,0.16423858563998306,0.085577958697439
issuer_cntry_domicile_name_Switzerland,0.15008769000262145,0.0,0.1429025869701004,0.0,0.07324756924318046
shares_outstanding,0.11156190633431673,0.0,0.1771574343793454,0.0,0.07217983517841553
"gics_sub_ind_Hotels, Resorts & Cruise Lines",0.11126983611367247,0.0,0.12913687255049355,0.0,0.060101677166041506
yeo_joh_top_3_shareholder_percentage,0.0,0.1222679301778491,0.0,0.11664769287091437,0.059728905762190865
top_2_shareholder_location_France,0.10066211172074946,0.0,0.13715006185324397,0.0,0.059453043393498356
top_3_shareholder_location_Ireland,0.1242713462359386,0.0,0.10766850974995257,0.0,0.057984963996472794
net_income_usd,0.06375250106713348,0.0,0.14671653078991098,0.0,0.052617257964261116
top_3_shareholder_location_Luxembourg,0.14622254216447494,0.0,0.06235712876501087,0.0,0.052144917732371454
top_2_shareholder_location_United States,0.10614355418432586,0.0,0.08852231893831897,0.0,0.04866646828066121
top_3_shareholder_percentage,0.10961637711388261,0.0,0.054041378207371205,0.0,0.040914438830313454
cntry_of_risk_US,0.00576436441747652,0.0,0.1492495915089327,0.0,0.0387534889816023
hist_roic,0.09902977545391034,0.0,0.04106866151751232,0.0,0.035024609242855664
cntry_of_risk_GB,0.06234897012742069,0.0,0.0777050986298673,0.0,0.035013517189321997
vola,0.06919548068457082,0.0,0.06753781190714436,0.0,0.034183323147928796
yeo_joh_hist_roa,0.0,0.05272530158459188,0.0,0.07781557587286925,0.03263521936436528
gics_sub_ind_Automobile Manufacturers,0.06086338240300826,0.0,0.06204485279852656,0.0,0.030727058800383705
cntry_of_risk_MO,0.06018673155913756,0.0,0.059254831676790576,0.0,0.029860390808982035
gics_sub_ind_Computer & Electronics Retail,0.058412844094744454,0.0,0.05598019378075392,0.0,0.028598259468874593
yeo_joh_hist_gross_profit_usd,0.0,0.0482833657561027,0.0,0.050781807626025355,0.024766293345532014
top_2_shareholder_location_Sweden,0.04216690025141634,0.0,0.05472022139123767,0.0,0.0242217804106635
top_3_shareholder_location_Norway,0.05389172472953718,0.0,0.038842691825551445,0.0,0.023183604138772157
shares_float,0.002060093521860429,0.0,0.08551719913388056,0.0,0.021894323163935248
top_1_shareholder_location_United States,0.02966905689741306,0.0,0.0577812959233448,0.0,0.021862588205189465
gics_sub_ind_Leisure Facilities,0.04275701163203671,0.0,0.03276863214418979,0.0,0.018881410944056626
issuer_cntry_domicile_name_Canada,0.03800794647730554,0.0,0.03717569293556,0.0,0.018795909853216386
gics_sub_ind_Automotive Parts & Equipment,0.034986836516591846,0.0,0.038386049840601566,0.0,0.018343221589298353
top_3_shareholder_location_United Kingdom,0.04528504629794461,0.0,0.026926469942723186,0.0,0.01805287906016695
hist_gross_profit_usd,0.04581829308085672,0.0,0.025736250507699787,0.0,0.017888635897139127
yeo_joh_hist_roic,0.0,0.03650267007866026,0.0,0.02168774427101272,0.014547603587418245
yeo_joh_hist_fcf_yld,0.0,0.031386060724347464,0.0,0.017780810658634905,0.012291717845745592
top_1_shareholder_location_Australia,0.02139609327085612,0.0,0.02409860780431239,0.0,0.011373675268792127
cntry_of_risk_CA,0.03860677319634387,0.0,0.005744962070935777,0.0,0.011087933816819912
yeo_joh_hist_capex_depr,0.0,0.022511826858393924,0.0,0.018713868921082732,0.010306423944869164
hist_net_chg_lt_debt_usd,-0.0014962037993668797,0.0,0.04219520898083118,0.0,0.010174751295366075
gics_sub_ind_Education Services,0.01876339831080054,0.0,0.021785990571472347,0.0,0.010137347220568221
gics_sub_ind_Consumer Electronics,0.02044669263804666,0.0,0.01831069171440325,0.0,0.009689346088112477
cntry_of_risk_FI,0.017276660001591337,0.0,0.014488727767464349,0.0,0.007941346942263922
issuer_cntry_domicile_name_Finland,0.017276660001588673,0.0,0.014488727767465348,0.0,0.007941346942263505
gics_sub_ind_Distributors,0.015184657614455754,0.0,0.013453164242461568,0.0,0.007159455464229331
yeo_joh_top_1_shareholder_percentage,0.0,0.008703298391090075,0.0,0.01224043122288665,0.005235932403494181
cntry_of_risk_CH,0.010149866360184667,0.0,0.009307474396425541,0.0,0.004864335189152552
gics_sub_ind_Homebuilding,0.005888639775801008,0.0,0.01325037206317381,0.0,0.004784752959743704
yeo_joh_hist_pe,0.0,0.007764923455027772,0.0,0.010414156362079319,0.004544769954276773
issuer_cntry_domicile_name_United Kingdom,-0.0005197160139458479,0.0,0.018225059976339386,0.0,0.0044263359905983846
gics_sub_ind_Motorcycle Manufacturers,0.009990553329729535,0.0,0.00767729683938978,0.0,0.004416962542279829
yeo_joh_hist_book_px,0.0,0.005315334334658139,0.0,0.009631018955916337,0.003736588322643619
gics_sub_ind_Homefurnishing Retail,0.006218710745458211,0.0,0.007797087368243583,0.0,0.0035039495284254485
top_2_shareholder_location_Luxembourg,0.00844334016547399,0.0,0.005490388555121184,0.0,0.0034834321801487933
gics_sub_ind_Other Specialty Retail,0.011416063058941606,0.0,0.0023151083064697486,0.0,0.0034327928413528386
cntry_of_risk_DK,0.003780475931477456,0.0,0.009733292970914742,0.0,0.0033784422255980495
issuer_cntry_domicile_name_Denmark,0.003780475931477012,0.0,0.009733292970914298,0.0,0.0033784422255978275
yeo_joh_shares_outstanding,0.0,0.0010399395096263309,0.0,0.009949015870693523,0.0027472388450799634
yeo_joh_top_2_shareholder_percentage,0.0,0.0034976801776607225,0.0,0.005847170140123037,0.00233621257944594
top_2_shareholder_location_Canada,0.0034364308816720035,0.0,0.0032675688465862995,0.0,0.0016759999320645758
yeo_joh_hist_capex_sales,0.0,0.0027699845659507893,0.0,0.0036226706635282824,0.001598163807369768
yeo_joh_hist_eps_usd,0.0,0.0028662397388755645,0.0,0.003347959240527665,0.0015535497448508073
gics_sub_ind_Home Improvement Retail,0.004218214247040497,0.0,0.0015311453554971433,0.0,0.00143733990063441
cntry_of_risk_FR,0.008839548100760042,0.0,-0.003466599628857092,0.0,0.0013432371179757374
issuer_cntry_domicile_name_France,0.008839548100755823,0.0,-0.003466599628855871,0.0,0.001343237117974988
cntry_of_risk_AU,0.003861319961017906,0.0,0.0010779121512256573,0.0,0.0012348080280608908
issuer_cntry_domicile_name_Ireland,0.002159301891018095,0.0,0.00024671743203297236,0.0,0.0006015048307627668
top_2_shareholder_location_Switzerland,0.0078128929198501,0.0,-0.0058117751852770905,0.0,0.0005002794336432526
gics_sub_ind_Household Appliances,-0.0023973186519364864,0.0,0.004226012246921762,0.0,0.0004571733987463189
gics_sub_ind_Tires & Rubber,0.0014112032417771259,0.0,-0.0006292195942495526,0.0,0.0001954959118818933
yeo_joh_shares_float,0.0,0.0015009116142696843,0.0,-0.0009492943879265692,0.0001379043065857788
top_3_shareholder_location_Germany,0.00046612372137710967,0.0,3.4054849167075574e-05,0.0,0.0001250446426360463
hist_book_px,0.00030705508865180864,0.0,0.00017271255258577423,0.0,0.00011994191030939572
gics_sub_ind_Apparel Retail,0.0007374538748196047,0.0,-0.0003214019587960415,0.0,0.0001040129790058908
top_1_shareholder_location_Sweden,0.00022806532516361777,0.0,-0.00016881281678560178,0.0,1.4813127094503997e-05
issuer_cntry_domicile_name_China,0.0,0.0,2.220446049250313e-16,0.0,5.551115123125783e-17
gics_sub_ind_Distillers & Vintners,0.0,0.0,0.0,0.0,0.0
top_1_shareholder_location_India,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Oil & Gas Drilling,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Electronic Components,0.0,0.0,0.0,0.0,0.0
top_3_shareholder_location_United States,0.0,0.0,0.0,0.0,0.0
issuer_cntry_domicile_name_Greece,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_TH,0.0,0.0,0.0,0.0,0.0
gics_sector_Energy,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Integrated Telecommunication Services,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Data Processing & Outsourced Services,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Diversified Metals & Mining,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_IN,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Biotechnology,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Tobacco,0.0,0.0,0.0,0.0,0.0
top_1_shareholder_location_Turkey,0.0,0.0,0.0,0.0,0.0
gics_sector_Consumer Discretionary,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_NO,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Oil & Gas Exploration & Production,0.0,0.0,0.0,0.0,0.0
top_3_shareholder_location_Austria,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Aerospace & Defense,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Airport Services,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Commercial & Residential Mortgage Finance,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Communications Equipment,0.0,0.0,0.0,0.0,0.0
top_2_shareholder_location_Spain,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Copper,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_IT,0.0,0.0,0.0,0.0,0.0
issuer_cntry_domicile_name_Taiwan,0.0,0.0,0.0,0.0,0.0
issuer_cntry_domicile_name_South Africa,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Fertilizers & Agricultural Chemicals,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Household Products,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Commercial Printing,0.0,0.0,0.0,0.0,0.0
top_1_shareholder_location_Brazil,0.0,0.0,0.0,0.0,0.0
top_2_shareholder_location_Austria,0.0,0.0,0.0,0.0,0.0
issuer_cntry_domicile_name_Cayman Islands,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Coal & Consumable Fuels,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Home Furnishings,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Real Estate Services,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Reinsurance,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_BF,0.0,0.0,0.0,0.0,0.0
gics_sector_Utilities,0.0,0.0,0.0,0.0,0.0
top_1_shareholder_location_Spain,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Renewable Electricity,0.0,0.0,0.0,0.0,0.0
top_2_shareholder_location_South Africa,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Health Care Services,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Construction & Engineering,0.0,0.0,0.0,0.0,0.0
top_2_shareholder_location_Hong Kong,0.0,0.0,0.0,0.0,0.0
top_2_shareholder_location_China,0.0,0.0,0.0,0.0,0.0
issuer_cntry_domicile_name_Austria,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_ZA,0.0,0.0,0.0,0.0,0.0
top_1_shareholder_location_United Kingdom,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Semiconductor Materials & Equipment,0.0,0.0,0.0,0.0,0.0
issuer_cntry_domicile_name_Singapore,0.0,0.0,0.0,0.0,0.0
top_1_shareholder_location_Germany,0.0,0.0,0.0,0.0,0.0
issuer_cntry_domicile_name_Brazil,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_TR,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Paper Products,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Alternative Carriers,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Investment Banking & Brokerage,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Oil & Gas Equipment & Services,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Consumer Staples Merchandise Retail,0.0,0.0,0.0,0.0,0.0
top_3_shareholder_location_Namibia,0.0,0.0,0.0,0.0,0.0
top_1_shareholder_location_Ireland,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Passenger Ground Transportation,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_MX,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Brewers,0.0,0.0,0.0,0.0,0.0
top_3_shareholder_location_Denmark,0.0,0.0,0.0,0.0,0.0
top_3_shareholder_location_Australia,0.0,0.0,0.0,0.0,0.0
top_1_shareholder_location_Norway,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Construction Machinery & Heavy Transportation Equipment,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Security & Alarm Services,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Consumer Finance,0.0,0.0,0.0,0.0,0.0
top_3_shareholder_location_Belgium,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Health Care Equipment,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Health Care Distributors,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_IL,0.0,0.0,0.0,0.0,0.0
top_3_shareholder_location_Switzerland,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Internet Services & Infrastructure,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_PT,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Diversified Chemicals,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_NZ,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Real Estate Operating Companies,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Environmental & Facilities Services,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_PL,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Agricultural Products & Services,0.0,0.0,0.0,0.0,0.0
top_2_shareholder_location_Belgium,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Interactive Home Entertainment,0.0,0.0,0.0,0.0,0.0
top_1_shareholder_location_France,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Agricultural & Farm Machinery,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Food Distributors,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Managed Health Care,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_CL,0.0,0.0,0.0,0.0,0.0
top_2_shareholder_location_Greece,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_MY,0.0,0.0,0.0,0.0,0.0
issuer_cntry_domicile_name_Thailand,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_ZM,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Broadcasting,0.0,0.0,0.0,0.0,0.0
issuer_cntry_domicile_name_JERSEY,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Semiconductors,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Human Resource & Employment Services,0.0,0.0,0.0,0.0,0.0
top_3_shareholder_location_Bahamas,0.0,0.0,0.0,0.0,0.0
top_1_shareholder_location_Canada,0.0,0.0,0.0,0.0,0.0
top_3_shareholder_location_Portugal,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Property & Casualty Insurance,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Cargo Ground Transportation,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Industrial Conglomerates,0.0,0.0,0.0,0.0,0.0
top_3_shareholder_location_Singapore,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Aluminum,0.0,0.0,0.0,0.0,0.0
top_3_shareholder_location_Finland,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Rail Transportation,0.0,0.0,0.0,0.0,0.0
top_2_shareholder_location_Singapore,0.0,0.0,0.0,0.0,0.0
gics_sector_Financials,0.0,0.0,0.0,0.0,0.0
top_3_shareholder_location_Israel,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Life & Health Insurance,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Independent Power Producers & Energy Traders,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Steel,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Diversified Capital Markets,0.0,0.0,0.0,0.0,0.0
top_2_shareholder_location_Romania,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Multi-line Insurance,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Electronic Equipment & Instruments,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Technology Distributors,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Interactive Media & Services,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Financial Exchanges & Data,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Office Services & Supplies,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_NL,0.0,0.0,0.0,0.0,0.0
top_3_shareholder_location_Greece,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Silver,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Research & Consulting Services,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Water Utilities,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_PR,0.0,0.0,0.0,0.0,0.0
top_3_shareholder_location_Cayman Islands,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Trading Companies & Distributors,0.0,0.0,0.0,0.0,0.0
top_3_shareholder_location_Guernsey,0.0,0.0,0.0,0.0,0.0
top_1_shareholder_location_Taiwan,0.0,0.0,0.0,0.0,0.0
top_3_shareholder_location_Not Available,0.0,0.0,0.0,0.0,0.0
gics_sector_Real Estate,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_GH,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Application Software,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Specialized Consumer Services,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Systems Software,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_HK,0.0,0.0,0.0,0.0,0.0
top_3_shareholder_location_Spain,0.0,0.0,0.0,0.0,0.0
issuer_cntry_domicile_name_Portugal,0.0,0.0,0.0,0.0,0.0
issuer_cntry_domicile_name_Mexico,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_RU,0.0,0.0,0.0,0.0,0.0
top_2_shareholder_location_South Korea,0.0,0.0,0.0,0.0,0.0
gics_sector_Industrials,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Real Estate Development,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Drug Retail,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_LU,0.0,0.0,0.0,0.0,0.0
top_1_shareholder_location_Switzerland,0.0,0.0,0.0,0.0,0.0
top_3_shareholder_location_Japan,0.0,0.0,0.0,0.0,0.0
issuer_cntry_domicile_name_India,0.0,0.0,0.0,0.0,0.0
issuer_cntry_domicile_name_New Zealand,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Paper & Plastic Packaging Products & Materials,0.0,0.0,0.0,0.0,0.0
issuer_cntry_domicile_name_Norway,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Cable & Satellite,0.0,0.0,0.0,0.0,0.0
top_2_shareholder_location_Netherlands,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_BM,0.0,0.0,0.0,0.0,0.0
top_3_shareholder_location_Panama,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Health Care Technology,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Wireless Telecommunication Services,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Highways & Railtracks,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Air Freight & Logistics,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Multi-Sector Holdings,0.0,0.0,0.0,0.0,0.0
top_3_shareholder_location_New Zealand,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Diversified Banks,0.0,0.0,0.0,0.0,0.0
"gics_sub_ind_Metal, Glass & Plastic Containers",0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Regional Banks,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Passenger Airlines,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_BR,0.0,0.0,0.0,0.0,0.0
gics_sector_Materials,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Transaction & Payment Processing Services,0.0,0.0,0.0,0.0,0.0
top_3_shareholder_location_Bermuda,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Industrial Gases,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Pharmaceuticals,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Asset Management & Custody Banks,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Electric Utilities,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Marine Ports & Services,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_JO,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Specialty Chemicals,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Packaged Foods & Meats,0.0,0.0,0.0,0.0,0.0
top_1_shareholder_location_China,0.0,0.0,0.0,0.0,0.0
top_2_shareholder_location_Turkey,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Precious Metals & Minerals,0.0,0.0,0.0,0.0,0.0
top_3_shareholder_location_China,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Insurance Brokers,0.0,0.0,0.0,0.0,0.0
top_3_shareholder_location_Sweden,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Housewares & Specialties,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_IE,0.0,0.0,0.0,0.0,0.0
top_2_shareholder_location_Taiwan,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Diversified Financial Services,0.0,0.0,0.0,0.0,0.0
"gics_sub_ind_Technology Hardware, Storage & Peripherals",0.0,0.0,0.0,0.0,0.0
top_1_shareholder_location_Belgium,0.0,0.0,0.0,0.0,0.0
top_2_shareholder_location_Brazil,0.0,0.0,0.0,0.0,0.0
top_2_shareholder_location_Cayman Islands,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Specialized Finance,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_TW,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Multi-Utilities,0.0,0.0,0.0,0.0,0.0
gics_sector_Information Technology,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_GR,0.0,0.0,0.0,0.0,0.0
top_2_shareholder_location_Germany,0.0,0.0,0.0,0.0,0.0
top_2_shareholder_location_Israel,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Gold,0.0,0.0,0.0,0.0,0.0
issuer_cntry_domicile_name_Kazakhstan,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_KZ,0.0,0.0,0.0,0.0,0.0
top_3_shareholder_location_Hong Kong,0.0,0.0,0.0,0.0,0.0
gics_sector_Health Care,0.0,0.0,0.0,0.0,0.0
issuer_cntry_domicile_name_Luxembourg,0.0,0.0,0.0,0.0,0.0
top_2_shareholder_location_Liechtenstein,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Soft Drinks & Non-alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
top_1_shareholder_location_Luxembourg,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_BE,0.0,0.0,0.0,0.0,0.0
