,Base,Yeo,Base_Random,Yeo_Random,avg_importance
market_cap_usd,383.29463840634287,0.0,736.8366934527727,0.0,280.0328329647789
hist_ev_usd,386.79945697972767,0.0,694.5935915523271,0.0,270.3482621330137
shares_float,0.6660357558888812,0.0,43.70819635526345,0.0,11.093558027788085
shares_outstanding,11.252062269667206,0.0,23.808523657445242,0.0,8.765146481778112
hist_net_debt_usd,14.92589748815604,0.0,17.85469536931041,0.0,8.195148214366611
hist_gross_profit_usd,1.6187431085210182,0.0,8.49502673036823,0.0,2.528442459722312
hist_roa,3.927446127501881,0.0,3.5402099947632593,0.0,1.866914030566285
yeo_joh_hist_roic,0.0,3.546547210519287,0.0,3.6744830394541985,1.8052575624933713
hist_pe,4.794808141483413,0.0,1.0608222757280803,0.0,1.4639076043028734
top_2_shareholder_percentage,3.073533626579948,0.0,2.31274638069916,0.0,1.346570001819777
yeo_joh_hist_roa,0.0,2.4225234829617115,0.0,2.55193902559701,1.2436156271396803
hist_fcf_yld,1.6740929861621439,0.0,2.8286507780282584,0.0,1.1256859410476006
yeo_joh_hist_ev_usd,0.0,2.2306801895241053,0.0,2.193274489030761,1.1059886696387164
yeo_joh_market_cap_usd,0.0,1.6612836334894707,0.0,1.5677179286961764,0.8072503905464118
net_income_usd,0.2072264516361706,0.0,2.8798951774208827,0.0,0.7717804072642633
cntry_of_risk_GB,0.9728575758995692,0.0,1.7322205568417086,0.0,0.6762695331853195
gics_sub_ind_Oil & Gas Exploration & Production,1.7585979704333852,0.0,0.4949204926471964,0.0,0.5633796157701454
hist_eps_usd,1.386059540572301,0.0,0.48176257011298596,0.0,0.46695552767132176
top_1_shareholder_percentage,1.926995611786138,0.0,-0.11326387011409444,0.0,0.4534329354180109
hist_net_chg_lt_debt_usd,0.6464588709650929,0.0,0.7739549252860982,0.0,0.3551034490627978
yeo_joh_hist_capex_sales,0.0,0.663064177673212,0.0,0.6716759431607691,0.33368503020849527
hist_ebitda_ev,1.2666915018361227,0.0,-0.2845419215049585,0.0,0.24553739508279104
gics_sub_ind_Oil & Gas Storage & Transportation,0.4961484982145077,0.0,0.47877209834449275,0.0,0.2437301491397501
yeo_joh_shares_float,0.0,0.43703350172863176,0.0,0.35559705358146054,0.19815763882752307
yeo_joh_top_3_shareholder_percentage,0.0,0.3601504366468029,0.0,0.3541582765972704,0.17857717831101833
yeo_joh_hist_net_debt_usd,0.0,0.35390418894854614,0.0,0.32002533050178306,0.1684823798625823
yeo_joh_vola,0.0,0.3178792009608906,0.0,0.3026359003298791,0.15512877532269242
cntry_of_risk_US,0.08932730184488591,0.0,0.5075318569431015,0.0,0.14921478969699686
return_usd,0.38998453741995753,0.0,0.19875826272028085,0.0,0.1471857000350596
top_3_shareholder_percentage,0.06601201627436382,0.0,0.47754506178623934,0.0,0.1358892695151508
yeo_joh_top_2_shareholder_percentage,0.0,0.21450766298025847,0.0,0.2569241715784265,0.11785795863967125
yeo_joh_hist_fcf_yld,0.0,0.22395973376593892,0.0,0.2397571871961106,0.11592923024051238
gics_sub_ind_Integrated Oil & Gas,0.5512631342043584,0.0,-0.14348254625203616,0.0,0.10194514698808055
gics_sub_ind_Oil & Gas Refining & Marketing,0.14422012866251954,0.0,0.1997923286901493,0.0,0.08600311433816721
top_3_shareholder_location_United Kingdom,0.26130488455589607,0.0,0.04892377169007034,0.0,0.0775571640614916
cntry_of_risk_CA,0.41878761004837983,0.0,-0.10874640791259793,0.0,0.07751030053394548
issuer_cntry_domicile_name_Canada,0.4187876100483354,0.0,-0.10874640791258905,0.0,0.0775103005339366
yeo_joh_shares_outstanding,0.0,0.08010731964093587,0.0,0.15244675854774226,0.05813851954716953
vola,0.13566724300149957,0.0,0.08164113691643493,0.0,0.054327094979483626
issuer_cntry_domicile_name_United Kingdom,0.044498241212121314,0.0,0.1705819228910741,0.0,0.053770041025798854
hist_rd_exp_usd,0.16383875217570676,0.0,0.03070901458965203,0.0,0.0486369416913397
yeo_joh_hist_ebitda_ev,0.0,0.09515178815002812,0.0,0.09610904678049748,0.0478152087326314
top_1_shareholder_location_Canada,0.09673948613385974,0.0,0.07259694602142552,0.0,0.042334108038821316
top_2_shareholder_location_Luxembourg,-0.04335621664179712,0.0,0.1338991042504052,0.0,0.022635721902152017
gics_sub_ind_Oil & Gas Drilling,0.0522869870433027,0.0,0.021865802528681755,0.0,0.018538197392996114
top_3_shareholder_location_Luxembourg,-0.0005443808332117328,0.0,0.06449977052589517,0.0,0.01598884742317086
top_3_shareholder_location_Ireland,0.27698937803290313,0.0,-0.21571349345513902,0.0,0.01531897114444103
yeo_joh_hist_rd_exp_usd,0.0,0.028584755732226963,0.0,0.027598678759266138,0.014045858622873275
issuer_cntry_domicile_name_Italy,0.040662430334247546,0.0,0.007499993069004063,0.0,0.012040605850812902
cntry_of_risk_IT,0.04066243033424932,0.0,0.0074999930690022865,0.0,0.012040605850812902
yeo_joh_hist_capex_depr,0.0,0.02045585943346051,0.0,0.02470767979190147,0.011290884806340495
gics_sub_ind_Coal & Consumable Fuels,0.04028253589443409,0.0,-0.004873165878860775,0.0,0.008852342503893329
