,Base,Yeo,Base_Random,Yeo_Random,avg_importance
gics_sub_ind_Multi-Sector Holdings,1.7109733128996538,0.0,1.7460193632308858,0.0,0.8642481690326349
issuer_cntry_domicile_name_United States of America,1.4288825695109892,0.0,1.503399999209364,0.0,0.7330706421800883
issuer_cntry_domicile_name_Switzerland,1.206112605219829,0.0,1.2328154228143546,0.0,0.6097320070085459
top_1_shareholder_location_Switzerland,1.152079743859673,0.0,1.144130543876031,0.0,0.574052571933926
hist_ev_usd,0.9777222455942933,0.0,0.9832279457843072,0.0,0.4902375478446501
yeo_joh_shares_outstanding,0.0,0.8583644380736377,0.0,0.9577585423410939,0.4540307451036829
top_1_shareholder_location_United States,0.485516903764335,0.0,0.4851512843324599,0.0,0.24266704702419872
gics_sub_ind_Property & Casualty Insurance,0.376806281034618,0.0,0.3923083299146981,0.0,0.19227865273732903
top_3_shareholder_location_Germany,0.3800301425879411,0.0,0.37469128540686825,0.0,0.18868035699870234
top_2_shareholder_percentage,0.34672479317271154,0.0,0.3504439360853553,0.0,0.1742921823145167
yeo_joh_top_1_shareholder_percentage,0.0,0.3389468526491548,0.0,0.35280687395718857,0.17293843165158584
return_usd,0.27894277338177176,0.0,0.28633488512988947,0.0,0.1413194146279153
top_2_shareholder_location_Luxembourg,0.2578807399518155,0.0,0.28115902840838203,0.0,0.13475994209004938
top_3_shareholder_location_United Kingdom,0.2577401534130388,0.0,0.2584775594798998,0.0,0.12905442822323465
top_3_shareholder_location_Luxembourg,0.24061083380394166,0.0,0.257091476655404,0.0,0.12442557761483641
hist_rd_exp_usd,0.14117184148108208,0.0,0.14660532651802782,0.0,0.07194429199977748
yeo_joh_return_usd,0.0,0.14028098311314352,0.0,0.14514897083792277,0.07135748848776657
hist_gross_profit_usd,0.1300924178092373,0.0,0.1307189382598608,0.0,0.06520283901727453
cntry_of_risk_US,0.13959579226417418,0.0,0.11134791113966003,0.0,0.06273592585095855
hist_roic,0.12185490953220324,0.0,0.12026686006694831,0.0,0.06053044239978789
yeo_joh_vola,0.0,0.11763130566674995,0.0,0.1206578569275445,0.05957229064857361
hist_pe,0.10016288393109107,0.0,0.09980609628834713,0.0,0.04999224505485955
yeo_joh_hist_roa,0.0,0.07074850182958059,0.0,0.07408173762669801,0.03620755986406965
gics_sub_ind_Financial Exchanges & Data,0.06438747490125252,0.0,0.06514144998268989,0.0,0.0323822312209856
top_2_shareholder_location_Japan,0.056779076052180244,0.0,0.05904746400125305,0.0,0.028956635013358323
yeo_joh_beta,0.0,0.05609216768298442,0.0,0.0564832868601286,0.028143863635778255
yeo_joh_hist_asset_turnover,0.0,0.05388411855777164,0.0,0.05346792567374514,0.026838011057879196
hist_book_px,0.052725256014554134,0.0,0.052722868489126995,0.0,0.026362031125920282
cntry_of_risk_NL,0.05051655202095162,0.0,0.05438604923401158,0.0,0.0262256503137408
issuer_cntry_domicile_name_Netherlands,0.050516551259704556,0.0,0.054386048964431666,0.0,0.026225650056034056
yeo_joh_hist_pe,0.0,0.050799453610832934,0.0,0.051536130018456916,0.025583895907322463
yeo_joh_hist_net_chg_lt_debt_usd,0.0,0.041234462014577034,0.0,0.04341360342724254,0.021162016360454894
gics_sub_ind_Asset Management & Custody Banks,0.03639185091276431,0.0,0.036985619071117526,0.0,0.01834436749597046
yeo_joh_hist_net_debt_usd,0.0,0.025223266454391435,0.0,0.0259593298640608,0.012795649079613058
top_3_shareholder_location_Sweden,0.02439665260439483,0.0,0.024707487992600363,0.0,0.012276035149248798
random_feature,0.0,0.0,0.029376928188696638,0.014305507384800187,0.010920608893374206
