,Base,Yeo,Base_Random,Yeo_Random,avg_importance
vola,5.091302983530767,0.0,3.0140677904232973,0.0,2.026342693488516
top_1_shareholder_location_United States,3.132792752574403,0.0,1.8154096153666544,0.0,1.2370505919852643
top_1_shareholder_percentage,2.0774133849156797,0.0,2.113742483803108,0.0,1.047788967179697
hist_roa,3.033040173266734,0.0,1.0490486445336415,0.0,1.020522204450094
top_2_shareholder_location_United States,1.3714171467461398,0.0,1.9160400777378612,0.0,0.8218643061210003
hist_net_debt_usd,0.8307107492746155,0.0,2.194713802619468,0.0,0.7563561379735209
hist_gross_profit_usd,2.478611464430429,0.0,0.41728629597040623,0.0,0.7239744401002088
issuer_cntry_domicile_name_United States of America,1.4932989972780604,0.0,1.2088744575688892,0.0,0.6755433637117374
yeo_joh_shares_float,0.0,1.5369330310742852,0.0,1.1185975454022605,0.6638826441191364
yeo_joh_shares_outstanding,0.0,1.2865385491987145,0.0,0.9825254765406679,0.5672660064348456
top_3_shareholder_percentage,0.8786222972687341,0.0,1.1473020469669777,0.0,0.5064810860589279
hist_ev_usd,1.3683929070072125,0.0,0.13642137124646325,0.0,0.37620356956341894
cntry_of_risk_CH,0.2428496454378859,0.0,1.1850090856036388,0.0,0.3569646827603812
return_usd,0.6181654438515736,0.0,0.6264506074125435,0.0,0.3111540128160293
gics_sub_ind_Health Care Services,0.8058467129336719,0.0,0.16394405105916832,0.0,0.24244769099821006
gics_sub_ind_Biotechnology,0.20011626899436408,0.0,0.7672618810846288,0.0,0.24184453751974822
yeo_joh_hist_roe,0.0,0.5191140722678373,0.0,0.43106069874280206,0.23754369275265985
issuer_cntry_domicile_name_Japan,0.4611341411015957,0.0,0.3389393932723763,0.0,0.200018383593493
cntry_of_risk_JP,0.4611341409020895,0.0,0.3389393932717155,0.0,0.20001838354345125
top_3_shareholder_location_United States,0.46329962596994534,0.0,0.23577396859380428,0.0,0.1747683986409374
cntry_of_risk_US,0.40825512695153066,0.0,0.22160326708777234,0.0,0.15746459850982575
yeo_joh_hist_roa,0.0,0.30680350856962146,0.0,0.29656297730489545,0.15084162146862923
shares_float,0.6431137220509839,0.0,-0.05265671193427579,0.0,0.14761425252917704
hist_asset_turnover,0.4663885642602281,0.0,0.09130817291964632,0.0,0.1394241842949686
top_2_shareholder_location_Japan,0.2649429357095485,0.0,0.2901444563663844,0.0,0.13877184801898323
yeo_joh_vola,0.0,0.30491666433349107,0.0,0.22066913690087175,0.1313964503085907
yeo_joh_hist_book_px,0.0,0.2391967383212732,0.0,0.28583807041079634,0.13125870218301738
top_3_shareholder_location_Ireland,0.2786483279266676,0.0,0.22690155080613295,0.0,0.12638746968320014
top_3_shareholder_location_United Kingdom,0.23227391439496614,0.0,0.19859964453713275,0.0,0.10771838973302472
gics_sub_ind_Health Care Technology,0.18654930268887426,0.0,0.23139020646001995,0.0,0.10448487728722355
yeo_joh_hist_asset_turnover,0.0,0.1547759226535228,0.0,0.17703321804160588,0.08295228517378217
yeo_joh_hist_eps_usd,0.0,0.1387236893811572,0.0,0.173405218027336,0.0780322268521233
gics_sub_ind_Life Sciences Tools & Services,0.12392212771467115,0.0,0.1786958690556233,0.0,0.07565449919257361
issuer_cntry_domicile_name_Germany,0.08633487691774633,0.0,0.14861054966571885,0.0,0.058736356645866294
cntry_of_risk_DE,0.08633487688459951,0.0,0.1486105496686818,0.0,0.05873635663832033
top_3_shareholder_location_Sweden,0.12717167323526724,0.0,0.10558660981951107,0.0,0.058189570763694576
gics_sub_ind_Health Care Supplies,0.0702332636154992,0.0,0.16005032548991238,0.0,0.057570897276352895
yeo_joh_hist_gross_profit_usd,0.0,0.15056151504592052,0.0,0.07406756549157012,0.05615727013437266
yeo_joh_market_cap_usd,0.0,0.06615197689215302,0.0,0.1440551636845775,0.05255178514418263
cntry_of_risk_GB,0.16742108537668798,0.0,0.035853948248728784,0.0,0.05081875840635419
market_cap_usd,0.3024776869779231,0.0,-0.10780000921717203,0.0,0.04866941944018777
cntry_of_risk_AU,0.03539783046973355,0.0,0.10060777844807944,0.0,0.03400140222945325
hist_capex_sales,0.11619141935143773,0.0,0.01070256536561942,0.0,0.03172349617926429
top_2_shareholder_location_Ireland,0.05181053500506749,0.0,0.04962635358793932,0.0,0.025359222148251703
yeo_joh_hist_capex_depr,0.0,0.049515150178820244,0.0,0.05021512374727988,0.02493256848152503
gics_sub_ind_Managed Health Care,0.013096366545731541,0.0,0.08406788040109348,0.0,0.024291061736706254
yeo_joh_return_usd,0.0,0.0441396348924612,0.0,0.042137899222268294,0.021569383528682373
top_1_shareholder_location_Australia,0.018733633819188356,0.0,0.06710587288635139,0.0,0.021459876676384937
top_2_shareholder_location_Canada,0.0340924853039013,0.0,0.04559793104031229,0.0,0.019922604086053397
yeo_joh_hist_net_chg_lt_debt_usd,0.0,0.0334955508849355,0.0,0.03721950002764718,0.01767876272814567
