,Base,Yeo,Base_Random,Yeo_Random,avg_importance
hist_ev_usd,3.984962511686136,0.0,4.442714386064101,0.0,2.106919224437559
market_cap_usd,2.209503871124876,0.0,2.4980157836463945,0.0,1.1768799136928176
issuer_cntry_domicile_name_Switzerland,0.599257435256926,0.0,0.5854019291413319,0.0,0.2961648410995645
shares_outstanding,0.5016413814233018,0.0,0.5184468387751924,0.0,0.25502205504962355
yeo_joh_shares_outstanding,0.0,0.5281110675606873,0.0,0.4911993358270852,0.2548276008469431
yeo_joh_shares_float,0.0,0.4869280287095139,0.0,0.49052696766676407,0.2443637490940695
hist_net_debt_usd,0.27886128067560434,0.0,0.31012286847941706,0.0,0.14724603728875535
top_2_shareholder_location_Switzerland,0.28741016110935447,0.0,0.2777702147953496,0.0,0.141295093976176
yeo_joh_market_cap_usd,0.0,0.27532903248549834,0.0,0.24738587786063382,0.13067872758653304
yeo_joh_hist_ev_usd,0.0,0.24751562077371758,0.0,0.2496138329858122,0.12428236343988244
issuer_cntry_domicile_name_Germany,0.18723472824203014,0.0,0.19057839494198658,0.0,0.09445328079600418
vola,0.17375489567631064,0.0,0.18513807280833716,0.0,0.08972324212116195
hist_fcf_yld,0.13818250492054274,0.0,0.1407308583516067,0.0,0.06972834081803736
top_1_shareholder_location_Switzerland,0.1326340391504106,0.0,0.12577380073372502,0.0,0.0646019599710339
top_2_shareholder_location_Germany,0.12610799981052745,0.0,0.1321254363605091,0.0,0.06455835904275914
top_2_shareholder_percentage,0.1031296388807812,0.0,0.09983611312582186,0.0,0.05074143800165076
top_3_shareholder_location_Luxembourg,0.08894468201265271,0.0,0.10085679731997055,0.0,0.047450369833155814
top_2_shareholder_location_Luxembourg,0.07727776850468726,0.0,0.08297547478700196,0.0,0.040063310822922304
beta,0.06985885320781726,0.0,0.07795230406221276,0.0,0.036952789317507506
hist_capex_sales,0.06773023716555837,0.0,0.06841228563142154,0.0,0.03403563069924498
cntry_of_risk_HK,0.06887040242879117,0.0,0.06711081666732,0.0,0.03399530477402779
yeo_joh_hist_roic,0.0,0.06323213201686029,0.0,0.07088321333287917,0.033528836337434864
shares_float,0.06605373051090568,0.0,0.062441781846722444,0.0,0.03212387808940703
cntry_of_risk_US,0.05869587359097017,0.0,0.06196857687734503,0.0,0.0301661126170788
yeo_joh_hist_asset_turnover,0.0,0.05974637975590513,0.0,0.05403980681737375,0.02844654664331972
issuer_cntry_domicile_name_France,0.04726110408815809,0.0,0.05484605276226118,0.0,0.025526789212604817
yeo_joh_top_3_shareholder_percentage,0.0,0.04364301855707908,0.0,0.04421182895379083,0.02196371187771748
yeo_joh_net_income_usd,0.0,0.03957835292730583,0.0,0.04773977210254665,0.02182953125746312
gics_sub_ind_Human Resource & Employment Services,0.0437362676792894,0.0,0.04334912343763042,0.0,0.021771347779229955
gics_sub_ind_Industrial Conglomerates,0.04064660604257697,0.0,0.041410251196618786,0.0,0.02051421430979894
hist_gross_profit_usd,0.04073479202895536,0.0,0.04028131950292191,0.0,0.020254027882969317
hist_asset_turnover,0.04071033000533952,0.0,0.039128064812354646,0.0,0.019959598704423542
issuer_cntry_domicile_name_Ireland,0.032546898241674116,0.0,0.03444997678535344,0.0,0.01674921875675689
top_3_shareholder_location_United Kingdom,0.028907275913741648,0.0,0.03480379506449105,0.0,0.015927767744558174
yeo_joh_hist_gross_profit_usd,0.0,0.030427974642590283,0.0,0.02881613991729659,0.014811028639971718
top_1_shareholder_location_Japan,0.03076835273717382,0.0,0.02735877482499305,0.0,0.014531781890541717
issuer_cntry_domicile_name_China,0.02839775744281714,0.0,0.02877029866969605,0.0,0.014292014028128297
issuer_cntry_domicile_name_Canada,0.026604316806118966,0.0,0.025920649137713525,0.0,0.013131241485958123
top_1_shareholder_location_United Kingdom,0.026775290847413036,0.0,0.02496389618964967,0.0,0.012934796759265677
gics_sub_ind_Rail Transportation,0.02403364316125467,0.0,0.025588449800552526,0.0,0.012405523240451799
gics_sub_ind_Air Freight & Logistics,0.0207308420422625,0.0,0.02306147428716021,0.0,0.010948079082355677
top_2_shareholder_location_France,0.02215592369856445,0.0,0.021274162253817286,0.0,0.010857521488095434
yeo_joh_vola,0.0,0.020033733983447433,0.0,0.02073347639077827,0.010191802593556426
yeo_joh_top_1_shareholder_percentage,0.0,0.018454141489495535,0.0,0.020874741112295925,0.009832220650447865
gics_sub_ind_Marine Transportation,0.017965951989777684,0.0,0.021286699973088297,0.0,0.009813162990716495
cntry_of_risk_DE,0.02022552260010424,0.0,0.018796177731690067,0.0,0.009755425082948577
gics_sub_ind_Passenger Ground Transportation,0.018654724795902577,0.0,0.018837448896510844,0.0,0.009373043423103355
issuer_cntry_domicile_name_United Kingdom,0.01852477278198572,0.0,0.018080136824817794,0.0,0.009151227401700879
cntry_of_risk_GB,0.017202239681603393,0.0,0.017608348700159926,0.0,0.00870264709544083
gics_sub_ind_Agricultural & Farm Machinery,0.016248073354754977,0.0,0.017800171206968418,0.0,0.008512061140430849
top_2_shareholder_location_South Korea,0.018064580293680743,0.0,0.015913828987913492,0.0,0.008494602320398559
gics_sub_ind_Cargo Ground Transportation,0.01578692191728126,0.0,0.017124670115758356,0.0,0.008227898008259904
gics_sub_ind_Construction & Engineering,0.011916002927252256,0.0,0.01683158495379322,0.0,0.007186896970261369
top_2_shareholder_location_Spain,0.013440472662090919,0.0,0.012671926697022773,0.0,0.006528099839778423
hist_ebitda_ev,0.013527649201705572,0.0,0.010980046475840277,0.0,0.006126923919386462
top_1_shareholder_location_India,0.011269425899887553,0.0,0.011377815925963652,0.0,0.005661810456462801
cntry_of_risk_IN,0.011269425899882446,0.0,0.011377815925963652,0.0,0.005661810456461525
issuer_cntry_domicile_name_India,0.011269425899861796,0.0,0.011377815925962098,0.0,0.0056618104564559735
top_3_shareholder_location_Germany,0.009442856929977372,0.0,0.011690915664153367,0.0,0.005283443148532685
gics_sub_ind_Research & Consulting Services,0.009527632689594778,0.0,0.010867931549975784,0.0,0.005098891059892641
yeo_joh_hist_book_px,0.0,0.009509819083462712,0.0,0.010599611398430797,0.005027357620473377
