,Base,Yeo,Base_Random,Yeo_Random,avg_importance
market_cap_usd,356.3125229140413,0.0,575.7523690726456,0.0,233.01622299667173
hist_ev_usd,323.49122483887345,0.0,539.6853682768419,0.0,215.79414827892884
hist_roa,18.641828425352514,0.0,6.132654458005305,0.0,6.193620720839455
net_income_usd,5.379939380627775,0.0,4.249444926235725,0.0,2.407346076715875
hist_roic,4.874540801488706,0.0,2.710926059861009,0.0,1.8963667153374288
top_2_shareholder_location_United Kingdom,3.388842731202658,0.0,1.8011846277225914,0.0,1.2975068397313123
yeo_joh_hist_roa,0.0,2.4169245421989096,0.0,2.626832506791432,1.2609392622475855
top_2_shareholder_location_Switzerland,2.1175699740040272,0.0,1.597678485054729,0.0,0.9288121147646891
issuer_cntry_domicile_name_United States of America,2.031664563870777,0.0,0.8190279345937483,0.0,0.7126731246161313
top_1_shareholder_location_United States,1.521230388302797,0.0,0.8247118811139273,0.0,0.5864855673541811
hist_net_debt_usd,0.558955344708238,0.0,0.8742966866994664,0.0,0.3583130078519261
top_3_shareholder_percentage,0.7394266212899083,0.0,0.6212208127215888,0.0,0.3401618585028743
top_2_shareholder_location_Luxembourg,0.7965175504789386,0.0,0.5186993133868327,0.0,0.3288042159664428
shares_outstanding,0.859958614613106,0.0,0.4007183469354345,0.0,0.3151692403871351
hist_asset_turnover,0.7642353389146592,0.0,0.40651871859006405,0.0,0.2926885143761808
yeo_joh_net_income_usd,0.0,0.5383687645259574,0.0,0.6027260156329266,0.285273695039721
hist_gross_profit_usd,0.42810837928391265,0.0,0.6812669954606463,0.0,0.27734384368613973
top_2_shareholder_percentage,0.5897496971954297,0.0,0.4984877235442866,0.0,0.2720593551849291
hist_rd_exp_usd,0.7039927000309945,0.0,0.2633817913611267,0.0,0.2418436228480303
vola,0.7519851677130873,0.0,-0.0011423491729942725,0.0,0.18771070463502326
yeo_joh_hist_ev_usd,0.0,0.3666714412536969,0.0,0.3484606267330683,0.1787830169966913
yeo_joh_hist_gross_profit_usd,0.0,0.319495732973305,0.0,0.3564031592677708,0.16897472306026895
yeo_joh_hist_rd_exp_usd,0.0,0.3322835159178812,0.0,0.3346951670794507,0.16674467074933297
gics_sub_ind_Internet Services & Infrastructure,0.4342697796103039,0.0,0.17136424217201807,0.0,0.1514085054455805
yeo_joh_vola,0.0,0.2858408411948332,0.0,0.3128238946838291,0.14966618396966558
hist_eps_usd,0.24310674814125832,0.0,0.30785548342012703,0.0,0.13774055789034634
yeo_joh_return_usd,0.0,0.206548576500456,0.0,0.21564472808015367,0.10554832614515242
hist_fcf_yld,0.34604733769003815,0.0,0.03452699986505081,0.0,0.09514358438877224
yeo_joh_hist_pe,0.0,0.16595227121581324,0.0,0.1581136571248578,0.08101648208516776
yeo_joh_shares_float,0.0,0.1988241824940804,0.0,0.1050002008601858,0.07595609583856655
yeo_joh_top_2_shareholder_percentage,0.0,0.11227387404330536,0.0,0.12986444181007073,0.06053457896334402
yeo_joh_hist_eps_usd,0.0,0.11398678145926233,0.0,0.10439835492986305,0.054596284097281345
yeo_joh_top_3_shareholder_percentage,0.0,0.08619176792324446,0.0,0.08135990791960523,0.04188791896071242
issuer_cntry_domicile_name_Israel,0.07721574570859957,0.0,0.07004874364733382,0.0,0.03681612233898335
top_1_shareholder_location_Switzerland,0.06153461603071264,0.0,0.07978206144369437,0.0,0.035329169368601754
yeo_joh_hist_fcf_yld,0.0,0.06404163522271489,0.0,0.06238545761532954,0.03160677320951111
hist_capex_depr,0.02253645896087164,0.0,0.07859543716861594,0.0,0.025282974032371897
top_3_shareholder_location_Ireland,0.05027764161582127,0.0,0.04749887020761889,0.0,0.02444412795586004
yeo_joh_hist_book_px,0.0,0.036679752327968274,0.0,0.043021209658395065,0.019925240496590835
yeo_joh_market_cap_usd,0.0,0.06278630616197489,0.0,0.00968667539761725,0.018118245389898036
"gics_sub_ind_Technology Hardware, Storage & Peripherals",0.04563301317409696,0.0,0.025249982487622447,0.0,0.01772074891542985
top_3_shareholder_location_Canada,0.03484119200481928,0.0,0.0034110941335541156,0.0,0.009563071534593348
yeo_joh_hist_asset_turnover,0.0,0.015435023872013787,0.0,0.017401979292177572,0.00820925079104784
top_2_shareholder_location_Canada,0.012914193525375595,0.0,0.019412741540179468,0.0,0.008081733766388766
top_3_shareholder_location_Norway,0.030509228020264345,0.0,-0.0012916230054997868,0.0,0.00730440125369114
issuer_cntry_domicile_name_Netherlands,0.0020460995319808717,0.0,0.0267209135343478,0.0,0.007191753266582168
return_usd,0.0210099613981356,0.0,0.007674799191818238,0.0,0.00717119014748846
yeo_joh_hist_net_chg_lt_debt_usd,0.0,0.012514905167469337,0.0,0.014551694767870771,0.006766649983835027
yeo_joh_hist_net_debt_usd,0.0,0.010283502631512675,0.0,0.016338567235735013,0.006655517466811922
hist_book_px,0.021307542909880794,0.0,0.0032072578263750984,0.0,0.006128700184063973
top_2_shareholder_location_United States,0.010135474930621058,0.0,0.013319244056418711,0.0,0.005863679746759942
top_1_shareholder_location_United Kingdom,0.007329341142849444,0.0,0.010822770049998098,0.0,0.0045380277982118855
gics_sub_ind_IT Consulting & Other Services,0.0071084725638002055,0.0,0.010755316766335454,0.0,0.004465947332533915
top_1_shareholder_location_Japan,0.010770693985023172,0.0,0.004796118624454948,0.0,0.00389170315236953
top_3_shareholder_location_Namibia,0.002911115452775448,0.0,0.011587438055954635,0.0,0.003624638377182521
top_2_shareholder_location_Romania,0.002911115452775448,0.0,0.011587438055954635,0.0,0.003624638377182521
gics_sub_ind_Technology Distributors,0.008008026998368223,0.0,0.004140076958236705,0.0,0.003037025989151232
cntry_of_risk_NL,0.0010558116073298152,0.0,0.007561733390190284,0.0,0.0021543862493800248
top_2_shareholder_location_Israel,0.006129795629135515,0.0,0.002257140009618297,0.0,0.002096733909688453
issuer_cntry_domicile_name_Germany,0.008350756605182141,0.0,-0.002546118602936076,0.0,0.0014511595005615163
cntry_of_risk_CN,0.007232512391396995,0.0,-0.0017550685115281794,0.0,0.0013693609699672038
hist_pe,0.0015985273522574062,0.0,0.0033557190819806237,0.0,0.0012385616085595075
cntry_of_risk_JP,0.00040841257600732206,0.0,0.0026171547439446385,0.0,0.0007563918299879901
issuer_cntry_domicile_name_Japan,0.00040841257600732206,0.0,0.002617154743887795,0.0,0.0007563918299737793
top_2_shareholder_location_Germany,0.00016248250517492124,0.0,0.0015817699437548072,0.0,0.0004360631122324321
gics_sub_ind_Application Software,-0.00017613486465961614,0.0,0.0007029682552115446,0.0,0.00013170834763798211
gics_sub_ind_Semiconductor Materials & Equipment,-0.025343277147158005,0.0,0.025779634589383704,0.0,0.00010908936055642471
top_2_shareholder_location_Taiwan,0.00015280145532869938,0.0,0.00022614567657797124,0.0,9.473678297666766e-05
issuer_cntry_domicile_name_China,0.0,0.0,1.1937117960769683e-12,0.0,2.984279490192421e-13
issuer_cntry_domicile_name_Spain,0.0,0.0,2.8421709430404007e-13,0.0,7.105427357601002e-14
gics_sector_Health Care,0.0,0.0,0.0,0.0,0.0
issuer_cntry_domicile_name_Luxembourg,0.0,0.0,0.0,0.0,0.0
top_2_shareholder_location_Liechtenstein,0.0,0.0,0.0,0.0,0.0
issuer_cntry_domicile_name_Italy,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Oil & Gas Equipment & Services,0.0,0.0,0.0,0.0,0.0
"gics_sub_ind_Apparel, Accessories & Luxury Goods",0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Computer & Electronics Retail,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Soft Drinks & Non-alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Investment Banking & Brokerage,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_DK,0.0,0.0,0.0,0.0,0.0
top_2_shareholder_location_Belgium,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Agricultural Products & Services,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Interactive Home Entertainment,0.0,0.0,0.0,0.0,0.0
top_1_shareholder_location_France,0.0,0.0,0.0,0.0,0.0
top_2_shareholder_location_Spain,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_PL,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Highways & Railtracks,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Wireless Telecommunication Services,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Specialized Consumer Services,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Water Utilities,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_HK,0.0,0.0,0.0,0.0,0.0
top_2_shareholder_location_Greece,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_CL,0.0,0.0,0.0,0.0,0.0
top_1_shareholder_location_Luxembourg,0.0,0.0,0.0,0.0,0.0
top_3_shareholder_location_United States,0.0,0.0,0.0,0.0,0.0
issuer_cntry_domicile_name_Greece,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_TH,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Tires & Rubber,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Tobacco,0.0,0.0,0.0,0.0,0.0
issuer_cntry_domicile_name_Denmark,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Diversified Real Estate Activities,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_KZ,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Commodity Chemicals,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_GR,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Casinos & Gaming,0.0,0.0,0.0,0.0,0.0
gics_sector_Information Technology,0.0,0.0,0.0,0.0,0.0
top_2_shareholder_location_Malaysia,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Automotive Parts & Equipment,0.0,0.0,0.0,0.0,0.0
top_1_shareholder_location_South Africa,0.0,0.0,0.0,0.0,0.0
issuer_cntry_domicile_name_Bermuda,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_KR,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Automotive Retail,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Construction Materials,0.0,0.0,0.0,0.0,0.0
issuer_cntry_domicile_name_Kazakhstan,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Agricultural & Farm Machinery,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Gold,0.0,0.0,0.0,0.0,0.0
issuer_cntry_domicile_name_Macau,0.0,0.0,0.0,0.0,0.0
cntry_of_risk_BE,0.0,0.0,0.0,0.0,0.0
gics_sub_ind_Oil & Gas Drilling,0.0,0.0,0.0,0.0,0.0
top_2_shareholder_location_Australia,0.0,0.0,0.0,0.0,0.0
