,Base,Yeo,Base_Random,Yeo_Random,avg_importance
market_cap_usd,55.06893820024446,0.0,37.9699566683621,0.0,23.25972371715164
hist_ev_usd,45.93508275859512,0.0,31.975644351449592,0.0,19.47768177751118
cntry_of_risk_CA,10.067497207621626,0.0,13.476490118529574,0.0,5.8859968315378
issuer_cntry_domicile_name_Canada,8.193948999262322,0.0,10.038096845683933,0.0,4.558011461236564
shares_float,2.1912197469311616,0.0,2.9014297147149675,0.0,1.2731623654115323
hist_net_debt_usd,2.6525439876591212,0.0,2.01538636112216,0.0,1.1669825871953203
hist_capex_sales,1.207778001403251,0.0,1.3053525894589608,0.0,0.628282647715553
net_income_usd,1.3509382438208366,0.0,0.6528118273494896,0.0,0.5009375177925816
yeo_joh_shares_outstanding,0.0,0.841713930756093,0.0,0.9944091044990542,0.4590307588137868
issuer_cntry_domicile_name_United Kingdom,0.7768486933005336,0.0,0.8415569807548904,0.0,0.404601418513856
top_2_shareholder_location_United States,0.9261182526098826,0.0,0.3723158163310214,0.0,0.324608517235226
shares_outstanding,0.20859397313078176,0.0,0.9576040491279283,0.0,0.2915495055646775
gics_sub_ind_Steel,0.33869085677825694,0.0,0.5045918154580078,0.0,0.21082066805906619
top_3_shareholder_location_Canada,0.48239749833804835,0.0,0.2821261234711785,0.0,0.1911309054523067
yeo_joh_shares_float,0.0,0.2442074708674563,0.0,0.3205065172103022,0.14117849701943963
yeo_joh_top_3_shareholder_percentage,0.0,0.2600525983789518,0.0,0.25063788074569004,0.12767261978116046
hist_eps_usd,0.3756517674737476,0.0,0.10497576112631712,0.0,0.12015688215001619
gics_sub_ind_Specialty Chemicals,0.20693153042630952,0.0,0.21546756679372336,0.0,0.10559977430500822
yeo_joh_hist_roic,0.0,0.21405435499142744,0.0,0.2054120545915029,0.10486660239573259
top_2_shareholder_location_Switzerland,0.19697793547558673,0.0,0.17395907513071807,0.0,0.0927342526515762
gics_sub_ind_Copper,0.27804988210994797,0.0,0.06734018262119834,0.0,0.08634751618278658
