,Base,Yeo,Base_Random,Yeo_Random,avg_importance
yeo_joh_hist_roe,0.0,15.456230974897466,0.0,200.5490912231461,54.00133054951089
yeo_joh_hist_roa,0.0,20.014777489648438,0.0,92.74775852118937,28.19063400270945
yeo_joh_hist_ev_usd,0.0,81.9623439888097,0.0,-13.322609493408507,17.1599336238503
yeo_joh_hist_net_debt_usd,0.0,45.38811280437615,0.0,10.574042241443436,13.990538761454896
shares_float,24.20035489096885,0.0,22.13201599876719,0.0,11.58309272243401
yeo_joh_hist_roic,0.0,0.01851013353844877,0.0,34.61164237604244,8.657538127395222
yeo_joh_market_cap_usd,0.0,17.961619784285457,0.0,11.785694033686028,7.436828454492871
yeo_joh_hist_gross_profit_usd,0.0,2.6546407152262557,0.0,14.902619877528295,4.389315148188638
hist_ev_usd,10.05563994321132,0.0,5.875063587455319,0.0,3.9826758826666597
hist_net_chg_lt_debt_usd,7.659796463658173,0.0,8.241913730011696,0.0,3.9754275484174673
yeo_joh_hist_asset_turnover,0.0,1.4812099448702796,0.0,13.88318927477492,3.8410998049113
yeo_joh_return_usd,0.0,13.815163229806355,0.0,1.1521905751703372,3.741838451244173
yeo_joh_hist_net_chg_lt_debt_usd,0.0,4.851541952977591,0.0,7.993085346836068,3.211156824953415
yeo_joh_shares_float,0.0,10.594648063699498,0.0,1.9502948017347848,3.136235716358571
yeo_joh_shares_outstanding,0.0,0.8695553643944098,0.0,11.336307494018413,3.051465714603206
yeo_joh_hist_ebitda_ev,0.0,-2.2479092788266133,0.0,14.10378034401036,2.9639677662959367
yeo_joh_hist_pe,0.0,2.778522602752215,0.0,7.4083233633088525,2.546711491515267
hist_roa,2.9205856318417265,0.0,5.749562996738581,0.0,2.1675371571450768
hist_gross_profit_usd,4.087786106800894,0.0,4.353334554279122,0.0,2.1102801652700043
yeo_joh_top_3_shareholder_percentage,0.0,-1.0890321751433039,0.0,7.828017275400612,1.684746275064327
yeo_joh_beta,0.0,5.438785184026415,0.0,0.6789135616689492,1.529424686423841
market_cap_usd,3.1473685269975658,0.0,2.4792050131884142,0.0,1.406643385046495
shares_outstanding,2.8898209851441976,0.0,2.2357578010767405,0.0,1.2813946965552345
net_income_usd,2.226994166048617,0.0,1.4790417426014448,0.0,0.9265089771625155
yeo_joh_hist_rd_exp_usd,0.0,10.098408227911822,0.0,-6.721658612091119,0.8441874039551758
yeo_joh_top_1_shareholder_percentage,0.0,-1.9148230962578747,0.0,5.257149782265429,0.8355816715018887
random_feature,0.0,0.0,0.20165022244942676,2.8398240424672423,0.7603685662291673
hist_rd_exp_usd,1.6180761928374885,0.0,1.384345221593196,0.0,0.7506053536076711
hist_roic,-0.1546353253548558,0.0,2.8483722245432723,0.0,0.6734342247971041
yeo_joh_hist_book_px,0.0,-1.3395370673375862,0.0,4.002826734837328,0.6658224168749354
hist_net_debt_usd,1.2834965802157141,0.0,0.9855841007118435,0.0,0.5672701702318894
hist_capex_sales,0.853878355864814,0.0,0.7193935118940393,0.0,0.3933179669397133
yeo_joh_hist_capex_sales,0.0,-0.1698159225271656,0.0,1.4735276181192347,0.3259279238980173
top_3_shareholder_percentage,0.509002819684631,0.0,0.7514528270497935,0.0,0.31511391168360614
yeo_joh_hist_eps_usd,0.0,0.7323236039452432,0.0,-0.03238877434650078,0.1749837073996856
hist_book_px,0.2924151935888428,0.0,0.3304014376848512,0.0,0.1557041578184235
