Feature,Importance,Std
hist_ev_usd,15.638696723677576,0.3166104319856444
market_cap_usd,6.263061271885341,0.15427282210026938
top_1_shareholder_location_Japan,1.8201805521948822,0.038989661703669354
hist_net_debt_usd,1.5742352692515527,0.01421459010492776
hist_roa,0.5026198728563256,0.005484655389493387
issuer_cntry_domicile_name_Japan,0.4380198399862074,0.08643256847324743
cntry_of_risk_JP,0.43801983998620253,0.08643256847324654
top_1_shareholder_percentage,0.39080702267801803,0.0005876722794109224
hist_ebitda_ev,0.3412612594551381,0.012352738813738107
beta,0.311869374727465,0.003634189086567874
top_2_shareholder_location_Ireland,0.17676854198055625,0.07741228796531474
issuer_cntry_domicile_name_Switzerland,0.15008769000262145,0.013634196982384883
top_3_shareholder_location_Luxembourg,0.14622254216447494,0.0017894421912951763
top_3_shareholder_location_Ireland,0.1242713462359386,0.0012495910284897604
shares_outstanding,0.11156190633431673,0.013132205467318858
"gics_sub_ind_Hotels, Resorts & Cruise Lines",0.11126983611367247,0.04221819647184455
top_3_shareholder_percentage,0.10961637711388261,0.009414792270452721
top_2_shareholder_location_United States,0.10614355418432586,0.039762407392089694
top_2_shareholder_location_France,0.10066211172074946,0.01376621952933299
hist_roic,0.09902977545391034,0.019565196757723613
vola,0.06919548068457082,0.042931436595228134
net_income_usd,0.06375250106713348,0.02359363319338892
cntry_of_risk_GB,0.06234897012742069,0.019194607359082072
gics_sub_ind_Automobile Manufacturers,0.06086338240300826,0.0017479547018821595
cntry_of_risk_MO,0.06018673155913756,0.008820618761744337
gics_sub_ind_Computer & Electronics Retail,0.058412844094744454,0.02287682948638059
top_3_shareholder_location_Norway,0.05389172472953718,0.0736181392642763
hist_gross_profit_usd,0.04581829308085672,0.026646647563646098
top_3_shareholder_location_United Kingdom,0.04528504629794461,0.011247068503162927
gics_sub_ind_Leisure Facilities,0.04275701163203671,0.0022299526349630616
top_2_shareholder_location_Sweden,0.04216690025141634,0.003325609358323489
cntry_of_risk_CA,0.03860677319634387,0.011549930894130811
issuer_cntry_domicile_name_Canada,0.03800794647730554,0.006267144168694561
gics_sub_ind_Automotive Parts & Equipment,0.034986836516591846,0.01726906546407736
top_1_shareholder_location_United States,0.02966905689741306,0.015313740852672786
top_1_shareholder_location_Australia,0.02139609327085612,0.0062366604661800995
gics_sub_ind_Consumer Electronics,0.02044669263804666,0.0015444487963738318
gics_sub_ind_Education Services,0.01876339831080054,0.007841279231988296
cntry_of_risk_FI,0.017276660001591337,0.010187510911502717
issuer_cntry_domicile_name_Finland,0.017276660001588673,0.010187510911501607
gics_sub_ind_Distributors,0.015184657614455754,0.008331659881096187
gics_sub_ind_Other Specialty Retail,0.011416063058941606,0.009736010869621281
cntry_of_risk_CH,0.010149866360184667,0.015333882474977578
gics_sub_ind_Motorcycle Manufacturers,0.009990553329729535,0.008049193161240309
cntry_of_risk_FR,0.008839548100760042,0.024773548991763428
issuer_cntry_domicile_name_France,0.008839548100755823,0.02477354899176143
top_2_shareholder_location_Luxembourg,0.00844334016547399,0.0011037520696948189
top_2_shareholder_location_Switzerland,0.0078128929198501,0.0012941946141450389
gics_sub_ind_Homefurnishing Retail,0.006218710745458211,0.006931403884495313
gics_sub_ind_Homebuilding,0.005888639775801008,0.0021086312770074445
cntry_of_risk_US,0.00576436441747652,0.03199734197738824
gics_sub_ind_Home Improvement Retail,0.004218214247040497,0.02413232957288003
cntry_of_risk_AU,0.003861319961017906,0.010109667295545743
cntry_of_risk_DK,0.003780475931477456,0.000666271913908778
issuer_cntry_domicile_name_Denmark,0.003780475931477012,0.000666271913908556
top_2_shareholder_location_Canada,0.0034364308816720035,0.0005968838071915838
issuer_cntry_domicile_name_Ireland,0.002159301891018095,0.0014769607958035058
shares_float,0.002060093521860429,0.003546109206622905
gics_sub_ind_Tires & Rubber,0.0014112032417771259,0.00190147361333326
cntry_of_risk_DE,0.0012250730798469833,0.006372542858977703
gics_sub_ind_Apparel Retail,0.0007374538748196047,0.0019908367363700163
top_3_shareholder_location_Germany,0.00046612372137710967,0.0032615010811404277
hist_book_px,0.00030705508865180864,1.1555049667655304e-05
top_1_shareholder_location_Sweden,0.00022806532516361777,0.006806795536018262
top_3_shareholder_location_France,0.00011641975160969764,0.007914232418494205
issuer_cntry_domicile_name_Hong Kong,2.578247270790257e-05,8.819135173254722e-07
gics_sub_ind_Oil & Gas Storage & Transportation,0.0,0.0
gics_sub_ind_Oil & Gas Refining & Marketing,0.0,0.0
gics_sub_ind_Packaged Foods & Meats,0.0,0.0
top_1_shareholder_location_Brazil,0.0,0.0
top_1_shareholder_location_Switzerland,0.0,0.0
top_1_shareholder_location_Spain,0.0,0.0
gics_sub_ind_Paper & Plastic Packaging Products & Materials,0.0,0.0
gics_sub_ind_Paper Products,0.0,0.0
gics_sub_ind_Passenger Airlines,0.0,0.0
top_1_shareholder_location_South Africa,0.0,0.0
top_1_shareholder_location_Norway,0.0,0.0
top_1_shareholder_location_Mexico,0.0,0.0
top_1_shareholder_location_Luxembourg,0.0,0.0
