Feature,Importance,Std
hist_ev_usd,966.1248273884366,220.7408465771523
market_cap_usd,733.5198796875261,163.60927063144322
hist_net_debt_usd,37.29917936118068,12.750374684583964
hist_roe,11.338261372590026,0.12088165432524534
top_2_shareholder_location_United States,9.933233555997734,0.31371248063402035
hist_book_px,7.422967714396762,0.062364939959863364
top_1_shareholder_location_United States,7.021400010188135,1.2359264183136496
hist_eps_usd,4.654999377075965,5.158560472918781
top_3_shareholder_location_Ireland,3.554697488279775,0.8973613228058888
top_2_shareholder_location_Ireland,2.0693850273039693,0.17766592288949923
issuer_cntry_domicile_name_France,1.4845629305720323,1.5696945951622752
cntry_of_risk_FR,1.4845629305720252,1.569694595162268
net_income_usd,1.1806192356766871,0.28706142318419126
top_3_shareholder_location_Norway,1.1686057678221715,0.37330979247386153
hist_ebitda_ev,1.1586184081356699,0.3295148290885912
top_3_shareholder_percentage,0.9165921218840474,0.9505579775872413
top_2_shareholder_location_Luxembourg,0.9097861336525241,0.25214946278656925
gics_sub_ind_Tobacco,0.8784045143842398,0.175260178634975
gics_sub_ind_Packaged Foods & Meats,0.7249866806444523,0.3074677959893286
shares_outstanding,0.6149171720614142,0.04265877554663078
top_2_shareholder_location_Japan,0.5180820883031068,0.6529653588704996
issuer_cntry_domicile_name_Japan,0.46948268988331776,0.36165015091828323
cntry_of_risk_JP,0.46948268988331066,0.36165015091828323
top_3_shareholder_location_United Kingdom,0.457850572072779,0.11812596191769131
issuer_cntry_domicile_name_United Kingdom,0.40883746031546764,0.11116324306479441
gics_sub_ind_Consumer Staples Merchandise Retail,0.36168984431987994,0.041104061544434245
top_3_shareholder_location_Luxembourg,0.3076344038680219,0.4243366542677478
random_feature,0.26699385116489793,0.26506166919287466
cntry_of_risk_AU,0.24421170236831102,0.06457046397363086
cntry_of_risk_IT,0.23674246252029363,0.04031849446042557
hist_capex_sales,0.21090765243637577,0.15274190056825176
hist_capex_depr,0.2080587506400775,0.2637673554097617
issuer_cntry_domicile_name_Spain,0.13692993022499422,0.024166123355911395
cntry_of_risk_ES,0.13692993022499067,0.024166123355907843
hist_gross_profit_usd,0.10464518938604073,0.013457472859386144
hist_pe,0.09214707935068134,0.1243580546363674
top_2_shareholder_location_United Kingdom,0.08422907861169193,0.028797812115669785
top_1_shareholder_location_United Kingdom,0.05694154084784486,0.10321505099861383
top_2_shareholder_location_Canada,0.05168204594903614,0.011137577299464851
issuer_cntry_domicile_name_Switzerland,0.04386580537421381,0.08063437402446638
cntry_of_risk_CH,0.04330830526673779,0.17512713442008376
issuer_cntry_domicile_name_Germany,0.037712334733104314,0.08469688206752224
cntry_of_risk_DE,0.03771233473310076,0.08469688206751869
cntry_of_risk_IE,0.028302930987699426,0.10772295988415692
issuer_cntry_domicile_name_Ireland,0.028302930987699426,0.10772295988415692
hist_rd_exp_usd,0.01757986471683637,0.02797176345402619
gics_sub_ind_Brewers,0.009166147141730363,0.01242150105585793
hist_roic,0.00692621101862656,0.04481970471259089
gics_sub_ind_Independent Power Producers & Energy Traders,0.0,0.0
gics_sub_ind_IT Consulting & Other Services,0.0,0.0
gics_sub_ind_Life & Health Insurance,0.0,0.0
gics_sub_ind_Leisure Products,0.0,0.0
gics_sub_ind_Investment Banking & Brokerage,0.0,0.0
gics_sub_ind_Human Resource & Employment Services,0.0,0.0
gics_sub_ind_Pharmaceuticals,0.0,0.0
gics_sub_ind_Passenger Ground Transportation,0.0,0.0
top_1_shareholder_location_Brazil,0.0,0.0
top_1_shareholder_location_Switzerland,0.0,0.0
top_1_shareholder_location_Sweden,0.0,0.0
top_1_shareholder_location_Spain,0.0,0.0
top_1_shareholder_location_South Africa,0.0,0.0
top_1_shareholder_location_Mexico,0.0,0.0
