Feature,Importance,Std
market_cap_usd,736.8366934527727,77.75465196628886
hist_ev_usd,694.5935915523271,36.29871189887194
shares_float,43.70819635526345,0.0063713420940523235
shares_outstanding,23.808523657445242,1.150053954694151
hist_net_debt_usd,17.85469536931041,1.3753452232531949
hist_gross_profit_usd,8.49502673036823,0.8621698983651616
hist_roa,3.5402099947632593,0.8317692857192611
net_income_usd,2.8798951774208827,0.8879581528517928
hist_fcf_yld,2.8286507780282584,0.0025951698487638453
top_2_shareholder_percentage,2.31274638069916,1.2211811700827617
cntry_of_risk_GB,1.7322205568417086,0.11663827616114197
hist_pe,1.0608222757280803,0.9633046637676639
hist_net_chg_lt_debt_usd,0.7739549252860982,0.15977727956298438
cntry_of_risk_US,0.5075318569431015,0.14057653483692967
gics_sub_ind_Oil & Gas Exploration & Production,0.4949204926471964,0.502344864706135
hist_eps_usd,0.48176257011298596,0.28364548381997245
gics_sub_ind_Oil & Gas Storage & Transportation,0.47877209834449275,0.15720311631826078
top_3_shareholder_percentage,0.47754506178623934,0.7342766536988403
gics_sub_ind_Oil & Gas Refining & Marketing,0.1997923286901493,0.014590528845475959
return_usd,0.19875826272028085,0.24350678505857637
issuer_cntry_domicile_name_United Kingdom,0.1705819228910741,0.013907532298304659
top_2_shareholder_location_Luxembourg,0.1338991042504052,0.11607055224929219
vola,0.08164113691643493,0.038769458073154794
top_2_shareholder_location_Canada,0.07843533658305368,0.020440905344715432
top_1_shareholder_location_Canada,0.07259694602142552,0.37777424260330683
hist_book_px,0.07087326674125549,0.06445060765079091
top_3_shareholder_location_Luxembourg,0.06449977052589517,0.11727185619490044
top_3_shareholder_location_United Kingdom,0.04892377169007034,0.006683060914639327
hist_rd_exp_usd,0.03070901458965203,0.009602295446294207
gics_sub_ind_Oil & Gas Drilling,0.021865802528681755,0.00876342279482678
top_2_shareholder_location_Ireland,0.014532267274072197,0.009617597862176197
issuer_cntry_domicile_name_Italy,0.007499993069004063,0.024424906525407408
cntry_of_risk_IT,0.0074999930690022865,0.024424906525405632
issuer_cntry_domicile_name_JERSEY,3.552713678800501e-15,0.0
gics_sub_ind_Specialized Consumer Services,0.0,0.0
gics_sub_ind_Specialized Finance,0.0,0.0
gics_sub_ind_Specialty Chemicals,0.0,0.0
gics_sub_ind_IT Consulting & Other Services,0.0,0.0
gics_sub_ind_Soft Drinks & Non-alcoholic Beverages,0.0,0.0
gics_sub_ind_Steel,0.0,0.0
gics_sub_ind_Semiconductor Materials & Equipment,0.0,0.0
gics_sub_ind_Pharmaceuticals,0.0,0.0
top_1_shareholder_location_Spain,0.0,0.0
gics_sub_ind_Systems Software,0.0,0.0
gics_sub_ind_Technology Distributors,0.0,0.0
gics_sub_ind_Regional Banks,0.0,0.0
gics_sub_ind_Human Resource & Employment Services,0.0,0.0
gics_sub_ind_Silver,0.0,0.0
gics_sub_ind_Integrated Telecommunication Services,0.0,0.0
gics_sub_ind_Interactive Home Entertainment,0.0,0.0
gics_sub_ind_Interactive Media & Services,0.0,0.0
gics_sub_ind_Internet Services & Infrastructure,0.0,0.0
gics_sub_ind_Investment Banking & Brokerage,0.0,0.0
gics_sub_ind_Leisure Facilities,0.0,0.0
