Feature,Importance,Std
hist_ev_usd,386.79945697972767,15.579849512179607
market_cap_usd,383.29463840634287,44.78556227877621
hist_net_debt_usd,14.92589748815604,0.28118712449294847
shares_outstanding,11.252062269667206,2.3798224994118975
hist_pe,4.794808141483413,1.8875587829540077
hist_roa,3.927446127501881,0.1650265393092134
top_2_shareholder_percentage,3.073533626579948,0.9237021630588806
top_1_shareholder_percentage,1.926995611786138,0.28384506520083086
gics_sub_ind_Oil & Gas Exploration & Production,1.7585979704333852,0.6177322288647851
hist_fcf_yld,1.6740929861621439,0.07370330093846533
hist_gross_profit_usd,1.6187431085210182,0.30402756755840876
hist_eps_usd,1.386059540572301,0.7772274593079018
hist_ebitda_ev,1.2666915018361227,1.148747395198134
cntry_of_risk_GB,0.9728575758995692,0.18443655132634085
shares_float,0.6660357558888812,0.05706103901955473
hist_net_chg_lt_debt_usd,0.6464588709650929,0.14064744766966975
gics_sub_ind_Integrated Oil & Gas,0.5512631342043584,0.19226858756671206
gics_sub_ind_Oil & Gas Storage & Transportation,0.4961484982145077,0.2789930965057277
cntry_of_risk_CA,0.41878761004837983,0.5496057476997898
issuer_cntry_domicile_name_Canada,0.4187876100483354,0.5496057476997596
return_usd,0.38998453741995753,0.18472744232108518
top_3_shareholder_location_Ireland,0.27698937803290313,0.4286643945776607
top_3_shareholder_location_United Kingdom,0.26130488455589607,0.05020269319319759
net_income_usd,0.2072264516361706,1.1630104795280545
hist_asset_turnover,0.20532355449669737,0.1970180293809598
hist_rd_exp_usd,0.16383875217570676,0.10833390865493797
gics_sub_ind_Oil & Gas Refining & Marketing,0.14422012866251954,0.0018014858757187113
top_2_shareholder_location_United Kingdom,0.14071127012273976,0.24228927633869546
vola,0.13566724300149957,0.2019009052070473
top_1_shareholder_location_Canada,0.09673948613385974,0.14302985621553432
cntry_of_risk_US,0.08932730184488591,0.003540738239927066
beta,0.07280747099904339,0.04604922629945385
top_3_shareholder_percentage,0.06601201627436382,0.06591791655534252
gics_sub_ind_Oil & Gas Drilling,0.0522869870433027,0.0008319601507444929
issuer_cntry_domicile_name_United Kingdom,0.044498241212121314,0.0041625523808193066
cntry_of_risk_IT,0.04066243033424932,0.01619234012982851
issuer_cntry_domicile_name_Italy,0.040662430334247546,0.016192340129826732
gics_sub_ind_Coal & Consumable Fuels,0.04028253589443409,0.0024360677683539222
gics_sub_ind_Oil & Gas Equipment & Services,0.02427331200126659,0.015785264203579175
top_3_shareholder_location_Canada,0.019126452155663998,0.013891633828784222
issuer_cntry_domicile_name_Japan,1.7763568394002505e-15,1.7763568394002505e-15
gics_sub_ind_Soft Drinks & Non-alcoholic Beverages,0.0,0.0
gics_sub_ind_Silver,0.0,0.0
gics_sub_ind_Semiconductors,0.0,0.0
gics_sub_ind_Building Products,0.0,0.0
gics_sub_ind_Semiconductor Materials & Equipment,0.0,0.0
gics_sub_ind_Security & Alarm Services,0.0,0.0
gics_sub_ind_Research & Consulting Services,0.0,0.0
gics_sub_ind_Renewable Electricity,0.0,0.0
gics_sub_ind_Reinsurance,0.0,0.0
gics_sub_ind_Regional Banks,0.0,0.0
gics_sub_ind_Real Estate Services,0.0,0.0
gics_sub_ind_Cable & Satellite,0.0,0.0
gics_sub_ind_Restaurants,0.0,0.0
gics_sub_ind_Broadcasting,0.0,0.0
top_1_shareholder_location_Brazil,0.0,0.0
gics_sub_ind_Insurance Brokers,0.0,0.0
gics_sub_ind_Industrial Machinery & Supplies & Components,0.0,0.0
gics_sub_ind_Industrial Gases,0.0,0.0
gics_sub_ind_Industrial Conglomerates,0.0,0.0
gics_sub_ind_Independent Power Producers & Energy Traders,0.0,0.0
gics_sub_ind_IT Consulting & Other Services,0.0,0.0
gics_sub_ind_Real Estate Operating Companies,0.0,0.0
gics_sub_ind_Human Resource & Employment Services,0.0,0.0
gics_sub_ind_Housewares & Specialties,0.0,0.0
gics_sub_ind_Technology Distributors,0.0,0.0
gics_sub_ind_Systems Software,0.0,0.0
gics_sub_ind_Steel,0.0,0.0
gics_sub_ind_Specialty Chemicals,0.0,0.0
gics_sub_ind_Specialized Finance,0.0,0.0
gics_sub_ind_Specialized Consumer Services,0.0,0.0
gics_sub_ind_Broadline Retail,0.0,0.0
gics_sub_ind_Office Services & Supplies,0.0,0.0
gics_sub_ind_Multi-line Insurance,0.0,0.0
gics_sub_ind_Multi-Utilities,0.0,0.0
gics_sub_ind_Multi-Sector Holdings,0.0,0.0
gics_sub_ind_Movies & Entertainment,0.0,0.0
gics_sub_ind_Motorcycle Manufacturers,0.0,0.0
"gics_sub_ind_Metal, Glass & Plastic Containers",0.0,0.0
gics_sub_ind_Publishing,0.0,0.0
gics_sub_ind_Marine Ports & Services,0.0,0.0
gics_sub_ind_Internet Services & Infrastructure,0.0,0.0
gics_sub_ind_Investment Banking & Brokerage,0.0,0.0
gics_sub_ind_Leisure Facilities,0.0,0.0
gics_sub_ind_Leisure Products,0.0,0.0
gics_sub_ind_Life & Health Insurance,0.0,0.0
gics_sub_ind_Managed Health Care,0.0,0.0
gics_sub_ind_Life Sciences Tools & Services,0.0,0.0
gics_sub_ind_Marine Transportation,0.0,0.0
gics_sub_ind_Real Estate Development,0.0,0.0
gics_sub_ind_Rail Transportation,0.0,0.0
gics_sub_ind_Property & Casualty Insurance,0.0,0.0
gics_sub_ind_Precious Metals & Minerals,0.0,0.0
gics_sub_ind_Pharmaceuticals,0.0,0.0
gics_sub_ind_Electronic Manufacturing Services,0.0,0.0
gics_sub_ind_Electronic Equipment & Instruments,0.0,0.0
top_1_shareholder_location_China,0.0,0.0
gics_sub_ind_Electrical Components & Equipment,0.0,0.0
gics_sub_ind_Integrated Telecommunication Services,0.0,0.0
gics_sub_ind_Electric Utilities,0.0,0.0
gics_sub_ind_Education Services,0.0,0.0
gics_sub_ind_Drug Retail,0.0,0.0
gics_sub_ind_Diversified Support Services,0.0,0.0
gics_sub_ind_Interactive Home Entertainment,0.0,0.0
gics_sub_ind_Interactive Media & Services,0.0,0.0
gics_sub_ind_Electronic Components,0.0,0.0
gics_sub_ind_Trading Companies & Distributors,0.0,0.0
gics_sub_ind_Tobacco,0.0,0.0
gics_sub_ind_Tires & Rubber,0.0,0.0
top_3_shareholder_location_Japan,0.0,0.0
top_3_shareholder_location_Israel,0.0,0.0
top_3_shareholder_location_Sweden,0.0,0.0
top_3_shareholder_location_Spain,0.0,0.0
top_3_shareholder_location_South Korea,0.0,0.0
top_1_shareholder_location_Thailand,0.0,0.0
top_3_shareholder_location_Portugal,0.0,0.0
top_3_shareholder_location_Poland,0.0,0.0
top_3_shareholder_location_Guernsey,0.0,0.0
top_3_shareholder_location_Greece,0.0,0.0
top_3_shareholder_location_Germany,0.0,0.0
top_3_shareholder_location_Finland,0.0,0.0
top_3_shareholder_location_Not Available,0.0,0.0
top_3_shareholder_location_New Zealand,0.0,0.0
top_3_shareholder_location_Singapore,0.0,0.0
issuer_cntry_domicile_name_Germany,0.0,0.0
issuer_cntry_domicile_name_Finland,0.0,0.0
issuer_cntry_domicile_name_Denmark,0.0,0.0
issuer_cntry_domicile_name_China,0.0,0.0
top_3_shareholder_location_Denmark,0.0,0.0
top_3_shareholder_location_China,0.0,0.0
top_3_shareholder_location_Cayman Islands,0.0,0.0
issuer_cntry_domicile_name_Brazil,0.0,0.0
gics_sub_ind_Transaction & Payment Processing Services,0.0,0.0
issuer_cntry_domicile_name_Belgium,0.0,0.0
issuer_cntry_domicile_name_Austria,0.0,0.0
issuer_cntry_domicile_name_India,0.0,0.0
issuer_cntry_domicile_name_Hong Kong,0.0,0.0
issuer_cntry_domicile_name_Cayman Islands,0.0,0.0
top_2_shareholder_location_Turkey,0.0,0.0
top_1_shareholder_location_Australia,0.0,0.0
gics_sub_ind_Wireless Telecommunication Services,0.0,0.0
gics_sub_ind_Water Utilities,0.0,0.0
issuer_cntry_domicile_name_Bermuda,0.0,0.0
top_1_shareholder_location_Turkey,0.0,0.0
gics_sub_ind_Brewers,0.0,0.0
top_1_shareholder_location_Taiwan,0.0,0.0
top_1_shareholder_location_Switzerland,0.0,0.0
top_1_shareholder_location_Belgium,0.0,0.0
top_1_shareholder_location_Sweden,0.0,0.0
top_1_shareholder_location_Spain,0.0,0.0
top_1_shareholder_location_South Africa,0.0,0.0
top_3_shareholder_location_Namibia,0.0,0.0
top_1_shareholder_location_Mexico,0.0,0.0
top_1_shareholder_location_Luxembourg,0.0,0.0
top_1_shareholder_location_Japan,0.0,0.0
"gics_sub_ind_Technology Hardware, Storage & Peripherals",0.0,0.0
top_1_shareholder_location_Ireland,0.0,0.0
top_1_shareholder_location_India,0.0,0.0
top_1_shareholder_location_Germany,0.0,0.0
top_1_shareholder_location_France,0.0,0.0
top_1_shareholder_location_Norway,0.0,0.0
top_3_shareholder_location_Liechtenstein,0.0,0.0
top_2_shareholder_location_Switzerland,0.0,0.0
top_3_shareholder_location_Bermuda,0.0,0.0
top_3_shareholder_location_Belgium,0.0,0.0
top_3_shareholder_location_Bahamas,0.0,0.0
top_3_shareholder_location_Austria,0.0,0.0
top_3_shareholder_location_Indonesia,0.0,0.0
top_3_shareholder_location_Hong Kong,0.0,0.0
top_1_shareholder_location_United Kingdom,0.0,0.0
gics_sub_ind_Passenger Ground Transportation,0.0,0.0
gics_sub_ind_Passenger Airlines,0.0,0.0
gics_sub_ind_Paper Products,0.0,0.0
gics_sub_ind_Paper & Plastic Packaging Products & Materials,0.0,0.0
gics_sub_ind_Packaged Foods & Meats,0.0,0.0
gics_sub_ind_Other Specialty Retail,0.0,0.0
top_1_shareholder_location_Israel,0.0,0.0
top_2_shareholder_location_Austria,0.0,0.0
top_2_shareholder_location_Australia,0.0,0.0
gics_sub_ind_Personal Care Products,0.0,0.0
cntry_of_risk_JP,0.0,0.0
cntry_of_risk_JO,0.0,0.0
cntry_of_risk_IN,0.0,0.0
cntry_of_risk_IL,0.0,0.0
cntry_of_risk_PR,0.0,0.0
cntry_of_risk_IE,0.0,0.0
cntry_of_risk_ID,0.0,0.0
cntry_of_risk_HK,0.0,0.0
cntry_of_risk_GR,0.0,0.0
gics_sub_ind_Homebuilding,0.0,0.0
cntry_of_risk_FI,0.0,0.0
cntry_of_risk_LU,0.0,0.0
top_2_shareholder_location_Taiwan,0.0,0.0
top_2_shareholder_location_China,0.0,0.0
top_2_shareholder_location_Cayman Islands,0.0,0.0
top_2_shareholder_location_Brazil,0.0,0.0
top_2_shareholder_location_Belgium,0.0,0.0
top_2_shareholder_location_Liechtenstein,0.0,0.0
top_2_shareholder_location_Japan,0.0,0.0
cntry_of_risk_GH,0.0,0.0
gics_sector_Energy,0.0,0.0
gics_sector_Consumer Staples,0.0,0.0
gics_sector_Consumer Discretionary,0.0,0.0
cntry_of_risk_ZM,0.0,0.0
cntry_of_risk_ZA,0.0,0.0
issuer_cntry_domicile_name_JERSEY,0.0,0.0
issuer_cntry_domicile_name_Israel,0.0,0.0
issuer_cntry_domicile_name_Isle of Man,0.0,0.0
issuer_cntry_domicile_name_Ireland,0.0,0.0
cntry_of_risk_KR,0.0,0.0
issuer_cntry_domicile_name_Portugal,0.0,0.0
cntry_of_risk_PL,0.0,0.0
cntry_of_risk_NZ,0.0,0.0
cntry_of_risk_NO,0.0,0.0
cntry_of_risk_NL,0.0,0.0
cntry_of_risk_MY,0.0,0.0
cntry_of_risk_MX,0.0,0.0
cntry_of_risk_MO,0.0,0.0
issuer_cntry_domicile_name_Kazakhstan,0.0,0.0
cntry_of_risk_KZ,0.0,0.0
issuer_cntry_domicile_name_Indonesia,0.0,0.0
issuer_cntry_domicile_name_Luxembourg,0.0,0.0
issuer_cntry_domicile_name_Thailand,0.0,0.0
top_2_shareholder_location_Sweden,0.0,0.0
top_2_shareholder_location_Spain,0.0,0.0
top_3_shareholder_location_Switzerland,0.0,0.0
top_3_shareholder_location_United States,0.0,0.0
top_2_shareholder_location_Finland,0.0,0.0
issuer_cntry_domicile_name_Greece,0.0,0.0
issuer_cntry_domicile_name_Norway,0.0,0.0
top_2_shareholder_location_Italy,0.0,0.0
top_2_shareholder_location_Israel,0.0,0.0
top_2_shareholder_location_Hong Kong,0.0,0.0
top_2_shareholder_location_Greece,0.0,0.0
top_2_shareholder_location_South Korea,0.0,0.0
top_2_shareholder_location_South Africa,0.0,0.0
top_2_shareholder_location_Singapore,0.0,0.0
top_2_shareholder_location_Romania,0.0,0.0
top_2_shareholder_location_New Zealand,0.0,0.0
top_2_shareholder_location_Netherlands,0.0,0.0
top_3_shareholder_location_Panama,0.0,0.0
cntry_of_risk_BF,0.0,0.0
cntry_of_risk_BE,0.0,0.0
cntry_of_risk_AU,0.0,0.0
issuer_cntry_domicile_name_Uruguay,0.0,0.0
issuer_cntry_domicile_name_Turkey,0.0,0.0
top_2_shareholder_location_Germany,0.0,0.0
top_2_shareholder_location_France,0.0,0.0
issuer_cntry_domicile_name_Taiwan,0.0,0.0
issuer_cntry_domicile_name_Switzerland,0.0,0.0
issuer_cntry_domicile_name_Macau,0.0,0.0
issuer_cntry_domicile_name_Spain,0.0,0.0
issuer_cntry_domicile_name_South Korea,0.0,0.0
issuer_cntry_domicile_name_South Africa,0.0,0.0
issuer_cntry_domicile_name_Singapore,0.0,0.0
cntry_of_risk_BM,0.0,0.0
top_3_shareholder_location_Australia,0.0,0.0
issuer_cntry_domicile_name_New Zealand,0.0,0.0
issuer_cntry_domicile_name_Netherlands,0.0,0.0
issuer_cntry_domicile_name_Mexico,0.0,0.0
issuer_cntry_domicile_name_Malaysia,0.0,0.0
issuer_cntry_domicile_name_Sweden,0.0,0.0
gics_sub_ind_Footwear,0.0,0.0
gics_sub_ind_Food Retail,0.0,0.0
gics_sub_ind_Food Distributors,0.0,0.0
gics_sub_ind_Financial Exchanges & Data,0.0,0.0
gics_sub_ind_Fertilizers & Agricultural Chemicals,0.0,0.0
gics_sub_ind_Environmental & Facilities Services,0.0,0.0
cntry_of_risk_TW,0.0,0.0
cntry_of_risk_TR,0.0,0.0
cntry_of_risk_TH,0.0,0.0
gics_sector_Financials,0.0,0.0
cntry_of_risk_SE,0.0,0.0
cntry_of_risk_RU,0.0,0.0
cntry_of_risk_PT,0.0,0.0
gics_sub_ind_Diversified Real Estate Activities,0.0,0.0
gics_sub_ind_Diversified Metals & Mining,0.0,0.0
gics_sub_ind_Diversified Financial Services,0.0,0.0
gics_sub_ind_Diversified Chemicals,0.0,0.0
