Feature,Importance,Std
vola,3.0140677904232973,0.5850814128076962
hist_net_debt_usd,2.194713802619468,2.4697220970884857
top_1_shareholder_percentage,2.113742483803108,0.967679799170682
top_2_shareholder_location_United States,1.9160400777378612,2.355131230777502
top_1_shareholder_location_United States,1.8154096153666544,1.7018448507054629
issuer_cntry_domicile_name_United States of America,1.2088744575688892,1.2950831755368384
cntry_of_risk_CH,1.1850090856036388,0.3834979636544489
top_3_shareholder_percentage,1.1473020469669777,1.0983797103008541
hist_roa,1.0490486445336415,0.17828865007540173
gics_sub_ind_Biotechnology,0.7672618810846288,0.004158405280044519
return_usd,0.6264506074125435,0.023471634342875802
hist_gross_profit_usd,0.41728629597040623,0.4457157769292266
issuer_cntry_domicile_name_Japan,0.3389393932723763,1.0616607000949543
cntry_of_risk_JP,0.3389393932717155,1.061660700093796
top_2_shareholder_location_Japan,0.2901444563663844,0.21620361953684863
top_3_shareholder_location_United States,0.23577396859380428,0.009409834334050515
gics_sub_ind_Health Care Technology,0.23139020646001995,0.014202646521255247
top_3_shareholder_location_Ireland,0.22690155080613295,0.0024064197829289924
cntry_of_risk_US,0.22160326708777234,0.4299345162148711
top_3_shareholder_location_United Kingdom,0.19859964453713275,0.25419590709697815
gics_sub_ind_Life Sciences Tools & Services,0.1786958690556233,0.013967563498802349
gics_sub_ind_Health Care Services,0.16394405105916832,0.1731737806641931
gics_sub_ind_Health Care Supplies,0.16005032548991238,0.1508810831064764
cntry_of_risk_DE,0.1486105496686818,0.03868152638093392
issuer_cntry_domicile_name_Germany,0.14861054966571885,0.03868152638021627
hist_ev_usd,0.13642137124646325,0.2214945780529618
top_3_shareholder_location_Sweden,0.10558660981951107,0.16715920540769957
cntry_of_risk_AU,0.10060777844807944,0.03142132147465304
issuer_cntry_domicile_name_Switzerland,0.09265862272135905,0.26677611262287826
hist_asset_turnover,0.09130817291964632,0.13192141938488788
gics_sub_ind_Managed Health Care,0.08406788040109348,0.06829921613044121
top_1_shareholder_location_Japan,0.08160875023792613,0.8715620330702691
