Feature,Importance,Std
vola,5.091302983530767,0.6525371228732126
top_1_shareholder_location_United States,3.132792752574403,2.158387379186024
hist_roa,3.033040173266734,0.4638135079995678
hist_gross_profit_usd,2.478611464430429,2.2042437068703293
top_1_shareholder_percentage,2.0774133849156797,1.0718494768357303
issuer_cntry_domicile_name_United States of America,1.4932989972780604,1.3537162636014557
top_2_shareholder_location_United States,1.3714171467461398,2.852181960971464
hist_ev_usd,1.3683929070072125,1.1131935865537557
top_3_shareholder_percentage,0.8786222972687341,0.828453223252481
hist_net_debt_usd,0.8307107492746155,1.0090743806932636
gics_sub_ind_Health Care Services,0.8058467129336719,0.9028339200989848
shares_float,0.6431137220509839,0.11757271653765144
return_usd,0.6181654438515736,0.0006979610860682328
hist_asset_turnover,0.4663885642602281,0.569181432774613
top_3_shareholder_location_United States,0.46329962596994534,0.02539350847518307
issuer_cntry_domicile_name_Japan,0.4611341411015957,0.9052455829474013
cntry_of_risk_JP,0.4611341409020895,0.9052455826466996
cntry_of_risk_US,0.40825512695153066,0.5396901000463288
market_cap_usd,0.3024776869779231,1.2678976189264972
top_3_shareholder_location_Ireland,0.2786483279266676,0.04930086305889603
top_2_shareholder_location_Japan,0.2649429357095485,0.14133707425673236
cntry_of_risk_CH,0.2428496454378859,0.10428884203373912
top_3_shareholder_location_United Kingdom,0.23227391439496614,0.3071439841096719
gics_sub_ind_Biotechnology,0.20011626899436408,0.002024062343878086
gics_sub_ind_Health Care Technology,0.18654930268887426,0.01053279039385302
cntry_of_risk_GB,0.16742108537668798,0.02298336969822401
top_3_shareholder_location_Sweden,0.12717167323526724,0.15475651473185792
gics_sub_ind_Life Sciences Tools & Services,0.12392212771467115,0.040669242885378765
hist_capex_sales,0.11619141935143773,0.29868998811437564
hist_book_px,0.11230658491380296,0.013266496771954905
issuer_cntry_domicile_name_Germany,0.08633487691774633,0.001220038662907541
cntry_of_risk_DE,0.08633487688459951,0.0012200386592624568
gics_sub_ind_Health Care Supplies,0.0702332636154992,0.0661524147794168
issuer_cntry_domicile_name_Canada,0.056696411302468164,0.0319630377494633
top_2_shareholder_location_Ireland,0.05181053500506749,0.20009532082654147
shares_outstanding,0.04968637120735764,0.01713908479842985
cntry_of_risk_AU,0.03539783046973355,0.02124908880141163
top_2_shareholder_location_Canada,0.0340924853039013,0.06847710977324084
cntry_of_risk_CN,0.030053600572337302,0.012361698112719921
top_3_shareholder_location_Luxembourg,0.028950088234608984,0.0017070884912016027
hist_capex_depr,0.027943561102588887,0.12839459398443864
cntry_of_risk_FR,0.02712598831050883,0.01210924076557518
issuer_cntry_domicile_name_Ireland,0.020751083253735203,0.010088307345007763
top_1_shareholder_location_Australia,0.018733633819188356,0.309727720138703
top_3_shareholder_location_Canada,0.014347375997225242,9.698620248599354e-05
gics_sub_ind_Managed Health Care,0.013096366545731541,0.024349813289354927
top_3_shareholder_location_Germany,0.012016425784651119,0.03695140238357908
top_2_shareholder_location_Germany,0.008825971738339433,0.07403404848702877
issuer_cntry_domicile_name_Denmark,0.007567620297898259,0.007693915323677913
cntry_of_risk_DK,0.0075676202614332055,0.007693915300656329
issuer_cntry_domicile_name_Sweden,0.006481094874928317,0.001039108923791332
cntry_of_risk_SE,0.006481094872739845,0.001039108923492904
top_1_shareholder_location_Sweden,0.006481094872739845,0.001039108923492904
issuer_cntry_domicile_name_Italy,0.002786700338994308,0.007035248298244312
