Feature,Importance,Std
hist_ev_usd,4.442714386064101,0.6607044944563019
market_cap_usd,2.4980157836463945,0.08657728184577307
issuer_cntry_domicile_name_Switzerland,0.5854019291413319,0.09708608389177664
shares_outstanding,0.5184468387751924,0.08622255394093914
hist_net_debt_usd,0.31012286847941706,0.11711904908590132
top_2_shareholder_location_Switzerland,0.2777702147953496,0.07415054016702238
issuer_cntry_domicile_name_Germany,0.19057839494198658,0.0384672600723186
vola,0.18513807280833716,0.014482278235600221
hist_fcf_yld,0.1407308583516067,0.09362349320658625
top_2_shareholder_location_Germany,0.1321254363605091,0.01999006206489251
top_1_shareholder_location_Switzerland,0.12577380073372502,0.01158012161224753
top_3_shareholder_location_Luxembourg,0.10085679731997055,0.031484937078159136
top_2_shareholder_percentage,0.09983611312582186,0.013261217187787278
top_2_shareholder_location_Luxembourg,0.08297547478700196,0.011666318279843324
beta,0.07795230406221276,0.0033250983796688782
hist_capex_sales,0.06841228563142154,0.027198895634955367
cntry_of_risk_HK,0.06711081666732,0.0018774760500122056
shares_float,0.062441781846722444,0.054719004082451006
cntry_of_risk_US,0.06196857687734503,0.008159418380712102
issuer_cntry_domicile_name_France,0.05484605276226118,0.02277143198357434
gics_sub_ind_Human Resource & Employment Services,0.04334912343763042,0.0044658989363837165
gics_sub_ind_Industrial Conglomerates,0.041410251196618786,0.01818851252654352
hist_gross_profit_usd,0.04028131950292191,0.04109782991906097
hist_asset_turnover,0.039128064812354646,0.004779650401453894
top_3_shareholder_location_United Kingdom,0.03480379506449105,0.00620133650466026
issuer_cntry_domicile_name_Ireland,0.03444997678535344,0.004629320717634222
issuer_cntry_domicile_name_China,0.02877029866969605,0.020647717613120564
top_1_shareholder_location_Japan,0.02735877482499305,0.021609693430006516
issuer_cntry_domicile_name_Canada,0.025920649137713525,0.004289210768873897
gics_sub_ind_Rail Transportation,0.025588449800552526,0.002765774792234277
top_1_shareholder_location_United Kingdom,0.02496389618964967,0.0001513853653700714
gics_sub_ind_Air Freight & Logistics,0.02306147428716021,0.04901679465996156
gics_sub_ind_Marine Transportation,0.021286699973088297,0.012656063396629946
top_2_shareholder_location_France,0.021274162253817286,0.008088375030142592
gics_sub_ind_Passenger Ground Transportation,0.018837448896510844,0.0035159970136111607
cntry_of_risk_DE,0.018796177731690067,0.019050145104728022
issuer_cntry_domicile_name_United Kingdom,0.018080136824817794,0.0210656956460491
gics_sub_ind_Agricultural & Farm Machinery,0.017800171206968418,0.001953294107937875
cntry_of_risk_GB,0.017608348700159926,0.024418082711684885
gics_sub_ind_Cargo Ground Transportation,0.017124670115758356,0.005568179943312046
gics_sub_ind_Construction & Engineering,0.01683158495379322,0.004646899819038097
