Feature,Importance,Std
market_cap_usd,575.7523690726456,0.24942008443770192
hist_ev_usd,539.6853682768419,3.610333963276389
hist_roa,6.132654458005305,1.4303962119487608
net_income_usd,4.249444926235725,1.3091658997663842
hist_roic,2.710926059861009,7.332937111963787
top_2_shareholder_location_United Kingdom,1.8011846277225914,0.045533617922501435
top_2_shareholder_location_Switzerland,1.597678485054729,1.6697848528649786
hist_net_debt_usd,0.8742966866994664,0.4609502893793831
top_1_shareholder_location_United States,0.8247118811139273,0.8717245858124159
issuer_cntry_domicile_name_United States of America,0.8190279345937483,0.7403409572161763
hist_gross_profit_usd,0.6812669954606463,0.007443013735326076
top_3_shareholder_percentage,0.6212208127215888,0.8749130710696988
top_2_shareholder_location_Luxembourg,0.5186993133868327,0.5562586444880822
top_2_shareholder_percentage,0.4984877235442866,0.7392758425181967
hist_asset_turnover,0.40651871859006405,0.5634181364150663
shares_outstanding,0.4007183469354345,0.07687046119389151
hist_eps_usd,0.30785548342012703,0.06334397137428027
hist_rd_exp_usd,0.2633817913611267,0.042147468143156175
gics_sub_ind_Internet Services & Infrastructure,0.17136424217201807,0.0009499622326814006
top_1_shareholder_location_Switzerland,0.07978206144369437,0.014118998975192198
hist_capex_depr,0.07859543716861594,0.49480075512732924
issuer_cntry_domicile_name_Israel,0.07004874364733382,0.011210471475436634
top_3_shareholder_location_Ireland,0.04749887020761889,0.02102854355615591
hist_fcf_yld,0.03452699986505081,0.05746828957759931
issuer_cntry_domicile_name_Netherlands,0.0267209135343478,0.023594745334776235
gics_sub_ind_Semiconductor Materials & Equipment,0.025779634589383704,0.02758523209504915
"gics_sub_ind_Technology Hardware, Storage & Peripherals",0.025249982487622447,0.02262348662620184
top_2_shareholder_location_Canada,0.019412741540179468,0.017334798702734133
top_2_shareholder_location_United States,0.013319244056418711,0.05474998720612234
top_3_shareholder_location_Namibia,0.011587438055954635,0.019047704176017533
top_2_shareholder_location_Romania,0.011587438055954635,0.019047704176017533
top_1_shareholder_location_United Kingdom,0.010822770049998098,0.0008646729562826749
gics_sub_ind_IT Consulting & Other Services,0.010755316766335454,0.023986271507681067
top_1_shareholder_percentage,0.008789645947103963,1.9444339328991873
return_usd,0.007674799191818238,0.04359301549652628
cntry_of_risk_NL,0.007561733390190284,0.015488278316098558
hist_net_chg_lt_debt_usd,0.005281262943441334,0.0028245386498895186
top_1_shareholder_location_Japan,0.004796118624454948,0.012856765554118965
gics_sub_ind_Technology Distributors,0.004140076958236705,0.0038336597865793465
top_3_shareholder_location_Canada,0.0034110941335541156,0.0030549158070982685
hist_pe,0.0033557190819806237,0.0029714004975289754
hist_book_px,0.0032072578263750984,0.04998789755427424
cntry_of_risk_JP,0.0026171547439446385,0.0066174984395104275
issuer_cntry_domicile_name_Japan,0.002617154743887795,0.006617498439169367
top_2_shareholder_location_Israel,0.002257140009618297,0.005917940317289094
top_2_shareholder_location_Germany,0.0015817699437548072,0.010141822146465529
gics_sub_ind_Application Software,0.0007029682552115446,0.0012917000571519566
cntry_of_risk_SG,0.0005804712936026135,0.0020486155173955467
top_2_shareholder_location_Taiwan,0.00022614567657797124,0.00015460077176498999
issuer_cntry_domicile_name_China,1.1937117960769683e-12,6.821210263296962e-13
issuer_cntry_domicile_name_Spain,2.8421709430404007e-13,2.8421709430404007e-13
gics_sub_ind_Oil & Gas Equipment & Services,0.0,0.0
gics_sub_ind_Integrated Oil & Gas,0.0,0.0
gics_sub_ind_Insurance Brokers,0.0,0.0
gics_sub_ind_Motorcycle Manufacturers,0.0,0.0
gics_sub_ind_Industrial Gases,0.0,0.0
gics_sub_ind_Industrial Conglomerates,0.0,0.0
gics_sub_ind_Food Retail,0.0,0.0
gics_sub_ind_Independent Power Producers & Energy Traders,0.0,0.0
gics_sub_ind_Footwear,0.0,0.0
gics_sub_ind_Human Resource & Employment Services,0.0,0.0
gics_sub_ind_Integrated Telecommunication Services,0.0,0.0
gics_sub_ind_Interactive Home Entertainment,0.0,0.0
gics_sub_ind_Interactive Media & Services,0.0,0.0
gics_sub_ind_Oil & Gas Drilling,0.0,0.0
gics_sub_ind_Housewares & Specialties,0.0,0.0
gics_sub_ind_Multi-line Insurance,0.0,0.0
top_1_shareholder_location_Luxembourg,0.0,0.0
top_1_shareholder_location_Mexico,0.0,0.0
top_1_shareholder_location_Norway,0.0,0.0
top_1_shareholder_location_South Africa,0.0,0.0
top_1_shareholder_location_Spain,0.0,0.0
top_1_shareholder_location_Australia,0.0,0.0
top_1_shareholder_location_Belgium,0.0,0.0
top_1_shareholder_location_Taiwan,0.0,0.0
top_1_shareholder_location_Thailand,0.0,0.0
gics_sub_ind_Investment Banking & Brokerage,0.0,0.0
gics_sub_ind_Health Care Technology,0.0,0.0
gics_sub_ind_Health Care Supplies,0.0,0.0
gics_sub_ind_Health Care Services,0.0,0.0
gics_sub_ind_Health Care Facilities,0.0,0.0
gics_sub_ind_Electric Utilities,0.0,0.0
gics_sub_ind_Education Services,0.0,0.0
gics_sub_ind_Environmental & Facilities Services,0.0,0.0
gics_sub_ind_Fertilizers & Agricultural Chemicals,0.0,0.0
gics_sub_ind_Financial Exchanges & Data,0.0,0.0
gics_sub_ind_Food Distributors,0.0,0.0
gics_sub_ind_Drug Retail,0.0,0.0
gics_sub_ind_Regional Banks,0.0,0.0
gics_sub_ind_Reinsurance,0.0,0.0
gics_sub_ind_Renewable Electricity,0.0,0.0
gics_sub_ind_Real Estate Services,0.0,0.0
gics_sub_ind_Restaurants,0.0,0.0
gics_sub_ind_Security & Alarm Services,0.0,0.0
gics_sub_ind_Diversified Support Services,0.0,0.0
gics_sub_ind_Personal Care Products,0.0,0.0
gics_sub_ind_Industrial Machinery & Supplies & Components,0.0,0.0
gics_sub_ind_Silver,0.0,0.0
gics_sub_ind_Soft Drinks & Non-alcoholic Beverages,0.0,0.0
gics_sub_ind_Specialized Consumer Services,0.0,0.0
gics_sub_ind_Diversified Real Estate Activities,0.0,0.0
gics_sub_ind_Specialized Finance,0.0,0.0
gics_sub_ind_Specialty Chemicals,0.0,0.0
gics_sub_ind_Steel,0.0,0.0
gics_sub_ind_Leisure Facilities,0.0,0.0
gics_sub_ind_Forest Products,0.0,0.0
gics_sub_ind_Household Products,0.0,0.0
gics_sub_ind_Research & Consulting Services,0.0,0.0
top_3_shareholder_location_Japan,0.0,0.0
gics_sub_ind_Tobacco,0.0,0.0
gics_sub_ind_Trading Companies & Distributors,0.0,0.0
gics_sub_ind_Transaction & Payment Processing Services,0.0,0.0
gics_sub_ind_Water Utilities,0.0,0.0
gics_sub_ind_Wireless Telecommunication Services,0.0,0.0
top_3_shareholder_location_Not Available,0.0,0.0
top_3_shareholder_location_Panama,0.0,0.0
top_3_shareholder_location_Poland,0.0,0.0
top_1_shareholder_location_Brazil,0.0,0.0
top_1_shareholder_location_China,0.0,0.0
