Feature,Importance,Std
market_cap_usd,356.3125229140413,1.3175144776026855
hist_ev_usd,323.49122483887345,2.934264203687235
hist_roa,18.641828425352514,4.306358369984764
net_income_usd,5.379939380627775,2.2453826034488884
hist_roic,4.874540801488706,11.23604179878646
top_2_shareholder_location_United Kingdom,3.388842731202658,0.052751775561318937
top_2_shareholder_location_Switzerland,2.1175699740040272,2.1915323590785647
issuer_cntry_domicile_name_United States of America,2.031664563870777,1.8989755683220437
top_1_shareholder_location_United States,1.521230388302797,1.6214900854921552
shares_outstanding,0.859958614613106,0.20163426663089012
top_2_shareholder_location_Luxembourg,0.7965175504789386,0.8072694871434578
hist_asset_turnover,0.7642353389146592,1.2942592084691569
vola,0.7519851677130873,0.36850533572089716
top_3_shareholder_percentage,0.7394266212899083,1.0057331968922654
hist_rd_exp_usd,0.7039927000309945,0.14592036643239226
top_2_shareholder_percentage,0.5897496971954297,0.8839777054279239
hist_net_debt_usd,0.558955344708238,0.5254140317299516
gics_sub_ind_Internet Services & Infrastructure,0.4342697796103039,0.002592502451761902
hist_gross_profit_usd,0.42810837928391265,0.012553603283322445
hist_fcf_yld,0.34604733769003815,0.5626701692373217
hist_eps_usd,0.24310674814125832,0.05533658597335034
issuer_cntry_domicile_name_Israel,0.07721574570859957,0.03323648182367833
top_3_shareholder_location_United Kingdom,0.07534938097171562,0.0760083138096661
top_1_shareholder_location_Switzerland,0.06153461603071264,0.001848036381716156
top_3_shareholder_location_Ireland,0.05027764161582127,0.010720557724880564
"gics_sub_ind_Technology Hardware, Storage & Peripherals",0.04563301317409696,0.03669341126112613
top_3_shareholder_location_Canada,0.03484119200481928,0.010290044552107247
top_3_shareholder_location_Norway,0.030509228020264345,0.005461238528368995
hist_capex_depr,0.02253645896087164,0.12455314268720485
hist_book_px,0.021307542909880794,0.12168918376414695
return_usd,0.0210099613981356,0.20400533996496506
gics_sub_ind_Semiconductors,0.01717919128475387,0.01696624677344971
top_2_shareholder_location_Canada,0.012914193525375595,0.009898675021531744
top_1_shareholder_location_Japan,0.010770693985023172,0.02111004834318919
top_2_shareholder_location_United States,0.010135474930621058,0.030843324602756184
issuer_cntry_domicile_name_Germany,0.008350756605182141,0.008652041603795624
gics_sub_ind_Technology Distributors,0.008008026998368223,0.017882837826618925
top_1_shareholder_location_United Kingdom,0.007329341142849444,0.0034525646610745753
cntry_of_risk_CN,0.007232512391396995,0.001038495472471368
gics_sub_ind_IT Consulting & Other Services,0.0071084725638002055,0.018456934592109064
top_2_shareholder_location_Israel,0.006129795629135515,0.0042410953832359155
top_2_shareholder_location_Romania,0.002911115452775448,0.01617948504224387
top_3_shareholder_location_Namibia,0.002911115452775448,0.01617948504224387
issuer_cntry_domicile_name_Switzerland,0.002407692298902475,0.0006192919654495199
issuer_cntry_domicile_name_Netherlands,0.0020460995319808717,0.0014709827660226438
hist_pe,0.0015985273522574062,0.002905375520299458
cntry_of_risk_NL,0.0010558116073298152,0.0009742318036387587
issuer_cntry_domicile_name_Japan,0.00040841257600732206,0.0009311374753906421
cntry_of_risk_JP,0.00040841257600732206,0.0009311374751632684
top_2_shareholder_location_Germany,0.00016248250517492124,0.011164722174271446
top_2_shareholder_location_Taiwan,0.00015280145532869938,0.0013302825863092949
cntry_of_risk_FI,0.00012521212090632616,0.0014814131349112358
issuer_cntry_domicile_name_Finland,0.00012521212090632616,0.0014814131349112358
gics_sub_ind_Reinsurance,0.0,0.0
gics_sub_ind_Independent Power Producers & Energy Traders,0.0,0.0
gics_sub_ind_Industrial Conglomerates,0.0,0.0
gics_sub_ind_Industrial Gases,0.0,0.0
gics_sub_ind_Regional Banks,0.0,0.0
top_1_shareholder_location_China,0.0,0.0
gics_sub_ind_Human Resource & Employment Services,0.0,0.0
gics_sub_ind_Industrial Machinery & Supplies & Components,0.0,0.0
gics_sub_ind_Insurance Brokers,0.0,0.0
gics_sub_ind_Silver,0.0,0.0
gics_sub_ind_Interactive Home Entertainment,0.0,0.0
gics_sub_ind_Leisure Products,0.0,0.0
gics_sub_ind_Interactive Media & Services,0.0,0.0
top_1_shareholder_location_Brazil,0.0,0.0
top_1_shareholder_location_Belgium,0.0,0.0
top_1_shareholder_location_Spain,0.0,0.0
top_1_shareholder_location_South Africa,0.0,0.0
top_1_shareholder_location_Norway,0.0,0.0
top_1_shareholder_location_Mexico,0.0,0.0
gics_sub_ind_Housewares & Specialties,0.0,0.0
gics_sub_ind_Investment Banking & Brokerage,0.0,0.0
gics_sub_ind_Leisure Facilities,0.0,0.0
gics_sub_ind_Integrated Telecommunication Services,0.0,0.0
gics_sub_ind_Heavy Electrical Equipment,0.0,0.0
gics_sub_ind_Health Care Technology,0.0,0.0
gics_sub_ind_Multi-Sector Holdings,0.0,0.0
gics_sub_ind_Electrical Components & Equipment,0.0,0.0
gics_sub_ind_Electric Utilities,0.0,0.0
gics_sub_ind_Education Services,0.0,0.0
gics_sub_ind_Drug Retail,0.0,0.0
gics_sub_ind_Footwear,0.0,0.0
gics_sub_ind_Gas Utilities,0.0,0.0
gics_sub_ind_Forest Products,0.0,0.0
gics_sub_ind_Life & Health Insurance,0.0,0.0
gics_sub_ind_Oil & Gas Refining & Marketing,0.0,0.0
gics_sub_ind_Oil & Gas Exploration & Production,0.0,0.0
gics_sub_ind_Oil & Gas Equipment & Services,0.0,0.0
gics_sub_ind_Oil & Gas Drilling,0.0,0.0
gics_sub_ind_Office Services & Supplies,0.0,0.0
gics_sub_ind_Diversified Support Services,0.0,0.0
gics_sub_ind_Steel,0.0,0.0
gics_sub_ind_Specialty Chemicals,0.0,0.0
gics_sub_ind_Specialized Finance,0.0,0.0
gics_sub_ind_Specialized Consumer Services,0.0,0.0
gics_sub_ind_Soft Drinks & Non-alcoholic Beverages,0.0,0.0
gics_sub_ind_Property & Casualty Insurance,0.0,0.0
gics_sub_ind_Precious Metals & Minerals,0.0,0.0
gics_sub_ind_Pharmaceuticals,0.0,0.0
gics_sub_ind_Environmental & Facilities Services,0.0,0.0
gics_sub_ind_Restaurants,0.0,0.0
gics_sub_ind_Research & Consulting Services,0.0,0.0
gics_sub_ind_Renewable Electricity,0.0,0.0
top_1_shareholder_location_France,0.0,0.0
gics_sub_ind_Food Retail,0.0,0.0
gics_sub_ind_Food Distributors,0.0,0.0
gics_sub_ind_Financial Exchanges & Data,0.0,0.0
gics_sub_ind_Fertilizers & Agricultural Chemicals,0.0,0.0
gics_sub_ind_Security & Alarm Services,0.0,0.0
top_3_shareholder_location_New Zealand,0.0,0.0
gics_sub_ind_Water Utilities,0.0,0.0
gics_sub_ind_Wireless Telecommunication Services,0.0,0.0
top_1_shareholder_location_Australia,0.0,0.0
top_3_shareholder_location_Panama,0.0,0.0
top_3_shareholder_location_Poland,0.0,0.0
top_3_shareholder_location_Portugal,0.0,0.0
top_3_shareholder_location_Singapore,0.0,0.0
top_3_shareholder_location_South Korea,0.0,0.0
top_1_shareholder_location_Germany,0.0,0.0
top_1_shareholder_location_India,0.0,0.0
top_1_shareholder_location_Ireland,0.0,0.0
gics_sub_ind_Tires & Rubber,0.0,0.0
gics_sub_ind_Tobacco,0.0,0.0
gics_sub_ind_Oil & Gas Storage & Transportation,0.0,0.0
issuer_cntry_domicile_name_Belgium,0.0,0.0
issuer_cntry_domicile_name_Bermuda,0.0,0.0
issuer_cntry_domicile_name_Brazil,0.0,0.0
issuer_cntry_domicile_name_Cayman Islands,0.0,0.0
issuer_cntry_domicile_name_China,0.0,0.0
issuer_cntry_domicile_name_Denmark,0.0,0.0
issuer_cntry_domicile_name_Greece,0.0,0.0
issuer_cntry_domicile_name_Hong Kong,0.0,0.0
issuer_cntry_domicile_name_India,0.0,0.0
top_3_shareholder_location_Austria,0.0,0.0
top_3_shareholder_location_Bahamas,0.0,0.0
top_3_shareholder_location_Belgium,0.0,0.0
top_3_shareholder_location_Bermuda,0.0,0.0
top_3_shareholder_location_Cayman Islands,0.0,0.0
top_3_shareholder_location_China,0.0,0.0
gics_sub_ind_Trading Companies & Distributors,0.0,0.0
top_1_shareholder_location_Turkey,0.0,0.0
top_2_shareholder_location_Australia,0.0,0.0
top_2_shareholder_location_Austria,0.0,0.0
top_1_shareholder_location_Israel,0.0,0.0
top_1_shareholder_location_Luxembourg,0.0,0.0
gics_sub_ind_Paper & Plastic Packaging Products & Materials,0.0,0.0
