Feature,Importance,Std
market_cap_usd,37.9699566683621,3.9939446840608035
hist_ev_usd,31.975644351449592,0.7098640296835406
cntry_of_risk_CA,13.476490118529574,1.3147237419289066
issuer_cntry_domicile_name_Canada,10.038096845683933,1.1122009846702792
shares_float,2.9014297147149675,0.0829764185382258
hist_net_debt_usd,2.01538636112216,0.1350068854836204
hist_capex_sales,1.3053525894589608,0.17242207632420126
shares_outstanding,0.9576040491279283,0.09958520068204813
issuer_cntry_domicile_name_United Kingdom,0.8415569807548904,0.021882610111860323
net_income_usd,0.6528118273494896,0.1163815389031364
gics_sub_ind_Steel,0.5045918154580078,0.08773124080060901
top_2_shareholder_location_United States,0.3723158163310214,0.01119989652551423
cntry_of_risk_US,0.344496331530709,0.04252769991020955
top_3_shareholder_location_Canada,0.2821261234711785,0.17503864762382682
gics_sub_ind_Specialty Chemicals,0.21546756679372336,0.07930243275337023
top_1_shareholder_location_United States,0.20785883827872098,0.013564242860203635
cntry_of_risk_GB,0.20047899291791094,0.11331762587858751
gics_sub_ind_Fertilizers & Agricultural Chemicals,0.18510236870332442,0.09402792940574223
top_3_shareholder_percentage,0.17780975634808582,0.0681427905173293
top_2_shareholder_location_Switzerland,0.17395907513071807,0.024010697807668624
issuer_cntry_domicile_name_United States of America,0.1682784006186453,0.14340814706919458
gics_sub_ind_Commodity Chemicals,0.11792455854308548,0.05864649768746366
top_2_shareholder_percentage,0.11704050749545969,0.10452779576828464
issuer_cntry_domicile_name_Finland,0.11234953080794696,0.02736062816290996
cntry_of_risk_FI,0.11234953080469978,0.02736062816232465
top_2_shareholder_location_United Kingdom,0.10786684633391319,0.0645281310139656
hist_eps_usd,0.10497576112631712,0.0055421604343770525
cntry_of_risk_CH,0.09510089587640413,0.07268196924588421
vola,0.08814895781093934,0.11842865679650494
top_2_shareholder_location_South Africa,0.08665521393032094,0.003171895903892441
cntry_of_risk_AU,0.07429950873200353,0.029227228599032262
cntry_of_risk_CL,0.07373337400941571,0.022324423364068036
hist_fcf_yld,0.07314171782512391,0.08026674842286541
cntry_of_risk_BR,0.06983299309311741,0.006185241611656789
gics_sub_ind_Copper,0.06734018262119834,0.0007969241036058783
hist_ebitda_ev,0.06627957764953418,0.030215992997820962
hist_capex_depr,0.04631483225713939,0.02232544470745168
top_2_shareholder_location_Germany,0.03954650295414375,0.010146241998693739
"gics_sub_ind_Metal, Glass & Plastic Containers",0.034281825104705455,0.1446166979170771
hist_roa,0.029957399549011665,0.028132462172415718
gics_sub_ind_Aluminum,0.02711119180945909,0.08317459696155227
hist_roe,0.025706502739822668,0.03616433069169123
hist_gross_profit_usd,0.024735082933502905,0.049736101814216394
top_1_shareholder_location_Switzerland,0.02371232325377992,0.030117601661669546
top_2_shareholder_location_Norway,0.020811863888441806,0.006203256004519098
top_2_shareholder_location_Ireland,0.019332049249795258,0.01155477318926712
gics_sub_ind_Paper & Plastic Packaging Products & Materials,0.017898086053453,0.05376480562753283
top_1_shareholder_percentage,0.014104109987787439,0.041057125566982045
top_1_shareholder_location_Canada,0.011578046029252942,0.04083451160101648
return_usd,0.005301307187730586,0.0685610985460432
hist_book_px,0.004633333443479604,0.01820073513170639
issuer_cntry_domicile_name_Germany,0.0026834740862020645,0.0010205521073305412
cntry_of_risk_DE,0.002683474068448266,0.0010205521006674267
issuer_cntry_domicile_name_South Korea,0.0024377067699532518,0.012667366916639722
cntry_of_risk_KR,0.00243770676966637,0.012667366915908751
top_2_shareholder_location_South Korea,0.0017811186781888644,0.0040162068310514165
top_1_shareholder_location_Sweden,0.0009669205437812245,0.009429275357185407
gics_sub_ind_Industrial Gases,0.0008107119240392535,0.09022832880789977
issuer_cntry_domicile_name_Ireland,1.5373924355799318e-11,3.5087488470253447e-12
cntry_of_risk_DK,1.3322676295501878e-15,1.3322676295501878e-15
gics_sub_ind_Interactive Home Entertainment,0.0,0.0
gics_sub_ind_Integrated Telecommunication Services,0.0,0.0
gics_sub_ind_Integrated Oil & Gas,0.0,0.0
gics_sub_ind_Insurance Brokers,0.0,0.0
gics_sub_ind_IT Consulting & Other Services,0.0,0.0
gics_sub_ind_Industrial Machinery & Supplies & Components,0.0,0.0
gics_sub_ind_Independent Power Producers & Energy Traders,0.0,0.0
gics_sub_ind_Industrial Conglomerates,0.0,0.0
gics_sub_ind_Housewares & Specialties,0.0,0.0
gics_sub_ind_Interactive Media & Services,0.0,0.0
gics_sub_ind_Internet Services & Infrastructure,0.0,0.0
gics_sub_ind_Investment Banking & Brokerage,0.0,0.0
gics_sub_ind_Leisure Facilities,0.0,0.0
top_1_shareholder_location_Israel,0.0,0.0
top_1_shareholder_location_Luxembourg,0.0,0.0
top_1_shareholder_location_Mexico,0.0,0.0
top_1_shareholder_location_Norway,0.0,0.0
top_1_shareholder_location_South Africa,0.0,0.0
top_1_shareholder_location_Spain,0.0,0.0
gics_sub_ind_Diversified Support Services,0.0,0.0
top_1_shareholder_location_Belgium,0.0,0.0
top_1_shareholder_location_Brazil,0.0,0.0
gics_sub_ind_Oil & Gas Exploration & Production,0.0,0.0
gics_sub_ind_Human Resource & Employment Services,0.0,0.0
gics_sub_ind_Food Retail,0.0,0.0
gics_sub_ind_Food Distributors,0.0,0.0
gics_sub_ind_Footwear,0.0,0.0
gics_sub_ind_Real Estate Services,0.0,0.0
gics_sub_ind_Regional Banks,0.0,0.0
gics_sub_ind_Reinsurance,0.0,0.0
gics_sub_ind_Financial Exchanges & Data,0.0,0.0
gics_sub_ind_Renewable Electricity,0.0,0.0
gics_sub_ind_Research & Consulting Services,0.0,0.0
gics_sub_ind_Restaurants,0.0,0.0
gics_sub_ind_Security & Alarm Services,0.0,0.0
gics_sub_ind_Semiconductor Materials & Equipment,0.0,0.0
gics_sub_ind_Environmental & Facilities Services,0.0,0.0
top_1_shareholder_location_Taiwan,0.0,0.0
gics_sub_ind_Semiconductors,0.0,0.0
gics_sub_ind_Silver,0.0,0.0
gics_sub_ind_Soft Drinks & Non-alcoholic Beverages,0.0,0.0
gics_sub_ind_Specialized Consumer Services,0.0,0.0
gics_sub_ind_Specialized Finance,0.0,0.0
gics_sub_ind_Health Care Technology,0.0,0.0
gics_sub_ind_Electronic Equipment & Instruments,0.0,0.0
gics_sub_ind_Electronic Components,0.0,0.0
gics_sub_ind_Electrical Components & Equipment,0.0,0.0
gics_sub_ind_Electric Utilities,0.0,0.0
gics_sub_ind_Systems Software,0.0,0.0
gics_sub_ind_Household Products,0.0,0.0
gics_sub_ind_Education Services,0.0,0.0
gics_sub_ind_Drug Retail,0.0,0.0
gics_sub_ind_Electronic Manufacturing Services,0.0,0.0
top_3_shareholder_location_Japan,0.0,0.0
top_3_shareholder_location_Liechtenstein,0.0,0.0
gics_sub_ind_Tobacco,0.0,0.0
gics_sub_ind_Trading Companies & Distributors,0.0,0.0
gics_sub_ind_Transaction & Payment Processing Services,0.0,0.0
gics_sub_ind_Water Utilities,0.0,0.0
gics_sub_ind_Wireless Telecommunication Services,0.0,0.0
top_3_shareholder_location_Not Available,0.0,0.0
top_3_shareholder_location_Panama,0.0,0.0
top_3_shareholder_location_Poland,0.0,0.0
top_1_shareholder_location_China,0.0,0.0
top_1_shareholder_location_France,0.0,0.0
