Feature,Importance,Std
shares_float,22.13201599876719,4.303213188619512
hist_net_chg_lt_debt_usd,8.241913730011696,2.821544452329187
hist_ev_usd,5.875063587455319,0.7778536165797032
hist_roa,5.749562996738581,0.9592063941895148
hist_gross_profit_usd,4.353334554279122,0.2286135663533937
hist_roic,2.8483722245432723,0.16198090121887354
market_cap_usd,2.4792050131884142,0.6722864851238342
shares_outstanding,2.2357578010767405,0.1212949930230014
net_income_usd,1.4790417426014448,1.8271168782004983
hist_rd_exp_usd,1.384345221593196,2.011831061277575
hist_net_debt_usd,0.9855841007118435,0.11611477911091228
top_3_shareholder_percentage,0.7514528270497935,0.06716216713030487
hist_capex_sales,0.7193935118940393,0.2775334665447007
hist_roe,0.7092227688775896,1.2673775108225094
gics_sub_ind_Diversified Real Estate Activities,0.3407848371068898,0.08756452184555386
hist_book_px,0.3304014376848512,0.018064039780177232
beta,0.2988009805527643,0.4490361797758027
gics_sub_ind_Real Estate Operating Companies,0.23901524288622777,0.09058381402727544
hist_asset_turnover,0.22083500391829958,0.033138410598688495
random_feature,0.20165022244942676,0.04088062613304011
top_3_shareholder_location_Ireland,0.1884388684210334,0.0326068075301178
top_3_shareholder_location_Norway,0.052312046230268194,0.10475320673223187
top_2_shareholder_location_United Kingdom,0.04953737981596351,0.01610963422977374
top_1_shareholder_percentage,0.03857248628024301,0.08426942631902357
top_2_shareholder_location_Ireland,0.03416125997329189,0.009017632971302092
hist_eps_usd,0.023068505918533155,0.008158017914797533
cntry_of_risk_US,0.022110846044884447,0.0034724022284704503
issuer_cntry_domicile_name_United States of America,0.022110846044884447,0.0034724022284704503
cntry_of_risk_HK,0.018433653115513593,0.0379847752885194
vola,0.01660326173477955,0.002977990123918417
issuer_cntry_domicile_name_Hong Kong,0.015045072103199608,0.04294085876628895
cntry_of_risk_JP,0.012954978786963167,0.044542947277241396
top_1_shareholder_location_Japan,0.012954978786963167,0.044542947277241396
issuer_cntry_domicile_name_Japan,0.012954978786963167,0.044542947277241396
top_3_shareholder_location_United Kingdom,0.01235074317920315,0.19891862155762574
top_1_shareholder_location_Sweden,0.007154365955258868,0.027485951478009696
cntry_of_risk_SE,0.007154365955258868,0.027485951478009696
issuer_cntry_domicile_name_Sweden,0.007154365955258868,0.027485951478009696
cntry_of_risk_CH,0.004201892193049339,0.005384342366215655
top_1_shareholder_location_Switzerland,0.004201892193049339,0.005384342366215655
