Feature,Importance,Std
shares_float,26.363921364343355,1.1067214614213157
hist_roic,17.733783633315152,0.3841248856592365
hist_ev_usd,15.517494075090088,1.8201278183153669
top_1_shareholder_percentage,14.968436283591647,4.3928023284620075
market_cap_usd,14.872798469884543,0.29897153056556647
beta,7.561022948134223,1.4153901461613927
net_income_usd,5.589374134150852,0.443268879018504
hist_net_debt_usd,4.679462529405175,0.06663335765609801
gics_sub_ind_Independent Power Producers & Energy Traders,3.54215963236361,1.0575422102506913
hist_net_chg_lt_debt_usd,1.6813155467825887,0.7238535348636539
hist_rd_exp_usd,1.671622010816666,1.044202221714162
top_1_shareholder_location_Canada,1.4891320805303003,1.7306915544795025
top_3_shareholder_location_Luxembourg,1.3140342494243846,0.16261146504162483
hist_pe,0.6078459335908626,3.487656619551334
gics_sub_ind_Water Utilities,0.5038018389766279,0.461756928964526
issuer_cntry_domicile_name_Japan,0.3729120096211851,0.00968246085956892
cntry_of_risk_JP,0.37291200962117443,0.009682460859565367
top_1_shareholder_location_Japan,0.37291200962117443,0.009682460859565367
top_3_shareholder_location_Norway,0.3643056944084009,0.05634297778270536
top_2_shareholder_percentage,0.3454670205156134,0.0958971912343003
top_1_shareholder_location_United States,0.3148164790705472,0.6765219710629999
hist_asset_turnover,0.2963055496181042,0.12206739096125574
top_3_shareholder_location_Spain,0.2801314030225228,0.1927231832305054
top_3_shareholder_percentage,0.21603115289677177,0.1293643523412804
vola,0.20271490136763148,0.10509334718902963
hist_gross_profit_usd,0.1831631928403894,0.13657035770777526
cntry_of_risk_US,0.1716075456220274,1.7077904861525504
issuer_cntry_domicile_name_United States of America,0.1716075456220274,1.7077904861525504
gics_sub_ind_Electric Utilities,0.16886966028997819,0.07005104953423569
return_usd,0.16610841324503411,0.009775404396073384
issuer_cntry_domicile_name_Spain,0.15423016299741832,0.09945021716620417
cntry_of_risk_ES,0.15423016299741832,0.09945021716620417
top_2_shareholder_location_United Kingdom,0.12293418983747628,0.032637479236630185
top_3_shareholder_location_Canada,0.04168968299447684,0.008314195565635174
hist_book_px,0.033536564472093744,0.008421291524413732
cntry_of_risk_CA,0.009432867192348482,0.052851967713035464
issuer_cntry_domicile_name_Canada,0.009432867192337824,0.05285196771298928
issuer_cntry_domicile_name_Belgium,2.4868995751603507e-14,1.0658141036401503e-14
issuer_cntry_domicile_name_Germany,7.105427357601002e-15,0.0
issuer_cntry_domicile_name_Greece,3.552713678800501e-15,3.552713678800501e-15
gics_sub_ind_Regional Banks,0.0,0.0
gics_sub_ind_Real Estate Services,0.0,0.0
gics_sub_ind_Human Resource & Employment Services,0.0,0.0
gics_sub_ind_Systems Software,0.0,0.0
gics_sub_ind_Steel,0.0,0.0
gics_sub_ind_Reinsurance,0.0,0.0
gics_sub_ind_Specialized Finance,0.0,0.0
gics_sub_ind_Publishing,0.0,0.0
gics_sub_ind_Property & Casualty Insurance,0.0,0.0
gics_sub_ind_Precious Metals & Minerals,0.0,0.0
gics_sub_ind_IT Consulting & Other Services,0.0,0.0
gics_sub_ind_Specialty Chemicals,0.0,0.0
gics_sub_ind_Research & Consulting Services,0.0,0.0
gics_sub_ind_Housewares & Specialties,0.0,0.0
gics_sub_ind_Industrial Conglomerates,0.0,0.0
gics_sub_ind_Industrial Gases,0.0,0.0
gics_sub_ind_Industrial Machinery & Supplies & Components,0.0,0.0
gics_sub_ind_Semiconductors,0.0,0.0
gics_sub_ind_Leisure Facilities,0.0,0.0
gics_sub_ind_Silver,0.0,0.0
gics_sub_ind_Soft Drinks & Non-alcoholic Beverages,0.0,0.0
gics_sub_ind_Specialized Consumer Services,0.0,0.0
gics_sub_ind_Interactive Media & Services,0.0,0.0
gics_sub_ind_Investment Banking & Brokerage,0.0,0.0
gics_sub_ind_Pharmaceuticals,0.0,0.0
gics_sub_ind_Internet Services & Infrastructure,0.0,0.0
top_1_shareholder_location_South Africa,0.0,0.0
gics_sub_ind_Household Products,0.0,0.0
gics_sub_ind_Education Services,0.0,0.0
gics_sub_ind_Managed Health Care,0.0,0.0
gics_sub_ind_Life Sciences Tools & Services,0.0,0.0
gics_sub_ind_Life & Health Insurance,0.0,0.0
gics_sub_ind_Leisure Products,0.0,0.0
gics_sub_ind_Oil & Gas Exploration & Production,0.0,0.0
gics_sub_ind_Oil & Gas Equipment & Services,0.0,0.0
gics_sub_ind_Oil & Gas Drilling,0.0,0.0
top_1_shareholder_location_Norway,0.0,0.0
gics_sub_ind_Interactive Home Entertainment,0.0,0.0
gics_sub_ind_Integrated Telecommunication Services,0.0,0.0
gics_sub_ind_Integrated Oil & Gas,0.0,0.0
gics_sub_ind_Insurance Brokers,0.0,0.0
gics_sub_ind_Motorcycle Manufacturers,0.0,0.0
"gics_sub_ind_Metal, Glass & Plastic Containers",0.0,0.0
gics_sub_ind_Marine Transportation,0.0,0.0
gics_sub_ind_Automotive Parts & Equipment,0.0,0.0
gics_sub_ind_Office Services & Supplies,0.0,0.0
gics_sub_ind_Personal Care Products,0.0,0.0
gics_sub_ind_Semiconductor Materials & Equipment,0.0,0.0
gics_sub_ind_Security & Alarm Services,0.0,0.0
gics_sub_ind_Restaurants,0.0,0.0
gics_sub_ind_Drug Retail,0.0,0.0
gics_sub_ind_Diversified Support Services,0.0,0.0
gics_sub_ind_Diversified Real Estate Activities,0.0,0.0
gics_sub_ind_Forest Products,0.0,0.0
gics_sub_ind_Electrical Components & Equipment,0.0,0.0
gics_sub_ind_Food Retail,0.0,0.0
gics_sub_ind_Food Distributors,0.0,0.0
gics_sub_ind_Financial Exchanges & Data,0.0,0.0
gics_sub_ind_Multi-line Insurance,0.0,0.0
gics_sub_ind_Multi-Sector Holdings,0.0,0.0
gics_sub_ind_Movies & Entertainment,0.0,0.0
gics_sub_ind_Electronic Equipment & Instruments,0.0,0.0
gics_sub_ind_Electronic Components,0.0,0.0
gics_sub_ind_Footwear,0.0,0.0
issuer_cntry_domicile_name_Cayman Islands,0.0,0.0
top_3_shareholder_location_Israel,0.0,0.0
top_3_shareholder_location_Japan,0.0,0.0
top_3_shareholder_location_Liechtenstein,0.0,0.0
top_3_shareholder_location_Namibia,0.0,0.0
top_3_shareholder_location_New Zealand,0.0,0.0
