Feature,Importance,Std
shares_float,29.40887126827645,1.2319829925815071
top_1_shareholder_percentage,14.998505787076166,4.860982181337658
hist_roic,13.667493716471036,0.2664135322750667
beta,8.700223921579852,1.754463032241862
market_cap_usd,8.342919003351845,0.3381952708488143
net_income_usd,6.835835725182331,0.6018924519366173
hist_ev_usd,5.568161827189535,0.9181323898363729
gics_sub_ind_Independent Power Producers & Energy Traders,3.724064066349463,1.287598039984836
top_3_shareholder_location_Luxembourg,2.0435398201416675,0.13498262970060892
hist_net_chg_lt_debt_usd,1.967099289748461,0.9537059327148256
hist_net_debt_usd,1.6894855673688447,0.15265680739407017
hist_pe,1.5959504138984393,4.612498726377421
hist_rd_exp_usd,1.4526569981063453,0.8863597106944816
top_1_shareholder_location_Canada,1.3887781961165224,1.841611580486397
top_2_shareholder_percentage,0.6978825506683108,0.09739632761169759
gics_sub_ind_Water Utilities,0.47989768774298724,0.42262918265335614
issuer_cntry_domicile_name_United States of America,0.47262049738575485,1.8464942189847875
cntry_of_risk_US,0.47262049738575485,1.8464942189847875
top_3_shareholder_location_Norway,0.4664992397499397,0.07954683495276882
top_1_shareholder_location_Japan,0.43789179373120746,0.008108495414209216
cntry_of_risk_JP,0.43789179373120746,0.008108495414209216
issuer_cntry_domicile_name_Japan,0.43789179373120746,0.008108495414209216
hist_asset_turnover,0.43376729220668864,0.19703984284708298
top_3_shareholder_percentage,0.37553609802008125,0.28509555410181875
top_1_shareholder_location_United States,0.3121554126648505,0.7568242603274413
hist_gross_profit_usd,0.2955955977032829,0.18675589036627116
top_3_shareholder_location_Spain,0.2747109859253136,0.1954869859916748
issuer_cntry_domicile_name_Spain,0.2310195290267849,0.1591636083238761
cntry_of_risk_ES,0.2310195290267849,0.1591636083238761
top_2_shareholder_location_United Kingdom,0.164364781454843,0.045766707445629606
vola,0.16433460525813004,0.10215803353104391
hist_book_px,0.15535238489065506,0.04929266097381202
hist_capex_sales,0.018407014030405122,0.06530729717936268
top_3_shareholder_location_Canada,0.006701744324843162,0.001423107593836903
gics_sub_ind_Silver,0.0,0.0
gics_sub_ind_Semiconductors,0.0,0.0
gics_sub_ind_Industrial Machinery & Supplies & Components,0.0,0.0
gics_sub_ind_Industrial Gases,0.0,0.0
gics_sub_ind_Industrial Conglomerates,0.0,0.0
gics_sub_ind_Insurance Brokers,0.0,0.0
gics_sub_ind_IT Consulting & Other Services,0.0,0.0
gics_sub_ind_Soft Drinks & Non-alcoholic Beverages,0.0,0.0
gics_sub_ind_Regional Banks,0.0,0.0
gics_sub_ind_Integrated Oil & Gas,0.0,0.0
gics_sub_ind_Real Estate Services,0.0,0.0
gics_sub_ind_Systems Software,0.0,0.0
gics_sub_ind_Integrated Telecommunication Services,0.0,0.0
gics_sub_ind_Steel,0.0,0.0
gics_sub_ind_Specialty Chemicals,0.0,0.0
gics_sub_ind_Reinsurance,0.0,0.0
gics_sub_ind_Interactive Media & Services,0.0,0.0
gics_sub_ind_Internet Services & Infrastructure,0.0,0.0
gics_sub_ind_Investment Banking & Brokerage,0.0,0.0
gics_sub_ind_Leisure Facilities,0.0,0.0
gics_sub_ind_Household Products,0.0,0.0
