,Base,Yeo,Base_Random,Yeo_Random,avg_importance
shares_float,29.40887126827645,0.0,26.363921364343355,0.0,13.943198158154951
hist_roic,13.667493716471036,0.0,17.733783633315152,0.0,7.850319337446547
top_1_shareholder_percentage,14.998505787076166,0.0,14.968436283591647,0.0,7.491735517666953
market_cap_usd,8.342919003351845,0.0,14.872798469884543,0.0,5.803929368309097
hist_ev_usd,5.568161827189535,0.0,15.517494075090088,0.0,5.271413975569906
beta,8.700223921579852,0.0,7.561022948134223,0.0,4.065311717428519
net_income_usd,6.835835725182331,0.0,5.589374134150852,0.0,3.1063024648332958
gics_sub_ind_Independent Power Producers & Energy Traders,3.724064066349463,0.0,3.54215963236361,0.0,1.8165559246782683
hist_net_debt_usd,1.6894855673688447,0.0,4.679462529405175,0.0,1.5922370241935049
hist_net_chg_lt_debt_usd,1.967099289748461,0.0,1.6813155467825887,0.0,0.9121037091327624
top_3_shareholder_location_Luxembourg,2.0435398201416675,0.0,1.3140342494243846,0.0,0.839393517391513
hist_rd_exp_usd,1.4526569981063453,0.0,1.671622010816666,0.0,0.7810697522307528
yeo_joh_hist_roic,0.0,1.4985053755083197,0.0,1.433263865817457,0.7329423103314442
top_1_shareholder_location_Canada,1.3887781961165224,0.0,1.4891320805303003,0.0,0.7194775691617057
yeo_joh_hist_ebitda_ev,0.0,1.1664594011848006,0.0,1.2945998641822112,0.6152648163417529
hist_pe,1.5959504138984393,0.0,0.6078459335908626,0.0,0.5509490868723255
yeo_joh_hist_asset_turnover,0.0,1.0113488367363117,0.0,0.9055709245593517,0.47922994032391586
yeo_joh_return_usd,0.0,0.782627366319359,0.0,0.7926822252780819,0.3938273978993602
yeo_joh_hist_roe,0.0,0.6730349208314301,0.0,0.811531296828623,0.3711415544150133
top_2_shareholder_percentage,0.6978825506683108,0.0,0.3454670205156134,0.0,0.26083739279598106
gics_sub_ind_Water Utilities,0.47989768774298724,0.0,0.5038018389766279,0.0,0.24592488167990378
top_3_shareholder_location_Norway,0.4664992397499397,0.0,0.3643056944084009,0.0,0.20770123353958514
issuer_cntry_domicile_name_Japan,0.43789179373120746,0.0,0.3729120096211851,0.0,0.20270095083809814
top_1_shareholder_location_Japan,0.43789179373120746,0.0,0.37291200962117443,0.0,0.20270095083809547
cntry_of_risk_JP,0.43789179373120746,0.0,0.37291200962117443,0.0,0.20270095083809547
hist_asset_turnover,0.43376729220668864,0.0,0.2963055496181042,0.0,0.1825182104561982
yeo_joh_hist_ev_usd,0.0,0.33780999653552346,0.0,0.3831560899839537,0.18024152162986928
yeo_joh_hist_roa,0.0,0.3551951193103611,0.0,0.36201057257277913,0.17930142297078505
cntry_of_risk_US,0.47262049738575485,0.0,0.1716075456220274,0.0,0.16105701075194556
issuer_cntry_domicile_name_United States of America,0.47262049738575485,0.0,0.1716075456220274,0.0,0.16105701075194556
top_1_shareholder_location_United States,0.3121554126648505,0.0,0.3148164790705472,0.0,0.15674297293384942
