Feature,Importance
top_3_shareholder_percentage,11.926146004670926
return_usd,5.020526940517464
shares_float,4.987242579181482
top_1_shareholder_percentage,4.697743647960083
cntry_of_risk,4.3333822166257345
hist_net_debt_usd,4.29123041827048
hist_fcf_yld,3.766248537601488
issuer_cntry_domicile,3.6774320084316976
hist_asset_turnover,3.3414526800825457
hist_capex_sales,3.311127852438965
market_cap_usd,3.172052689628929
top_2_shareholder_location,3.052238791800138
vola,3.042306291813734
top_2_shareholder_percentage,2.8746102957493034
top_3_shareholder_location,2.7996466459239566
hist_gross_profit_usd,2.7098877884456347
hist_pe,2.5715789201798582
gics_sector,2.56937521743847
random_feature,2.274985323921578
hist_roa,2.179646041869865
hist_ebitda_ev,2.1755030354406326
hist_roe,2.149542125871896
beta,2.0544052233916075
top_1_shareholder_location,1.9914781821316598
shares_outstanding,1.8797347710167978
hist_eps_usd,1.7851442623035618
gics_sub_ind,1.7105863116665692
hist_book_px,1.6183853561208281
hist_rd_exp_usd,1.5767072018255983
hist_net_chg_lt_debt_usd,1.482355429038133
hist_roic,1.459568417343227
net_income_usd,1.3368313045774856
hist_ev_usd,1.3157769920505096
hist_capex_depr,0.8651204946691388
