Feature,Importance,Std
top_2_shareholder_percentage,0.0814084165622809,0.009521454430740888
shares_float,0.04186873855551012,0.013585563389143523
top_2_shareholder_location_Luxembourg,0.03291517155886052,0.009835234882514856
return_usd,0.02805581135158012,0.005783596293679292
shares_outstanding,0.02552549526592095,0.013596699081441888
top_3_shareholder_percentage,0.022651182665313484,0.006404293936280263
cntry_of_risk_US,0.02000350275471182,0.0027001354573868166
hist_book_px,0.017630298364223716,0.028869985352139804
vola,0.016514239745648494,0.004465897594605288
top_1_shareholder_location_Japan,0.015343135004277175,0.005646695466507592
net_income_usd,0.015232614030081248,0.0052784431777165115
top_3_shareholder_location_Luxembourg,0.012571920604446585,0.006361700897077604
cntry_of_risk_GB,0.012332008175216824,0.004440529347585031
top_2_shareholder_location_Japan,0.010952095966075126,0.008193485005646787
hist_rd_exp_usd,0.010797036916881641,0.003168292082698894
issuer_cntry_domicile_name_United States of America,0.009492557665258038,0.0019859229350719623
issuer_cntry_domicile_name_United Kingdom,0.008910917625348614,0.0037738958893975866
beta,0.008558319176994688,0.0033074884342842808
hist_roe,0.006679975862842214,0.0016761409446174767
gics_sub_ind_Diversified Banks,0.0062259567810122205,0.005241249880387691
gics_sector_Industrials,0.005231159954613473,0.0017845828628243758
gics_sub_ind_Rail Transportation,0.005229862541469366,0.0012607983277337015
top_2_shareholder_location_Ireland,0.005001851463225948,0.006009125100531243
top_2_shareholder_location_United States,0.004921234723138168,0.0011809716880243088
cntry_of_risk_AU,0.004786276601670136,0.0025916214318038276
hist_asset_turnover,0.004522866635756429,0.0023949738546648466
gics_sub_ind_Aerospace & Defense,0.004457488778168683,0.002293699894498255
gics_sub_ind_Restaurants,0.004292831523480378,0.0016491092210630222
cntry_of_risk_IN,0.0037895807476575616,0.001287670072896774
top_1_shareholder_location_India,0.003670049689892352,0.0012542031792758131
issuer_cntry_domicile_name_India,0.003670049689891908,0.0012542031792757166
top_1_shareholder_location_Australia,0.0036582344130424603,0.0022662145664477666
issuer_cntry_domicile_name_Japan,0.003499005820407297,0.005535136492924268
cntry_of_risk_JP,0.003499005820406209,0.005535136492923834
