Feature,Importance,Std
top_3_shareholder_percentage,22981.962692536414,0.0
return_usd,8790.848849368282,0.0
hist_net_debt_usd,8052.188819296658,0.0
top_1_shareholder_percentage,7969.563898643479,0.0
top_2_shareholder_percentage,7452.659527678043,0.0
vola,6644.885810459033,0.0
shares_float,6457.70848172158,0.0
random_feature,6435.804229474161,0.0
hist_gross_profit_usd,6234.792410179973,0.0
beta,6173.941036242992,0.0
gics_sub_ind,6124.560586571693,0.0
hist_fcf_yld,6039.607036574744,0.0
hist_capex_sales,5917.997151009738,0.0
hist_asset_turnover,5879.801978521049,0.0
hist_pe,5826.809998868033,0.0
market_cap_usd,5525.02459256351,0.0
hist_roe,5516.066151354462,0.0
shares_outstanding,5428.13105519861,0.0
hist_net_chg_lt_debt_usd,5308.173092239536,0.0
hist_book_px,5287.560176398605,0.0
hist_ev_usd,5214.644427500665,0.0
hist_roic,4866.473105901852,0.0
hist_eps_usd,4865.180177593604,0.0
hist_roa,4802.301420204341,0.0
issuer_cntry_domicile,4464.449842810631,0.0
cntry_of_risk,4411.798329114914,0.0
net_income_usd,4398.8784221969545,0.0
hist_ebitda_ev,4022.285815217998,0.0
hist_rd_exp_usd,3229.7432432696223,0.0
hist_capex_depr,2672.916533663869,0.0
top_3_shareholder_location,1691.0745344161987,0.0
top_2_shareholder_location,1608.6425230503082,0.0
gics_sector,1310.4972505569458,0.0
top_1_shareholder_location,15.240109920501709,0.0
