feature,importance
yeo_joh_top_3_shareholder_percentage,150.49878931045532
yeo_joh_vola,128.86323022842407
yeo_joh_shares_float,99.30005633831024
yeo_joh_hist_fcf_yld,97.6676299571991
yeo_joh_hist_ev_usd,96.06018018722534
yeo_joh_beta,92.07156980037689
yeo_joh_return_usd,88.46900057792664
yeo_joh_hist_roe,70.48701095581055
yeo_joh_shares_outstanding,67.84679043292999
yeo_joh_hist_gross_profit_usd,65.68338024616241
yeo_joh_hist_net_debt_usd,65.55528104305267
yeo_joh_hist_capex_sales,54.389400362968445
yeo_joh_hist_book_px,48.25642967224121
yeo_joh_top_2_shareholder_percentage,47.94798958301544
yeo_joh_net_income_usd,45.091569662094116
yeo_joh_hist_capex_depr,42.53928995132446
yeo_joh_top_1_shareholder_percentage,39.56418037414551
yeo_joh_hist_roic,37.24256956577301
yeo_joh_hist_net_chg_lt_debt_usd,32.045899868011475
yeo_joh_hist_rd_exp_usd,31.82394003868103
yeo_joh_market_cap_usd,29.44241952896118
top_3_shareholder_location_Luxembourg,28.273499965667725
cntry_of_risk_US,20.87423014640808
yeo_joh_hist_asset_turnover,17.124780416488647
yeo_joh_hist_roa,16.95559000968933
yeo_joh_hist_pe,16.06779980659485
top_2_shareholder_location_Luxembourg,10.34283995628357
yeo_joh_hist_eps_usd,4.634779930114746
top_2_shareholder_location_United States,1.3143600225448608
gics_sub_ind_Real Estate Development,0.0
gics_sub_ind_Publishing,0.0
gics_sub_ind_Property & Casualty Insurance,0.0
gics_sub_ind_Precious Metals & Minerals,0.0
gics_sub_ind_Pharmaceuticals,0.0
gics_sub_ind_Personal Care Products,0.0
gics_sub_ind_Passenger Ground Transportation,0.0
gics_sub_ind_Passenger Airlines,0.0
gics_sub_ind_Paper Products,0.0
gics_sub_ind_Paper & Plastic Packaging Products & Materials,0.0
gics_sub_ind_Packaged Foods & Meats,0.0
gics_sub_ind_Other Specialty Retail,0.0
gics_sub_ind_Oil & Gas Storage & Transportation,0.0
gics_sub_ind_Oil & Gas Refining & Marketing,0.0
gics_sub_ind_Oil & Gas Exploration & Production,0.0
gics_sub_ind_Oil & Gas Equipment & Services,0.0
gics_sub_ind_Oil & Gas Drilling,0.0
gics_sub_ind_Rail Transportation,0.0
gics_sub_ind_Semiconductors,0.0
gics_sub_ind_Semiconductor Materials & Equipment,0.0
gics_sub_ind_Security & Alarm Services,0.0
gics_sub_ind_Restaurants,0.0
gics_sub_ind_Research & Consulting Services,0.0
gics_sub_ind_Silver,0.0
gics_sub_ind_Soft Drinks & Non-alcoholic Beverages,0.0
gics_sub_ind_Specialized Consumer Services,0.0
gics_sub_ind_Specialized Finance,0.0
gics_sub_ind_Reinsurance,0.0
gics_sub_ind_Steel,0.0
gics_sub_ind_Renewable Electricity,0.0
gics_sub_ind_Systems Software,0.0
gics_sub_ind_Technology Distributors,0.0
gics_sub_ind_Tires & Rubber,0.0
gics_sub_ind_Office Services & Supplies,0.0
gics_sub_ind_Regional Banks,0.0
gics_sub_ind_Real Estate Services,0.0
gics_sub_ind_Real Estate Operating Companies,0.0
gics_sub_ind_Specialty Chemicals,0.0
gics_sub_ind_Industrial Machinery & Supplies & Components,0.0
gics_sub_ind_Industrial Gases,0.0
gics_sub_ind_Industrial Conglomerates,0.0
gics_sub_ind_Independent Power Producers & Energy Traders,0.0
gics_sub_ind_IT Consulting & Other Services,0.0
gics_sub_ind_Human Resource & Employment Services,0.0
gics_sub_ind_Housewares & Specialties,0.0
gics_sub_ind_Household Products,0.0
gics_sub_ind_Household Appliances,0.0
"gics_sub_ind_Technology Hardware, Storage & Peripherals",0.0
gics_sub_ind_Homefurnishing Retail,0.0
gics_sub_ind_Homebuilding,0.0
