Model,RMSE,MAE,MSE,R2
LR_Base,1.8644843154370143,1.450904403653352,3.4763017625106323,0.10659535532356434
LR_Yeo,1.9260960594485992,1.471138633599078,3.7098460302234217,0.046574808269135515
LR_Base_Random,1.8681809771195863,1.444121895403503,3.4901001632714923,0.10304918581037559
LR_Yeo_Random,1.9262529848967251,1.4709583494374865,3.710450561823543,0.04641944450145963
ElasticNet_LR_Base_optuna,1.8598618892373984,1.4499402142038367,3.4590862470377046,0.11101971849303338
ElasticNet_LR_Yeo_optuna,1.750584989274758,1.383181044363464,3.064547804674105,0.212415541120491
ElasticNet_LR_Base_Random_optuna,1.8682220499373972,1.4504984762638387,3.4902536278722907,0.10300974562465137
ElasticNet_LR_Yeo_Random_optuna,1.7499463056832458,1.382532565775951,3.06231207277444,0.21299012106201176
XGBoost_Base_categorical_basic,1.6510241763221263,1.3017305953093248,2.7258808308001554,0.17887458985518345
XGBoost_Base_categorical_optuna,1.6529700098679598,1.2926460575334955,2.7323098535228834,0.17693795569994752
XGBoost_Yeo_categorical_basic,1.6510241763221263,1.3017305953093248,2.7258808308001554,0.17887458985518345
XGBoost_Yeo_categorical_optuna,1.6290849104577538,1.271946268466988,2.653917645481148,0.2005522800141667
XGBoost_Base_Random_categorical_basic,1.6578244302899547,1.3031440433588897,2.748381841666213,0.1720965416120983
XGBoost_Base_Random_categorical_optuna,1.6134405039583906,1.258722245909951,2.6031902598135055,0.21583304536944825
XGBoost_Yeo_Random_categorical_basic,1.6578244302899547,1.3031440433588897,2.748381841666213,0.1720965416120983
XGBoost_Yeo_Random_categorical_optuna,1.6134405039583906,1.258722245909951,2.6031902598135055,0.21583304536944825
LightGBM_Base_categorical_basic,1.619492846595176,1.278055749321509,2.622757080172946,0.20993887229653407
LightGBM_Base_categorical_optuna,1.6423692595378767,1.2905596688898866,2.6973767846749936,0.18746095074845848
LightGBM_Yeo_categorical_basic,1.6458533280709717,1.3021601224473494,2.7088331775222936,0.184009906532135
LightGBM_Yeo_categorical_optuna,1.6567452703757235,1.3050097089034507,2.744804890912329,0.17317403741516613
LightGBM_Base_Random_categorical_basic,1.6507070995077697,1.2858574610881308,2.7248339283653538,0.17918995147387384
LightGBM_Base_Random_categorical_optuna,1.6425442549779907,1.2866205892212665,2.6979516295612025,0.18728778846725191
LightGBM_Yeo_Random_categorical_basic,1.651694318229214,1.3033329442697053,2.728094120870668,0.17820787372570923
LightGBM_Yeo_Random_categorical_optuna,1.634705051433729,1.2905224411601655,2.67226060518295,0.19502677422600967
CatBoost_Base_categorical_basic,1.6447752298811267,1.287639499438214,2.705285556830513,0.18507856715099325
CatBoost_Base_categorical_optuna,1.6474105253628701,1.2870181685124025,2.713961439076368,0.18246510463751853
CatBoost_Yeo_categorical_basic,1.6447681369778266,1.2876300999293044,2.7052622244175106,0.18508559564504168
CatBoost_Yeo_categorical_optuna,1.647391433858704,1.2869986419538344,2.7138985363510364,0.18248405301763604
CatBoost_Base_Random_categorical_basic,1.6356480389042918,1.2862637805077561,2.6753445071714554,0.1940978010087856
CatBoost_Base_Random_categorical_optuna,1.6568476713261024,1.2914781104329045,2.7451442059787285,0.1730718245011177
CatBoost_Yeo_Random_categorical_basic,1.6356480389042918,1.2862637805077561,2.6753445071714554,0.1940978010087856
CatBoost_Yeo_Random_categorical_optuna,1.6413982744387885,1.2841900520933944,2.6941882953306324,0.18842142913439808
