Feature,Importance,Std
top_3_shareholder_percentage,6078.357031822205,0.0
gics_sub_ind,2391.45889377594,0.0
return_usd,2015.793185710907,0.0
hist_net_debt_usd,1916.1219215393066,0.0
top_1_shareholder_percentage,1633.6142506599426,0.0
hist_capex_sales,1601.9855284690857,0.0
hist_fcf_yld,1397.500500679016,0.0
shares_float,1354.296124458313,0.0
top_2_shareholder_percentage,1300.186104297638,0.0
hist_roa,1273.2568526268005,0.0
hist_asset_turnover,1247.194492340088,0.0
cntry_of_risk,1245.2419538497925,0.0
hist_gross_profit_usd,1213.7451648712158,0.0
issuer_cntry_domicile,1157.0358028411865,0.0
market_cap_usd,1087.0204195976257,0.0
vola,1071.3530492782593,0.0
random_feature,1051.8152198791504,0.0
shares_outstanding,1011.5646619796753,0.0
hist_book_px,997.6838245391846,0.0
beta,976.8957452774048,0.0
hist_roe,968.9262685775757,0.0
hist_pe,963.1410236358643,0.0
hist_ev_usd,960.29176902771,0.0
hist_net_chg_lt_debt_usd,854.0118355751038,0.0
hist_ebitda_ev,770.681921005249,0.0
hist_roic,765.5984010696411,0.0
hist_rd_exp_usd,754.6686501502991,0.0
hist_eps_usd,712.2197222709656,0.0
net_income_usd,647.4586138725281,0.0
hist_capex_depr,532.4875011444092,0.0
top_3_shareholder_location,428.1438579559326,0.0
top_2_shareholder_location,414.17411851882935,0.0
gics_sector,369.06794691085815,0.0
top_1_shareholder_location,0.0,0.0
