Feature,Importance,Std
top_3_shareholder_percentage,6144.9417061805725,0.0
gics_sub_ind,2340.1065034866333,0.0
hist_net_debt_usd,2282.870898246765,0.0
return_usd,1851.6370840072632,0.0
beta,1490.0110931396484,0.0
cntry_of_risk,1475.6041026115417,0.0
shares_float,1427.8437066078186,0.0
top_1_shareholder_percentage,1359.7198085784912,0.0
hist_fcf_yld,1328.59210729599,0.0
hist_asset_turnover,1282.9435296058655,0.0
hist_capex_sales,1258.3852219581604,0.0
top_2_shareholder_percentage,1257.2325773239136,0.0
hist_roa,1185.8394918441772,0.0
hist_roe,1180.7733335494995,0.0
hist_gross_profit_usd,1174.7473540306091,0.0
vola,1150.413025856018,0.0
market_cap_usd,1057.2354197502136,0.0
issuer_cntry_domicile,957.1259169578552,0.0
hist_pe,941.3682241439819,0.0
net_income_usd,924.3538980484009,0.0
shares_outstanding,922.0013108253479,0.0
hist_book_px,905.4365997314453,0.0
hist_ev_usd,824.9027299880981,0.0
hist_eps_usd,815.8435754776001,0.0
hist_net_chg_lt_debt_usd,815.3041377067566,0.0
hist_rd_exp_usd,760.8213505744934,0.0
hist_ebitda_ev,683.2239918708801,0.0
hist_roic,636.7038707733154,0.0
hist_capex_depr,512.2252073287964,0.0
top_2_shareholder_location,424.49995946884155,0.0
gics_sector,348.80117082595825,0.0
top_3_shareholder_location,315.58222007751465,0.0
top_1_shareholder_location,0.0,0.0
