Feature,Importance,Std
top_3_shareholder_percentage,15641.770635748282,0.0
hist_net_debt_usd,6460.401754446328,0.0
return_usd,6281.039649941027,0.0
top_1_shareholder_percentage,5826.137164887972,0.0
vola,5717.830130111426,0.0
beta,5086.623672494665,0.0
top_2_shareholder_percentage,4951.256453996524,0.0
shares_float,4722.8319273917,0.0
hist_fcf_yld,4618.804947686847,0.0
hist_capex_sales,4507.201087787747,0.0
gics_sub_ind,4475.885171294212,0.0
hist_asset_turnover,4371.930965894368,0.0
market_cap_usd,4262.745768416673,0.0
shares_outstanding,4222.099554803222,0.0
hist_gross_profit_usd,3934.485411706846,0.0
hist_roe,3869.6080241333693,0.0
hist_net_chg_lt_debt_usd,3780.8560364209116,0.0
hist_roa,3719.339431365952,0.0
hist_eps_usd,3673.864446672611,0.0
hist_book_px,3643.742499387823,0.0
hist_pe,3600.5927544794977,0.0
net_income_usd,3597.6747864019126,0.0
hist_roic,3464.475907303393,0.0
hist_ev_usd,3406.0531447511166,0.0
cntry_of_risk,3042.047423005104,0.0
hist_ebitda_ev,2995.9970351041993,0.0
hist_rd_exp_usd,2898.3282259022817,0.0
issuer_cntry_domicile,2757.231076478958,0.0
hist_capex_depr,1912.4015563242137,0.0
top_2_shareholder_location,1353.7080484628677,0.0
gics_sector,1269.2459630966187,0.0
top_3_shareholder_location,1115.1564577817917,0.0
top_1_shareholder_location,12.458800315856934,0.0
