Feature,Importance,Std
yeo_joh_top_3_shareholder_percentage,14182.043558448553,0.0
gics_sub_ind,6004.9312054514885,0.0
yeo_joh_hist_net_debt_usd,4985.263560887426,0.0
yeo_joh_top_1_shareholder_percentage,4730.878328546882,0.0
yeo_joh_return_usd,4701.184659279883,0.0
yeo_joh_top_2_shareholder_percentage,4538.105178080499,0.0
yeo_joh_vola,4208.689994791523,0.0
cntry_of_risk,4146.067949414253,0.0
yeo_joh_beta,3841.1740956176072,0.0
yeo_joh_hist_capex_sales,3802.494763329625,0.0
yeo_joh_shares_outstanding,3546.94235932827,0.0
yeo_joh_hist_pe,3532.4910275153816,0.0
yeo_joh_shares_float,3525.6428485028446,0.0
yeo_joh_market_cap_usd,3517.7243501506746,0.0
yeo_joh_hist_roe,3475.792161726393,0.0
yeo_joh_hist_asset_turnover,3468.4807626260445,0.0
yeo_joh_hist_ev_usd,3341.4237247928977,0.0
random_feature,3291.4079354070127,0.0
yeo_joh_hist_fcf_yld,3248.0756082460284,0.0
yeo_joh_hist_gross_profit_usd,3156.3148067593575,0.0
issuer_cntry_domicile,3042.6703494787216,0.0
yeo_joh_hist_roa,2904.024787666276,0.0
yeo_joh_hist_net_chg_lt_debt_usd,2901.4115046765655,0.0
yeo_joh_hist_book_px,2798.488664485514,0.0
yeo_joh_hist_ebitda_ev,2721.8373877382837,0.0
yeo_joh_hist_roic,2697.259204737842,0.0
yeo_joh_net_income_usd,2672.952173255384,0.0
yeo_joh_hist_eps_usd,2397.2300114845857,0.0
yeo_joh_hist_rd_exp_usd,1857.9404269400984,0.0
yeo_joh_hist_capex_depr,1614.5037948284298,0.0
top_3_shareholder_location,1394.110091328621,0.0
top_2_shareholder_location,1390.9765788316727,0.0
gics_sector,1098.2702341079712,0.0
top_1_shareholder_location,97.25245213508606,0.0
