Feature,Importance,Std
yeo_joh_top_3_shareholder_percentage,6023.779567241669,0.0
gics_sub_ind,2241.5543785095215,0.0
yeo_joh_hist_net_debt_usd,2071.5943212509155,0.0
yeo_joh_return_usd,1733.8750882148743,0.0
cntry_of_risk,1495.681900024414,0.0
yeo_joh_shares_float,1368.215648174286,0.0
yeo_joh_hist_fcf_yld,1357.2736644744873,0.0
yeo_joh_top_2_shareholder_percentage,1347.819800376892,0.0
yeo_joh_top_1_shareholder_percentage,1263.9865174293518,0.0
yeo_joh_hist_capex_sales,1200.2039222717285,0.0
yeo_joh_beta,1193.8544306755066,0.0
yeo_joh_hist_gross_profit_usd,1131.6082644462585,0.0
yeo_joh_hist_ev_usd,1099.7467074394226,0.0
yeo_joh_market_cap_usd,1096.6157970428467,0.0
yeo_joh_hist_roe,1090.5069427490234,0.0
yeo_joh_vola,1075.5201921463013,0.0
yeo_joh_hist_roa,1017.4512257575989,0.0
yeo_joh_hist_asset_turnover,1011.404079914093,0.0
issuer_cntry_domicile,975.9465446472168,0.0
yeo_joh_shares_outstanding,967.2317805290222,0.0
yeo_joh_net_income_usd,871.4286570549011,0.0
yeo_joh_hist_pe,863.8998885154724,0.0
yeo_joh_hist_eps_usd,806.0788488388062,0.0
yeo_joh_hist_roic,791.3142714500427,0.0
yeo_joh_hist_rd_exp_usd,722.0954532623291,0.0
yeo_joh_hist_ebitda_ev,706.7429842948914,0.0
yeo_joh_hist_book_px,672.1803364753723,0.0
yeo_joh_hist_net_chg_lt_debt_usd,512.7046208381653,0.0
yeo_joh_hist_capex_depr,434.66449069976807,0.0
gics_sector,393.46580266952515,0.0
top_3_shareholder_location,352.4242219924927,0.0
top_2_shareholder_location,340.9233617782593,0.0
top_1_shareholder_location,0.0,0.0
