Feature,Importance,Std
yeo_joh_top_3_shareholder_percentage,8298.936875373125,0.0
yeo_joh_hist_net_debt_usd,4297.545317798853,0.0
yeo_joh_top_1_shareholder_percentage,3948.99517589435,0.0
yeo_joh_return_usd,3891.8786846306175,0.0
yeo_joh_top_2_shareholder_percentage,3783.422119885683,0.0
yeo_joh_vola,3579.2061071405187,0.0
yeo_joh_hist_fcf_yld,3192.145069770515,0.0
yeo_joh_hist_pe,3128.208967797458,0.0
yeo_joh_hist_capex_sales,3099.7032013833523,0.0
yeo_joh_beta,3072.152538061142,0.0
yeo_joh_hist_asset_turnover,3060.2782973647118,0.0
yeo_joh_hist_roe,3041.169219940901,0.0
yeo_joh_hist_ev_usd,2987.1016459465027,0.0
yeo_joh_market_cap_usd,2944.2157912361436,0.0
yeo_joh_shares_outstanding,2923.401262424886,0.0
gics_sub_ind,2903.8781855106354,0.0
yeo_joh_shares_float,2893.6348211169243,0.0
yeo_joh_hist_gross_profit_usd,2851.557664491236,0.0
yeo_joh_hist_net_chg_lt_debt_usd,2592.4316843897104,0.0
yeo_joh_net_income_usd,2492.3076841831207,0.0
yeo_joh_hist_roa,2477.0596136152744,0.0
yeo_joh_hist_roic,2445.519969806075,0.0
yeo_joh_hist_eps_usd,2419.701981537044,0.0
yeo_joh_hist_book_px,2279.6075634732842,0.0
cntry_of_risk,2207.051182985306,0.0
yeo_joh_hist_ebitda_ev,2066.347758203745,0.0
issuer_cntry_domicile,2048.5271973609924,0.0
yeo_joh_hist_rd_exp_usd,1623.364974707365,0.0
yeo_joh_hist_capex_depr,1475.3879909962416,0.0
gics_sector,1095.421763420105,0.0
top_2_shareholder_location,1034.774472951889,0.0
top_3_shareholder_location,865.0840357542038,0.0
top_1_shareholder_location,63.11005115509033,0.0
