feature,importance
issuer_cntry_domicile,0.06723074
cntry_of_risk,0.06676258
top_3_shareholder_percentage,0.057061937
gics_sub_ind,0.044281445
gics_sector,0.03431327
top_1_shareholder_location,0.03289162
top_2_shareholder_location,0.03194249
top_3_shareholder_location,0.029825022
market_cap_usd,0.029546846
return_usd,0.029520927
shares_float,0.029022807
hist_gross_profit_usd,0.028812781
hist_ev_usd,0.028546862
hist_net_debt_usd,0.028126124
top_1_shareholder_percentage,0.02760584
net_income_usd,0.026505478
hist_fcf_yld,0.026214285
hist_ebitda_ev,0.025532143
shares_outstanding,0.025131248
hist_book_px,0.025088055
hist_rd_exp_usd,0.025002472
hist_asset_turnover,0.024749875
hist_pe,0.024563834
top_2_shareholder_percentage,0.024555156
hist_roic,0.024127286
hist_capex_depr,0.02390347
hist_capex_sales,0.023629498
vola,0.023348881
hist_roa,0.023172019
hist_eps_usd,0.022899957
hist_roe,0.02272217
beta,0.022239411
hist_net_chg_lt_debt_usd,0.021123517
