feature,importance
issuer_cntry_domicile,0.06944803
yeo_joh_top_3_shareholder_percentage,0.05923629
cntry_of_risk,0.05872081
gics_sub_ind,0.038677752
top_1_shareholder_location,0.03548094
gics_sector,0.033797
yeo_joh_market_cap_usd,0.031323172
top_2_shareholder_location,0.030748315
yeo_joh_return_usd,0.030595146
top_3_shareholder_location,0.029739143
yeo_joh_hist_gross_profit_usd,0.029209506
yeo_joh_top_2_shareholder_percentage,0.028980326
yeo_joh_hist_ev_usd,0.028354507
yeo_joh_hist_net_debt_usd,0.0281261
yeo_joh_top_1_shareholder_percentage,0.027675487
yeo_joh_hist_fcf_yld,0.027177246
yeo_joh_shares_float,0.027030122
yeo_joh_hist_pe,0.025674751
yeo_joh_hist_ebitda_ev,0.025386406
yeo_joh_hist_capex_sales,0.02530964
yeo_joh_vola,0.024971085
yeo_joh_shares_outstanding,0.024470853
yeo_joh_net_income_usd,0.02440296
yeo_joh_beta,0.024322327
yeo_joh_hist_roa,0.024292603
yeo_joh_hist_asset_turnover,0.024218185
yeo_joh_hist_book_px,0.023982964
yeo_joh_hist_roic,0.023705311
yeo_joh_hist_rd_exp_usd,0.023447093
yeo_joh_hist_roe,0.023434494
yeo_joh_hist_capex_depr,0.022880197
yeo_joh_hist_eps_usd,0.022779124
yeo_joh_hist_net_chg_lt_debt_usd,0.022402214
