Model,Baseline Type,RMSE,Baseline RMSE,MAE,Baseline MAE,Improvement (%),p-value,Significant,R²,Baseline R²,Predictive Power
XGBoost_Base_Random_categorical_optuna_mean,Mean,1.6134405039583906,1.8246533966672949,1.258722245909951,1.4392990480099963,11.575507605701,0.5730251350095286,False,0.2158330453694482,-0.002913289306367,0.1157550760570099
XGBoost_Yeo_Random_categorical_optuna_mean,Mean,1.6134405039583906,1.8246533966672949,1.258722245909951,1.4392990480099963,11.575507605701,0.5730251350095286,False,0.2158330453694482,-0.002913289306367,0.1157550760570099
LightGBM_Base_categorical_basic_mean,Mean,1.619492846595176,1.8246533966672949,1.278055749321509,1.4392990480099963,11.243809396723892,0.6670187977887329,False,0.209938872296534,-0.002913289306367,0.1124380939672389
XGBoost_Yeo_categorical_optuna_mean,Mean,1.6290849104577538,1.8246533966672949,1.271946268466988,1.4392990480099963,10.71811701700412,0.6799257199902263,False,0.2005522800141667,-0.002913289306367,0.1071811701700412
LightGBM_Yeo_Random_categorical_optuna_mean,Mean,1.634705051433729,1.8246533966672949,1.2905224411601657,1.4392990480099963,10.410105589395997,0.5699942030559213,False,0.1950267742260096,-0.002913289306367,0.1041010558939599
CatBoost_Base_Random_categorical_basic_mean,Mean,1.6356480389042918,1.8246533966672949,1.286263780507756,1.4392990480099963,10.358425227948434,0.6377407126869425,False,0.1940978010087856,-0.002913289306367,0.1035842522794843
CatBoost_Yeo_Random_categorical_basic_mean,Mean,1.6356480389042918,1.8246533966672949,1.286263780507756,1.4392990480099963,10.358425227948434,0.6377407126869425,False,0.1940978010087856,-0.002913289306367,0.1035842522794843
CatBoost_Yeo_Random_categorical_optuna_mean,Mean,1.6413982744387885,1.8246533966672949,1.2841900520933944,1.4392990480099963,10.043283977286832,0.4792651214225819,False,0.188421429134398,-0.002913289306367,0.1004328397728683
LightGBM_Base_categorical_optuna_mean,Mean,1.6423692595378767,1.8246533966672949,1.2905596688898866,1.4392990480099963,9.99006920779353,0.5670544710974783,False,0.1874609507484584,-0.002913289306367,0.0999006920779353
LightGBM_Base_Random_categorical_optuna_mean,Mean,1.6425442549779907,1.8246533966672949,1.2866205892212663,1.4392990480099963,9.980478595108751,0.7344035002687135,False,0.1872877884672519,-0.002913289306367,0.0998047859510875
CatBoost_Yeo_categorical_basic_mean,Mean,1.6447681369778266,1.8246533966672949,1.2876300999293044,1.4392990480099963,9.858598899825372,0.6822880137101626,False,0.1850855956450416,-0.002913289306367,0.0985859889982537
CatBoost_Base_categorical_basic_mean,Mean,1.644775229881127,1.8246533966672949,1.287639499438214,1.4392990480099963,9.858210173763045,0.6823444025056582,False,0.1850785671509932,-0.002913289306367,0.0985821017376304
LightGBM_Yeo_categorical_basic_mean,Mean,1.6458533280709715,1.8246533966672949,1.3021601224473494,1.4392990480099963,9.799125078927268,0.6762901088970391,False,0.184009906532135,-0.002913289306367,0.0979912507892726
CatBoost_Yeo_categorical_optuna_mean,Mean,1.647391433858704,1.8246533966672949,1.2869986419538344,1.4392990480099963,9.714829300313012,0.4598648970748829,False,0.182484053017636,-0.002913289306367,0.0971482930031301
CatBoost_Base_categorical_optuna_mean,Mean,1.64741052536287,1.8246533966672949,1.2870181685124025,1.4392990480099963,9.71378299178115,0.459771398691584,False,0.1824651046375185,-0.002913289306367,0.0971378299178115
LightGBM_Base_Random_categorical_basic_mean,Mean,1.6507070995077695,1.8246533966672949,1.2858574610881308,1.4392990480099963,9.533114479562844,0.6285914715551245,False,0.1791899514738738,-0.002913289306367,0.0953311447956284
XGBoost_Yeo_categorical_basic_mean,Mean,1.6510241763221265,1.8246533966672949,1.3017305953093248,1.4392990480099963,9.515737107239108,0.2731187593604222,False,0.1788745898551834,-0.002913289306367,0.095157371072391
XGBoost_Base_categorical_basic_mean,Mean,1.6510241763221265,1.8246533966672949,1.3017305953093248,1.4392990480099963,9.515737107239108,0.2731187593604222,False,0.1788745898551834,-0.002913289306367,0.095157371072391
LightGBM_Yeo_Random_categorical_basic_mean,Mean,1.651694318229214,1.8246533966672949,1.3033329442697053,1.4392990480099963,9.4790100275476,0.595318486697027,False,0.1782078737257092,-0.002913289306367,0.094790100275476
XGBoost_Base_categorical_optuna_mean,Mean,1.6529700098679598,1.8246533966672949,1.2926460575334957,1.4392990480099963,9.409095837758144,0.7203572057165809,False,0.1769379556999475,-0.002913289306367,0.0940909583775814
LightGBM_Yeo_categorical_optuna_mean,Mean,1.6567452703757235,1.8246533966672949,1.3050097089034507,1.4392990480099963,9.20219295337149,0.5454970241420043,False,0.1731740374151661,-0.002913289306367,0.0920219295337149
CatBoost_Base_Random_categorical_optuna_mean,Mean,1.6568476713261024,1.8246533966672949,1.2914781104329045,1.4392990480099963,9.196580876548245,0.5348054105257403,False,0.1730718245011177,-0.002913289306367,0.0919658087654824
XGBoost_Base_Random_categorical_basic_mean,Mean,1.6578244302899547,1.8246533966672949,1.3031440433588897,1.4392990480099963,9.143049670806027,0.5611237011450201,False,0.1720965416120983,-0.002913289306367,0.0914304967080602
XGBoost_Yeo_Random_categorical_basic_mean,Mean,1.6578244302899547,1.8246533966672949,1.3031440433588897,1.4392990480099963,9.143049670806027,0.5611237011450201,False,0.1720965416120983,-0.002913289306367,0.0914304967080602
ElasticNet_LR_Yeo_Random_optuna_mean,Mean,1.7499463056832458,1.9765044902289703,1.382532565775951,1.5653079044355709,11.462568674431832,0.9388439936124516,False,0.2129901210620117,-0.0039829741763948,0.1146256867443183
ElasticNet_LR_Yeo_optuna_mean,Mean,1.750584989274758,1.9765044902289703,1.383181044363464,1.5653079044355709,11.430254880323618,0.9563181557829552,False,0.212415541120491,-0.0039829741763948,0.1143025488032361
ElasticNet_LR_Base_optuna_mean,Mean,1.8598618892373984,1.9765044902289703,1.449940214203837,1.5653079044355709,5.90145894270442,0.8247958530143495,False,0.1110197184930333,-0.0039829741763948,0.0590145894270442
