model_name,RMSE,MAE,MSE,R2,n_companies,n_features_used,model_type,sector,type
Sector_LightGBM_Consumer Discretionary_Base,2.112564488297985,1.8374176913654026,4.462928717217727,0.08950785485200008,264,362,Sector LightGBM,Consumer Discretionary,Base
Sector_LightGBM_Consumer Discretionary_Yeo,2.0657717771967405,1.7264546960033924,4.267413035462579,0.12939544969628802,264,362,Sector LightGBM,Consumer Discretionary,Yeo
Sector_LightGBM_Consumer Discretionary_Base_Random,2.0464640566898993,1.7649702968506513,4.1880151353236785,0.14559359423281604,264,363,Sector LightGBM,Consumer Discretionary,Base+Random
Sector_LightGBM_Consumer Discretionary_Yeo_Random,2.0957715289670875,1.8271788806207654,4.392258301629044,0.10392548559738957,264,363,Sector LightGBM,Consumer Discretionary,Yeo+Random
Sector_LightGBM_Consumer Staples_Base,2.0216389943356172,1.5510775356696211,4.087024223418325,-0.210311753091595,157,362,Sector LightGBM,Consumer Staples,Base
Sector_LightGBM_Consumer Staples_Yeo,1.9153847497526826,1.484310090579188,3.6686987395851465,-0.08643085050238586,157,362,Sector LightGBM,Consumer Staples,Yeo
Sector_LightGBM_Consumer Staples_Base_Random,2.0407852171856975,1.5739595630640664,4.164804302683674,-0.23334517274980104,157,363,Sector LightGBM,Consumer Staples,Base+Random
Sector_LightGBM_Consumer Staples_Yeo_Random,1.959115353338796,1.5140662598218877,3.8381329676877955,-0.1366062902449774,157,363,Sector LightGBM,Consumer Staples,Yeo+Random
Sector_LightGBM_Energy_Base,2.4427945753991587,1.8101035074034748,5.9672453375995556,0.1461824696877112,98,362,Sector LightGBM,Energy,Base
Sector_LightGBM_Energy_Yeo,2.407971886280561,1.797895238992054,5.798328605117563,0.17035175705510686,98,362,Sector LightGBM,Energy,Yeo
Sector_LightGBM_Energy_Base_Random,2.457553900674121,1.8657263055032391,6.039571174718588,0.13583379720433997,98,363,Sector LightGBM,Energy,Base+Random
Sector_LightGBM_Energy_Yeo_Random,2.4430232735212547,1.8520922071811516,5.968362714966508,0.14602259082738211,98,363,Sector LightGBM,Energy,Yeo+Random
Sector_LightGBM_Financials_Base,1.886139821948993,1.4934914185008752,3.5575234279417796,0.07076782966467376,352,362,Sector LightGBM,Financials,Base
Sector_LightGBM_Financials_Yeo,1.887787740498956,1.4859634472560432,3.563742553178154,0.06914338182672197,352,362,Sector LightGBM,Financials,Yeo
Sector_LightGBM_Financials_Base_Random,1.8489760576487202,1.4499541198138866,3.4187124617582034,0.10702552915303232,352,363,Sector LightGBM,Financials,Base+Random
Sector_LightGBM_Financials_Yeo_Random,1.8690198580069146,1.462197495385562,3.4932352296241875,0.08756003448345306,352,363,Sector LightGBM,Financials,Yeo+Random
Sector_LightGBM_Health Care_Base,2.028043742796969,1.7155433921696426,4.112961422697939,-0.06726463078364486,195,362,Sector LightGBM,Health Care,Base
Sector_LightGBM_Health Care_Yeo,1.9838038078257734,1.6743982175963077,3.935477547944038,-0.02120967363915982,195,362,Sector LightGBM,Health Care,Yeo
Sector_LightGBM_Health Care_Base_Random,2.164544247611079,1.8180253647236821,4.685251799866212,-0.2157671853465999,195,363,Sector LightGBM,Health Care,Base+Random
